scope,rows,theta_end_pos_rows,theta_end_neg_rows,theta_end_pos_frac,theta_end_neg_frac,theta_local_pos_rows,theta_local_neg_rows,theta_local_pos_frac,theta_local_neg_frac,theta_end_norm_abs_max,theta_start_norm_abs_max,theta_local_norm_abs_max,mean_theta_end_norm,mean_theta_local_norm,post_Q_max,mr2_Q_max,corr_postQ_abs_theta_end_norm,corr_mr2Q_abs_theta_local_norm,corr_cp_ratio_theta_local_norm
global,1468,0,1468,0.0,1.0,1320,148,0.8991825613079019,0.1008174386920981,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.0020998329376314966,0.04812290062502138,0.03946320129494251,1.8193520399038576,-0.05263149554328823,-0.24141645245359264,-0.31872919235318514
tail:False,1326,0,1326,0.0,1.0,1200,126,0.9049773755656109,0.09502262443438914,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.002183748811025973,0.04919009769966042,0.03946320129494251,1.8193520399038576,-0.046240465191431816,-0.22111325366730392,-0.30015098278878644
tail:True,142,0,142,0.0,1.0,120,22,0.8450704225352113,0.15492957746478872,0.0013249490987813494,0.001326861437362273,0.05286979201958144,-0.001316224148046456,0.03815738428015255,0.03437235322817768,0.7568596623500748,-0.11952980479065514,-0.5240297320095744,-0.532938745912755
scale:100M<=p<500M,530,0,530,0.0,1.0,475,55,0.8962264150943396,0.10377358490566038,0.0016332906405920119,0.0016381691193691262,0.05734819489427019,-0.0015605365659942302,0.04408165064072882,0.03085627775811593,1.8193520399038576,0.016537753653318076,-0.3794148127596106,-0.40143869134556853
scale:p<100M,796,0,796,0.0,1.0,725,71,0.9108040201005025,0.08919597989949749,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.002598701687743088,0.052591450640908845,0.03946320129494251,0.862526348366495,-0.04948532652219324,-0.1866127684417788,-0.28320421503608606
scale:p>=500M,142,0,142,0.0,1.0,120,22,0.8450704225352113,0.15492957746478872,0.0013249490987813494,0.001326861437362273,0.05286979201958144,-0.001316224148046456,0.03815738428015255,0.03437235322817768,0.7568596623500748,-0.11952980479065514,-0.5240297320095744,-0.532938745912755
depth:0.50-0.55,1408,0,1408,0.0,1.0,1296,112,0.9204545454545454,0.07954545454545454,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.0020275588840425714,0.049297928778869654,0.03946320129494251,0.4494568065190746,-0.05106447254073132,-0.2001615896876438,-0.32121794406807436
depth:0.55-0.60,44,0,44,0.0,1.0,17,27,0.38636363636363635,0.6136363636363636,0.017948752062060074,0.02082540122823032,0.11670377630242393,-0.00305728287108197,0.018097584430578236,0.03437235322817768,0.7568596623500748,-0.16722796852223493,-0.4282016219973593,-0.42769493462896296
depth:0.60-0.65,7,0,7,0.0,1.0,5,2,0.7142857142857143,0.2857142857142857,0.04106343795390668,0.05173759872107055,0.15193769863844186,-0.009483751566693671,0.051691636394777925,0.017344614750364543,0.4625799992422776,-0.3309693421503134,-0.18007574678280605,-0.3358643361200503
depth:0.65-0.70,5,0,5,0.0,1.0,0,5,0.0,1.0,0.0037511524150766916,0.0037122617046791355,0.028568831384367565,-0.0025959617357183564,-0.016237498851113984,0.0075167682455929506,0.862526348366495,0.0016080280293850825,-0.3314049031070464,0.3314049031070464
depth:>=0.70,4,0,4,0.0,1.0,2,2,0.5,0.5,0.005753326094478934,0.006090991411444078,0.09729210064860783,-0.003466331934510597,0.038996680357399005,0.0015990424153537095,1.8193520399038576,-0.62556778565231,-0.826270231223228,-0.7997268316330813
mu:0.006-0.01,1,0,1,0.0,1.0,0,1,0.0,1.0,0.001509285594475425,0.0008750085857902744,0.010331169902637048,-0.001509285594475425,-0.010331169902637048,0.0015990424153537095,1.8193520399038576,,,
mu:0.01-0.018,1,0,1,0.0,1.0,0,1,0.0,1.0,0.001907811365164701,0.0013477201856682143,0.00967698567760322,-0.001907811365164701,-0.00967698567760322,0.0,0.862526348366495,,,
mu:0.018-0.05,6,0,6,0.0,1.0,0,6,0.0,1.0,0.001898745389490342,0.0016975169863405817,0.013613547920681797,-0.0015376714727134003,-0.01039227275313566,0.03437235322817768,0.7568596623500748,-0.8167605578066471,0.7048644878400203,-0.7048046977222348
mu:0.05-0.10,14,0,14,0.0,1.0,0,14,0.0,1.0,0.002431095455396693,0.002217638015870186,0.023287916650909273,-0.0017198978263916983,-0.012109071365867924,0.03085627775811593,0.4625799992422776,-0.48903557270331677,0.7838222373788133,-0.7838899276762019
mu:0.10-0.25,74,0,74,0.0,1.0,15,59,0.20270270270270271,0.7972972972972973,0.0044992200764836345,0.004693376575332339,0.07664061674509375,-0.0019286423527314217,0.0016886028343872928,0.028712832289133048,0.2415685632788372,-0.3748089278671907,-0.4110404188812288,-0.6490402254209151
mu:0.25-0.50,196,0,196,0.0,1.0,137,59,0.6989795918367347,0.3010204081632653,0.028925685629031937,0.037509133355552254,0.14505703764384356,-0.002086717972055511,0.03417092796911217,0.03946320129494251,0.1707575979731007,-0.10094196486346158,-0.19216483308975968,-0.40365520155427276
mu:0.50-1.00,579,0,579,0.0,1.0,571,8,0.9861830742659758,0.013816925734024179,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.0022536718727055884,0.05457337319274664,0.021038775957499166,0.2157084836048593,-0.03688767848991648,0.8321462947471461,0.733628865205926
mu:>=1.00,597,0,597,0.0,1.0,597,0,1.0,0.0,0.027641341587881813,0.03390345615820814,0.13577620815148708,-0.0019920281175143913,0.054398434402783316,0.019754849314279888,0.1648068982246287,-0.01688812984229336,0.9986687896583505,0.9986687896583505
theta_end_sign:negative,1468,0,1468,0.0,1.0,1320,148,0.8991825613079019,0.1008174386920981,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.0020998329376314966,0.04812290062502138,0.03946320129494251,1.8193520399038576,-0.05263149554328823,-0.24141645245359264,-0.31872919235318514
theta_local_sign:negative,148,0,148,0.0,1.0,0,148,0.0,1.0,0.0037511524150766916,0.0037122617046791355,0.028568831384367565,-0.0017923721744536748,-0.011535808118355714,0.03437235322817768,1.8193520399038576,-0.4060836678277083,0.06324361809792597,-0.06321939700196033
theta_local_sign:positive,1320,0,1320,0.0,1.0,1320,0,1.0,0.0,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.0021343058110787068,0.05481190736291517,0.03946320129494251,0.2157084836048593,-0.02742006141178671,0.8179205522063779,0.817920552206378
near_forbidden:False,1465,0,1465,0.0,1.0,1320,145,0.9010238907849829,0.09897610921501707,0.05704671903951806,0.0721018838652433,0.16381840768506986,-0.002100902162616189,0.04824203589990185,0.03946320129494251,0.6812241515207513,-0.05191257652119786,-0.2756809710048163,-0.4005510920795983
near_forbidden:True,3,0,3,0.0,1.0,0,3,0.0,1.0,0.001907811365164701,0.0013477201856682143,0.010331169902637048,-0.0015776947367731875,-0.010054825274939984,0.03437235322817768,1.8193520399038576,-0.7775915656642483,0.6398388547649633,-0.639832331150699
