block_id,p_star,y,h,theta_local_error,theta_local_norm,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,cp_residual_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30
34,127,126,1,3.844187086458591,0.1638184076850698,0.2157084836048593,-0.6467248915853149,-1.0478843074853783,-0.4011594159000636,0.1926535586334653,-0.2157084836048593,0.0154322578781281,False,p<100M,0.50-0.55,0.50-1.00,h=1,7,6
11,211,210,1,4.351858133476067,0.1519376986384418,0.1912764152417241,-0.4606108930177421,-0.80678766479914,-0.3461767717813979,0.1755617761599286,-0.1912764152417241,0.0126433482903185,False,p<100M,0.60-0.65,0.50-1.00,h=1,1,0
59,293,292,1,4.680172609017068,0.1450570376438435,0.1707575979731007,-0.6085539026973636,-0.92150281721742,-0.3129489145200563,0.1660290921582204,-0.1707575979731007,0.0112240145397273,False,p<100M,0.50-0.55,0.25-0.50,h=1,23,22
106,479,478,1,5.171700597410915,0.135776208151487,0.1648068982246287,-0.4234435554586279,-0.6906615118560081,-0.2672179563973802,0.1535407636762682,-0.1648068982246287,0.0095073961096778,False,p<100M,0.50-0.55,>=1.00,h=1,29,28
202,673,672,1,5.511745329644728,0.1299853261832927,0.1551610461475472,-0.4308700628058095,-0.6694151699238996,-0.2385451071180901,0.1459429870062299,-0.1551610461475472,0.0085403657983962,False,p<100M,0.50-0.55,0.50-1.00,h=1,13,12
37,1657,1656,1,6.412764017426562,0.1167037763024239,0.1389495863976313,-0.6022570675485369,-0.7764173343859431,-0.1741602668374061,0.129017905192041,-0.1389495863976313,0.0065903872987928,False,p<100M,0.55-0.60,0.50-1.00,h=1,7,6
76,2879,2878,1,6.965198290612176,0.1097843161595848,0.1282261417306278,-0.4754420603135719,-0.617864222748547,-0.142422162434975,0.1204495617554677,-0.1282261417306278,0.0057079229674847,False,p<100M,0.50-0.55,>=1.00,h=1,29,28
137,2819,2818,1,6.944137491114112,0.1100334695184228,0.1252023670442801,-0.5431934857752794,-0.686726666716912,-0.1435331809416326,0.1207553395984347,-0.1252023670442801,0.005738227772993,False,p<100M,0.50-0.55,0.50-1.00,h=1,29,28
48,3440807,3439819,811,46.90968440981942,0.0072712465886281,0.1225172337511368,-0.5714378009625797,-0.9443216109736275,-0.372883810011048,0.1072136412049886,-0.1225172337511368,-0.004195654339344,False,p<100M,0.55-0.60,0.10-0.25,257<=h<=1024,17,19
1136,5897,5896,1,7.682199026000504,0.1019121772932965,0.1166604661931528,-0.4608777997195147,-0.5697284214537426,-0.1088506217342279,0.1108886263423026,-0.1166604661931528,0.0048040974989884,False,p<100M,0.50-0.55,0.50-1.00,h=1,17,16
100,6421,6420,1,7.767329147794049,0.1010501788281202,0.1159896775054861,-0.6458832445091631,-0.7512602404968669,-0.1053769959877037,0.1098531528794008,-0.1159896775054861,0.0047112555747307,False,p<100M,0.50-0.55,0.50-1.00,h=1,1,0
2,24317,24178,3,17.186562246627208,0.0972921006486078,0.1157979799474991,-0.7899034104269596,-0.9152078611802412,-0.1253044507532818,0.1106139903704657,-0.1157979799474991,0.0041000570480796,False,p<100M,>=0.70,0.25-0.50,2<=h<=4,17,28
85,10357,10356,1,8.24541789858888,0.0964627367254228,0.1086725867349362,-0.5116194437080099,-0.5992889443167494,-0.0876695006087393,0.1043788308928695,-0.1086725867349362,0.0042366071465417,False,p<100M,0.50-0.55,0.50-1.00,h=1,7,6
