coordinate,rows_valid,corr_with_positive_theta,abs_corr_with_abs_theta,positive_median,nonpositive_median,median_separation_pos_minus_nonpos,positive_q90,nonpositive_q90,threshold_pos_q10,recall_at_pos_q10,false_positive_at_pos_q10,max_on_positive,min_on_positive
k4_sym_comp_norm,1468,0.7151293504980537,-0.20845291390105647,0.001183035954992124,-0.002677370608333414,0.0038604065633255384,0.0017888742949291909,-0.0014499606184253627,0.0008858052729004335,0.9,0.0,0.015432257878128127,-0.004195654339344053
k4_sym_all_norm,1468,0.637377081358238,-0.2789798330856976,0.0011789838275214032,-0.00338683957718001,0.004565823404701413,0.0016116164816111008,-0.0018266384362120697,0.0008857252170026184,0.9,0.0,0.015432257878128127,-0.006060952688088646
neg_Qmax,1468,0.2885690053930541,-0.2885690053930541,-0.057717756889844846,-0.09894114241649705,0.04122338552665221,-0.05221954530873355,-0.06770837438224352,-0.07069750815334401,0.9,0.16216216216216217,-0.0489909092562281,-0.2157084836048593
cp_residual_norm,1468,0.2885488641697164,-0.2885488641697164,-0.0577177568898449,-0.0989411424164971,0.041223385526652195,-0.05221954530873362,-0.06770837438224357,-0.07069750815334404,0.9,0.16216216216216217,-0.04899090925622816,-0.2157084836048593
repay_minus_prime_norm,1468,0.24095723965911667,-0.24095723965911667,-0.05610114754010029,-0.08045191256969027,0.02435076502958998,-0.05160418542508551,-0.04998204156913596,-0.0686674128632595,0.9,0.30405405405405406,-0.04432398853976412,-0.19265355863346534
D_end_norm,1468,0.17098478369115092,-0.17098478369115092,-0.5047709070111985,-0.6646320968038676,0.15986118979266906,-0.5011778164581826,-0.5575932225740872,-0.5315728437603622,0.9,0.033783783783783786,-0.4993413037966981,-1.0478843074853785
delta_D_norm,1468,0.1682227230037012,-0.1682227230037012,-0.0027274153955241004,-0.13690129053742134,0.13417387514189724,-0.0013675643285521847,-0.04440298714639123,-0.011310026436250203,0.9,0.0,-0.0008090134628487584,-0.40115941590006365
D_start_norm,1468,0.1601734576225269,-0.1601734576225269,-0.5015984780120216,-0.5278992596978015,0.026300781685779873,-0.4992727780115873,-0.5089126709344659,-0.52111628036139,0.9,0.39864864864864863,-0.4234435554586279,-0.9770199397789744
canonical_response_norm,1468,0.1306911485454877,0.1306911485454877,0.09096167252761944,0.09574090550821956,-0.004779232980600123,0.13790817308045955,0.2504332133157808,0.06833301180445453,0.9,0.8040540540540541,1.1905211577477515,0.027193395200937356
neg_canonical_response_norm,1468,-0.1306911485454877,0.1306911485454877,-0.09096167252761944,-0.09574090550821956,0.004779232980600123,-0.06833301180445453,-0.05858563939230048,-0.13790817308045952,0.9,0.7027027027027027,-0.027193395200937356,-1.1905211577477515
neg_D_start_norm,1468,-0.1601734576225269,-0.1601734576225269,0.5015984780120216,0.5278992596978015,-0.026300781685779873,0.52111628036139,0.5802533570873585,0.4992727780115873,0.9,1.0,0.9770199397789744,0.4234435554586279
neg_delta_D_norm,1468,-0.1682227230037012,-0.1682227230037012,0.0027274153955241004,0.13690129053742134,-0.13417387514189724,0.011310026436250203,0.9350219062755813,0.0013675643285521847,0.9,1.0,0.40115941590006365,0.0008090134628487584
neg_D_end_norm,1468,-0.17098478369115092,-0.17098478369115092,0.5047709070111985,0.6646320968038676,-0.15986118979266906,0.5315728437603622,1.5459986627586417,0.5011778164581826,0.9,1.0,1.0478843074853785,0.4993413037966981
prime_minus_repay_norm,1468,-0.24095723965911667,-0.24095723965911667,0.05610114754010029,0.08045191256969027,-0.02435076502958998,0.0686674128632595,0.23523115248479734,0.05160418542508552,0.9,0.8918918918918919,0.19265355863346534,0.04432398853976412
neg_cp_residual_norm,1468,-0.2885488641697164,-0.2885488641697164,0.0577177568898449,0.0989411424164971,-0.041223385526652195,0.07069750815334404,0.24983412239960984,0.05221954530873362,0.9,0.9932432432432432,0.2157084836048593,0.04899090925622816
cp_obstruction_norm,1468,-0.2885488641697164,-0.2885488641697164,0.0577177568898449,0.0989411424164971,-0.041223385526652195,0.07069750815334404,0.24983412239960984,0.05221954530873362,0.9,0.9932432432432432,0.2157084836048593,0.04899090925622816
Qmax,1468,-0.2885690053930541,-0.2885690053930541,0.057717756889844846,0.09894114241649705,-0.04122338552665221,0.07069750815334401,0.24983412239960975,0.05221954530873355,0.9,0.9932432432432432,0.2157084836048593,0.0489909092562281
neg_k4_sym_all_norm,1468,-0.637377081358238,-0.2789798330856976,-0.0011789838275214032,0.00338683957718001,-0.004565823404701413,-0.0008857252170026184,0.009416823660685091,-0.0016116164816111008,0.9,1.0,0.006060952688088646,-0.015432257878128127
neg_k4_sym_comp_norm,1468,-0.7151293504980537,-0.20845291390105647,-0.001183035954992124,0.002677370608333414,-0.0038604065633255384,-0.0008858052729004335,0.007384050583709077,-0.0017888742949291909,0.9,1.0,0.004195654339344053,-0.015432257878128127
