candidate_id,block_id,p_star,start_prime,worst_prime,end_prime,y,h,Q_R2Q,Q_tail_start,Q_tail_max_inside,Q_tail_end,Q_O2,Q_exc,Q_o2p4_total,accumulation_value,accumulation_balance,accumulation_margin,B3_value,B3_balance,B3_margin,unrepaid_tail,post_P0_flag,finite_certified_flag,near_forbidden_flag,forbidden_flag,C_minus_flag,covered_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_failure_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,candidate_crossing_flag,tail_candidate_flag,tail_candidate_crossing_flag,B3_status,B3_block_pass,O2_E_theta,E_theta_sign,O2_Q_R2Q,O2_finite_certified_flag,O2_threshold_relevant_flag,O2_forbidden_flag,O2_near_forbidden_flag,O2_negative_subthreshold_flag,O2_B3_repaid_flag,O2_B3_block_pass,O2_harmless_flag,O2_repaid_flag,O2_surviving_flag,O2_non_surviving_flag,O2_unrepaid_flag,O2_surviving_unrepaid_flag,O2_available_flag,O2_value,O2_margin,O2_failure_flag,O2_row_regime,TT_Q_R2Q,TT_E_theta,TT_Q_delta_D,TT_Q_exc,TT_epsilon,TT_threshold_relevant_flag,TT_positive_harmless_flag,TT_negative_transfer_flag,TT_finite_certified_flag,TT_row_regime,E_theta,row_regime,positive_flag,negative_flag,neutral_flag,threshold_row_flag,positive_harmless_flag,negative_subthreshold_flag,threshold_relevant_flag,O2_safe_flag,repaid_flag,surviving_flag,non_surviving_flag,harmless_flag,unrepaid_flag,surviving_unrepaid_flag,accumulation_risk_flag,B3_repaid_flag,B3_surviving_flag,zero_crossing_count,zero_crossing_flag,persistence_failure_flag,B3_numeric_failure_flag,B3_accumulation_failure_flag,B3_failure_flag,row_class
b3_00000,0,110312593,109816669,110102617,110312593,,,0.0,0.0,1.1611207216949435,0.0,0.0499059549846063,0.0205672364492246,0.0197548493142798,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,pass,True,,neutral_or_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,1,True,False,False,False,False,F_finite
b3_00001,1,180530237,179667343,179845447,180530237,179845447.0,684790.0,1.8193520399038576,0.0,0.9071321825031058,0.0,0.0499059549846063,0.0022301154184481,9.5330264469676e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-3089.9881332697114,negative,1.8193520399038576,True,True,True,True,False,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_negative_transfer_verified,1.8193520399038576,-3089.9881332697114,1.8091175489119344,0.0022301154184481,0.008004375573475,True,False,True,True,primitive_negative_transfer_verified,-3089.9881332697114,primitive_negative_transfer_verified,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00002,2,24317,24097,24137,24317,24178.0,3.0,0.1157979799474991,0.0446491650215903,0.8567312053277858,0.0,0.0499059549846063,0.0205672364492246,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,17.186562246627208,positive,0.1157979799474991,True,False,False,False,False,False,True,True,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,sign_inconsistent_positive_harmless,0.1157979799474991,17.186562246627208,0.1106139903704657,0.0184358992034248,-0.0132519096263913,False,True,False,True,sign_inconsistent_positive_harmless,17.186562246627208,sign_inconsistent_positive_harmless,True,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00003,3,30974597,30851291,30909673,30974597,30910184.0,64413.0,0.6812241515207513,0.0052309961572198,0.8629120832516217,0.0,0.0499059549846063,0.0022416133345536,0.0001142102173859,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-1027.9446158131832,negative,0.6812241515207513,True,False,False,False,True,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.6812241515207513,-1027.9446158131832,0.6643586881865706,0.0022416133345536,0.0146238499996271,False,False,True,True,primitive_full_verified,-1027.9446158131832,primitive_full_verified,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00004,4,59921,59387,59753,59921,59920.0,1.0,0.0921982535693211,0.0,0.8518451598922434,0.0,0.0499059549846063,0.0205672364492246,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,10.0007823069704,positive,0.0921982535693211,True,False,False,False,False,False,True,True,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,sign_inconsistent_positive_harmless,0.0921982535693211,10.0007823069704,0.0882306914983774,2.348567539256741e-16,0.0039675620709434,False,True,False,True,sign_inconsistent_positive_harmless,10.0007823069704,sign_inconsistent_positive_harmless,True,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00005,5,356077,354961,355111,356077,355293.0,784.0,0.1566810093663226,0.0137138731606163,0.723285753918713,0.0,0.0499059549846063,0.0128661873649445,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-4.315460261267276,negative,0.1566810093663226,True,False,False,False,True,True,True,True,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.1566810093663226,-4.315460261267276,0.1351797213221275,0.0128661873649445,0.0086351006792506,False,False,True,True,primitive_full_verified,-4.315460261267276,primitive_full_verified,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00006,6,3448507,3441799,3445943,3448507,3446024.0,2483.0,0.1786966438467436,0.023942285182783,0.7064708667057062,0.0,0.0499059549846063,0.0076387824505859,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-285.247239607314,negative,0.1786966438467436,True,False,False,False,True,True,True,True,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.1786966438467436,-285.247239607314,0.1494490028165924,0.0076387824505859,0.0216088585795653,False,False,True,True,primitive_full_verified,-285.247239607314,primitive_full_verified,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00007,7,30774449,30650107,30670319,30774449,30670319.0,104130.0,0.862526348366495,0.0032325641194259,0.647867166329954,0.0,0.0499059549846063,0.0037875901851982,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-928.3530182520336,negative,0.862526348366495,True,True,False,True,False,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_negative_transfer_verified,0.862526348366495,-928.3530182520336,0.8528427097579773,0.0037875901851982,0.0058960484233195,True,False,True,True,primitive_negative_transfer_verified,-928.3530182520336,primitive_negative_transfer_verified,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00008,8,3452747,3448573,3451211,3452747,3451296.0,1451.0,0.1383470038914393,0.0,0.6404331291061793,0.0,0.0499059549846063,0.0076429115920426,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-246.6432758578178,negative,0.1383470038914393,True,False,False,False,True,True,True,True,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.1383470038914393,-246.6432758578178,0.1049756413821095,0.0076429115920426,0.0257284509172872,False,False,True,True,primitive_full_verified,-246.6432758578178,primitive_full_verified,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00009,9,12883477,12848027,12871811,12883477,12871995.0,11482.0,0.3212949859833325,0.0,0.6392331937752194,0.0,0.0499059549846063,0.0039191521021917,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-480.68150179983786,negative,0.3212949859833325,True,False,False,False,True,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.3212949859833325,-480.68150179983786,0.3009444286825112,0.0039191521021917,0.0164314051986296,False,False,True,True,primitive_full_verified,-480.68150179983786,primitive_full_verified,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
