candidate_id,x,source,theta_candidate_flag,B3_candidate_flag,post_P0_flag,finite_certificate_flag,selected_block_id,covered_flag,control_relation_flag,status
cand_00000,180530237,theta,True,False,False,True,theta_local:1:179845447:684790,True,True,covered
cand_00001,24181,theta,True,False,False,True,theta_local:2:24178:3,True,True,covered
cand_00002,30974597,theta,True,False,False,True,theta_local:3:30910184:64413,True,True,covered
cand_00003,59921,theta,True,False,False,True,theta_local:4:59920:1,True,True,covered
cand_00004,356077,theta,True,False,False,True,theta_local:5:355293:784,True,True,covered
cand_00005,3448507,theta,True,False,False,True,theta_local:6:3446024:2483,True,True,covered
cand_00006,30774449,theta,True,False,False,True,theta_local:7:30670319:104130,True,True,covered
cand_00007,3452747,theta,True,False,False,True,theta_local:8:3451296:1451,True,True,covered
cand_00008,12883477,theta,True,False,False,True,theta_local:9:12871995:11482,True,True,covered
cand_00009,178298621,theta,True,False,False,True,theta_local:10:178254856:43765,True,True,covered
cand_00010,211,theta,True,False,False,True,theta_local:11:210:1,True,True,covered
cand_00011,3279709,theta,True,False,False,True,theta_local:12:3278912:797,True,True,covered
cand_00012,42899,theta,True,False,False,True,theta_local:13:42898:1,True,True,covered
cand_00013,1195591,theta,True,False,False,True,theta_local:14:1195386:205,True,True,covered
cand_00014,43133,theta,True,False,False,True,theta_local:15:43132:1,True,True,covered
cand_00015,58309,theta,True,False,False,True,theta_local:16:58308:1,True,True,covered
cand_00016,59333,theta,True,False,False,True,theta_local:17:59332:1,True,True,covered
cand_00017,3241093,theta,True,False,False,True,theta_local:18:3239129:1964,True,True,covered
cand_00018,1515197,theta,True,False,False,True,theta_local:19:1513853:1344,True,True,covered
cand_00019,58511,theta,True,False,False,True,theta_local:20:58510:1,True,True,covered
cand_00020,30847123,theta,True,False,False,True,theta_local:21:30831334:15789,True,True,covered
cand_00021,60209,theta,True,False,False,True,theta_local:22:60208:1,True,True,covered
cand_00022,354553,theta,True,False,False,True,theta_local:23:354550:3,True,True,covered
cand_00023,180619079,theta,True,False,False,True,theta_local:24:180557417:61662,True,True,covered
cand_00024,109813367,theta,True,False,False,True,theta_local:25:109790208:23159,True,True,covered
cand_00025,230563,theta,True,False,False,True,theta_local:26:230560:3,True,True,covered
cand_00026,1192781,theta,True,False,False,True,theta_local:27:1192323:458,True,True,covered
cand_00027,109670797,theta,True,False,False,True,theta_local:28:109660803:9994,True,True,covered
cand_00028,3456977,theta,True,False,False,True,theta_local:29:3455716:1261,True,True,covered
cand_00029,4994789,theta,True,False,False,True,theta_local:30:4991760:3029,True,True,covered
cand_00030,7108243,theta,True,False,False,True,theta_local:31:7105465:2778,True,True,covered
cand_00031,3293113,theta,True,False,False,True,theta_local:32:3292080:1033,True,True,covered
cand_00032,1197619,theta,True,False,False,True,theta_local:33:1197615:4,True,True,covered
cand_00033,127,theta,True,False,False,True,theta_local:34:126:1,True,True,covered
cand_00034,354953,theta,True,False,False,True,theta_local:35:354952:1,True,True,covered
cand_00035,39707851,theta,True,False,False,True,theta_local:36:39704004:3847,True,True,covered
cand_00036,1657,theta,True,False,False,True,theta_local:37:1656:1,True,True,covered
cand_00037,155921,theta,True,False,False,True,theta_local:38:155920:1,True,True,covered
cand_00038,39690667,theta,True,False,False,True,theta_local:39:39682692:7975,True,True,covered
cand_00039,30417481,theta,True,False,False,True,theta_local:40:30409154:8327,True,True,covered
cand_00040,604672261,theta,True,False,True,False,theta_local:41:604520611:151650,True,True,covered
cand_00041,7117417,theta,True,False,False,True,theta_local:42:7115469:1948,True,True,covered
cand_00042,12781267,theta,True,False,False,True,theta_local:43:12779528:1739,True,True,covered
cand_00043,109588091,theta,True,False,False,True,theta_local:44:109577354:10737,True,True,covered
cand_00044,12836777,theta,True,False,False,True,theta_local:45:12833438:3339,True,True,covered
cand_00045,618029,theta,True,False,False,True,theta_local:46:618028:1,True,True,covered
cand_00046,12807413,theta,True,False,False,True,theta_local:47:12805898:1515,True,True,covered
cand_00047,3440630,theta,True,False,False,True,theta_local:48:3439819:811,True,True,covered
cand_00048,33902159,theta,True,False,False,True,theta_local:49:33888759:13400,True,True,covered
cand_00049,3457967,theta,True,False,False,True,theta_local:50:3457512:455,True,True,covered
cand_00050,12842173,theta,True,False,False,True,theta_local:51:12840082:2091,True,True,covered
cand_00051,1512479,theta,True,False,False,True,theta_local:52:1512478:1,True,True,covered
cand_00052,356173,theta,True,False,False,True,theta_local:53:356170:3,True,True,covered
cand_00053,7112297,theta,True,False,False,True,theta_local:54:7110038:2259,True,True,covered
cand_00054,12895717,theta,True,False,False,True,theta_local:55:12894136:1581,True,True,covered
cand_00055,1511449,theta,True,False,False,True,theta_local:56:1511046:403,True,True,covered
cand_00056,179620853,theta,True,False,False,True,theta_local:57:179616870:3983,True,True,covered
cand_00057,1188361,theta,True,False,False,True,theta_local:58:1188358:3,True,True,covered
cand_00058,293,theta,True,False,False,True,theta_local:59:292:1,True,True,covered
cand_00059,3290983,theta,True,False,False,True,theta_local:60:3290975:8,True,True,covered
cand_00060,1190071,theta,True,False,False,True,theta_local:61:1190068:3,True,True,covered
cand_00061,113166227,theta,True,False,False,True,theta_local:62:113154493:11734,True,True,covered
cand_00062,30816007,theta,True,False,False,True,theta_local:63:30813688:2319,True,True,covered
cand_00063,604810421,theta,True,False,True,False,theta_local:64:604757400:53021,True,True,covered
cand_00064,3438889,theta,True,False,False,True,theta_local:65:3438886:3,True,True,covered
cand_00065,1196077,theta,True,False,False,True,theta_local:66:1196076:1,True,True,covered
cand_00066,39699197,theta,True,False,False,True,theta_local:67:39695992:3205,True,True,covered
cand_00067,1192069,theta,True,False,False,True,theta_local:68:1192068:1,True,True,covered
cand_00068,108581987,theta,True,False,False,True,theta_local:69:108578163:3824,True,True,covered
cand_00069,12847921,theta,True,False,False,True,theta_local:70:12847029:892,True,True,covered
cand_00070,1191481,theta,True,False,False,True,theta_local:71:1191480:1,True,True,covered
cand_00071,12843647,theta,True,False,False,True,theta_local:72:12843190:457,True,True,covered
cand_00072,40882169,theta,True,False,False,True,theta_local:73:40877269:4900,True,True,covered
cand_00073,1186291,theta,True,False,False,True,theta_local:74:1186290:1,True,True,covered
cand_00074,113195507,theta,True,False,False,True,theta_local:75:113182659:12848,True,True,covered
cand_00075,2879,theta,True,False,False,True,theta_local:76:2878:1,True,True,covered
cand_00076,39674417,theta,True,False,False,True,theta_local:77:39673239:1178,True,True,covered
cand_00077,3441797,theta,True,False,False,True,theta_local:78:3441229:568,True,True,covered
cand_00078,109546081,theta,True,False,False,True,theta_local:79:109535495:10586,True,True,covered
cand_00079,1198513,theta,True,False,False,True,theta_local:80:1198510:3,True,True,covered
cand_00080,1512197,theta,True,False,False,True,theta_local:81:1512196:1,True,True,covered
cand_00081,12782500,theta,True,False,False,True,theta_local:82:12782006:494,True,True,covered
cand_00082,42923,theta,True,False,False,True,theta_local:83:42922:1,True,True,covered
cand_00083,617579,theta,True,False,False,True,theta_local:84:617578:1,True,True,covered
cand_00084,10357,theta,True,False,False,True,theta_local:85:10356:1,True,True,covered
cand_00085,15859,theta,True,False,False,True,theta_local:86:15858:1,True,True,covered
cand_00086,109467389,theta,True,False,False,True,theta_local:87:109460158:7231,True,True,covered
cand_00087,3290641,theta,True,False,False,True,theta_local:88:3290318:323,True,True,covered
cand_00088,1188149,theta,True,False,False,True,theta_local:89:1188148:1,True,True,covered
cand_00089,179641471,theta,True,False,False,True,theta_local:90:179630689:10782,True,True,covered
cand_00090,179602723,theta,True,False,False,True,theta_local:91:179595316:7407,True,True,covered
cand_00091,3453943,theta,True,False,False,True,theta_local:92:3453942:1,True,True,covered
cand_00092,1188839,theta,True,False,False,True,theta_local:93:1188838:1,True,True,covered
cand_00093,618119,theta,True,False,False,True,theta_local:94:618118:1,True,True,covered
cand_00094,178011341,theta,True,False,False,True,theta_local:95:178005997:5344,True,True,covered
cand_00095,3438637,theta,True,False,False,True,theta_local:96:3438262:375,True,True,covered
cand_00096,30981239,theta,True,False,False,True,theta_local:97:30980149:1090,True,True,covered
cand_00097,33843191,theta,True,False,False,True,theta_local:98:33842396:795,True,True,covered
cand_00098,4991034,theta,True,False,False,True,theta_local:99:4990677:357,True,True,covered
cand_00099,6421,theta,True,False,False,True,theta_local:100:6420:1,True,True,covered
cand_00100,1510643,theta,True,False,False,True,theta_local:101:1510642:1,True,True,covered
cand_00101,33477793,theta,True,False,False,True,theta_local:102:33476547:1246,True,True,covered
cand_00102,33824779,theta,True,False,False,True,theta_local:103:33823778:1001,True,True,covered
cand_00103,30358319,theta,True,False,False,True,theta_local:104:30357034:1285,True,True,covered
cand_00104,604432601,theta,True,False,True,False,theta_local:105:604410439:22162,True,True,covered
cand_00105,479,theta,True,False,False,True,theta_local:106:478:1,True,True,covered
cand_00106,231701,theta,True,False,False,True,theta_local:107:231700:1,True,True,covered
cand_00107,39634747,theta,True,False,False,True,theta_local:108:39633125:1622,True,True,covered
cand_00108,33492847,theta,True,False,False,True,theta_local:109:33491912:935,True,True,covered
cand_00109,39655321,theta,True,False,False,True,theta_local:110:39654336:985,True,True,covered
cand_00110,30780011,theta,True,False,False,True,theta_local:111:30777698:2313,True,True,covered
cand_00111,3459077,theta,True,False,False,True,theta_local:112:3459076:1,True,True,covered
cand_00112,30784249,theta,True,False,False,True,theta_local:113:30783029:1220,True,True,covered
cand_00113,359419,theta,True,False,False,True,theta_local:114:359416:3,True,True,covered
cand_00114,3453551,theta,True,False,False,True,theta_local:115:3453550:1,True,True,covered
cand_00115,12830269,theta,True,False,False,True,theta_local:116:12829371:898,True,True,covered
cand_00116,17992177,theta,True,False,False,True,theta_local:117:17991472:705,True,True,covered
cand_00117,179650181,theta,True,False,False,True,theta_local:118:179648340:1841,True,True,covered
cand_00118,1513271,theta,True,False,False,True,theta_local:119:1513270:1,True,True,covered
cand_00119,108561281,theta,True,False,False,True,theta_local:120:108557409:3872,True,True,covered
cand_00120,108842081,theta,True,False,False,True,theta_local:121:108840439:1642,True,True,covered
cand_00121,30418643,theta,True,False,False,True,theta_local:122:30418642:1,True,True,covered
cand_00122,3277217,theta,True,False,False,True,theta_local:123:3277216:1,True,True,covered
cand_00123,30340831,theta,True,False,False,True,theta_local:124:30340827:4,True,True,covered
cand_00124,33827861,theta,True,False,False,True,theta_local:125:33826320:1541,True,True,covered
cand_00125,40847383,theta,True,False,False,True,theta_local:126:40847382:1,True,True,covered
cand_00126,3236861,theta,True,False,False,True,theta_local:127:3236860:1,True,True,covered
cand_00127,187449539,theta,True,False,False,True,theta_local:128:187440181:9358,True,True,covered
cand_00128,40874291,theta,True,False,False,True,theta_local:129:40872504:1787,True,True,covered
cand_00129,109678603,theta,True,False,False,True,theta_local:130:109674416:4187,True,True,covered
cand_00130,12786583,theta,True,False,False,True,theta_local:131:12786580:3,True,True,covered
cand_00131,1189387,theta,True,False,False,True,theta_local:132:1189386:1,True,True,covered
cand_00132,30343471,theta,True,False,False,True,theta_local:133:30342328:1143,True,True,covered
cand_00133,1189751,theta,True,False,False,True,theta_local:134:1189750:1,True,True,covered
cand_00134,12831227,theta,True,False,False,True,theta_local:135:12830878:349,True,True,covered
cand_00135,359539,theta,True,False,False,True,theta_local:136:359538:1,True,True,covered
cand_00136,2819,theta,True,False,False,True,theta_local:137:2818:1,True,True,covered
cand_00137,7048213,theta,True,False,False,True,theta_local:138:7048210:3,True,True,covered
cand_00138,109556411,theta,True,False,False,True,theta_local:139:109553597:2814,True,True,covered
cand_00139,1512661,theta,True,False,False,True,theta_local:140:1512660:1,True,True,covered
cand_00140,12799573,theta,True,False,False,True,theta_local:141:12799572:1,True,True,covered
cand_00141,2275961,theta,True,False,False,True,theta_local:142:2275960:1,True,True,covered
cand_00142,42533,theta,True,False,False,True,theta_local:143:42532:1,True,True,covered
cand_00143,445069,theta,True,False,False,True,theta_local:144:445068:1,True,True,covered
cand_00144,1517807,theta,True,False,False,True,theta_local:145:1517806:1,True,True,covered
cand_00145,1518061,theta,True,False,False,True,theta_local:146:1518060:1,True,True,covered
