gap_id,gap_start,gap_end,gap_length,why_unknown,needed_data_or_lemma
gap_000,604141169,604141326,157,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_001,604141327,604141552,225,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_002,604141553,604141756,203,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_003,604141757,604142790,1033,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_004,604143557,604143750,193,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_005,604143751,604143796,45,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_006,604143797,604150566,6769,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_007,604150567,604150626,59,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_008,604150627,604150726,99,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_009,604150727,604150786,59,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_010,604150787,604150828,41,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_011,604150829,604150990,161,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_012,604150991,604157050,6059,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_013,604157051,604160736,3685,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_014,604160737,604161649,912,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_015,604167899,604170576,2677,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_016,604170577,604170642,65,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_017,604170643,604176892,6249,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_018,604176893,604193620,16727,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_019,604193621,604203810,10189,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_020,604203811,604205268,1457,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_021,604205269,604205662,393,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
