file_name,file_path,contains_candidate_generator_rule,contains_first_exit_target,contains_upper_jump_generation,contains_lower_drift_bracketing,contains_gap_safety_claim,contains_gap_scan_data,contains_FullFCL_completeness_claim,contains_symbolic_completeness_proof,contains_certificate_completeness_claim,contains_sampled_grid_warning,contains_full_grid_HExc_upgrade,contains_failed_delta_route,failed_delta_route_used_as_proof,status,notes
Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,True,True,True,True,True,True,True,True,True,True,True,False,False,proof_attack,explicitly conditional
Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,False,False,True,True,True,True,True,False,True,True,False,False,False,audit_result,explicitly conditional
Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,False,True,True,True,True,True,True,True,True,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,False,False,True,True,False,False,True,False,True,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,False,False,True,True,False,False,False,True,True,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Conditional_Closure_Update_v1.md,False,False,True,True,False,False,True,True,True,False,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,False,False,True,True,False,False,False,False,True,True,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,True,False,False,False,False,False,True,True,True,False,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,True,False,False,False,False,False,True,True,True,False,False,False,False,target_or_skeleton,explicitly conditional
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,True,False,False,False,False,False,True,False,True,False,False,False,False,target_or_skeleton,
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,False,False,False,False,False,False,True,False,True,False,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,False,False,False,False,False,False,True,False,True,False,False,False,False,closure_update,
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,True,False,False,False,False,False,True,False,True,False,False,False,False,candidate,
