statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,symbolic_or_conditional_or_certificate,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,1,first-exit necessary condition,# Prime Mesh R2Q — ContinuousFirstExit CandidateCompleteness Proof Attack v1,unspecified,unspecified,True,False
S0002,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,3,first-exit necessary condition,**Document:** `Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md`,unspecified,unspecified,True,False
S0003,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,6,first-exit necessary condition,**Status:** Proof attack plan for the remaining continuous first-exit candidate-completeness theorem,symbolic,symbolic,True,False
S0004,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,6,continuous candidate-selection claim,**Status:** Proof attack plan for the remaining continuous first-exit candidate-completeness theorem,symbolic,symbolic,True,False
S0005,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,7,first-exit necessary condition,"**Purpose:** Attack the theorem that every possible post-\(P_0\) continuous first-exit configuration is generated as, or bracketed by, an audited FullFCL/theta candidate.",symbolic,symbolic,True,False
S0006,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,7,FullFCL completeness claim,"**Purpose:** Attack the theorem that every possible post-\(P_0\) continuous first-exit configuration is generated as, or bracketed by, an audited FullFCL/theta candidate.",symbolic,symbolic,True,False
S0007,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,7,continuous candidate-selection claim,"**Purpose:** Attack the theorem that every possible post-\(P_0\) continuous first-exit configuration is generated as, or bracketed by, an audited FullFCL/theta candidate.",symbolic,symbolic,True,False
S0008,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,13,certificate-backed candidate coverage statement,"The GlobalBridge is now conditionally assembled, and the audited candidate layers pass.",certificate,certificate,True,False
S0009,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,19,first-exit necessary condition,"\text{every possible post-}P_0\text{ continuous first-exit configuration is generated as, or bracketed by, an audited FullFCL/theta candidate.}",certificate,certificate,True,False
S0010,Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_ContinuousFirstExit_CandidateCompleteness_Proof_Attack_v1.md,19,FullFCL completeness claim,"\text{every possible post-}P_0\text{ continuous first-exit configuration is generated as, or bracketed by, an audited FullFCL/theta candidate.}",certificate,certificate,True,False
