regime,rows,Q_delta_D_min,Q_delta_D_max,Q_delta_D_mean,Q_delta_D_median,Q_delta_D_q95,Q_delta_D_q99,above_0p20,above_0p225,above_0p24,above_0p25,Q_R2Q_max,Q_exc_max,abs_epsilon_max
all_positive,1320,0.0443239885397641,0.1926535586334653,0.0578678295329825,0.056101147540100246,0.07317313180348672,0.09993047017263122,0,0,0,0,0.2157084836048593,0.0205672364492246,0.0230549249713939
finite_zone,1200,0.0443239885397641,0.1926535586334653,0.058775721797375106,0.05659780117118255,0.07497526446592442,0.10440717899599067,0,0,0,0,0.2157084836048593,0.0205672364492246,0.0230549249713939
post_P0_tail,120,0.0484881126989565,0.0561928873996106,0.04878890688905645,0.04866455994645575,0.0486667080733224,0.05476236707046015,0,0,0,0,0.0585344103602869,0.0122977701368278,0.0104134134157591
sign_inconsistent_positive_harmless,1320,0.0443239885397641,0.1926535586334653,0.0578678295329825,0.056101147540100246,0.07317313180348672,0.09993047017263122,0,0,0,0,0.2157084836048593,0.0205672364492246,0.0230549249713939
h_bin:257<=h<=1024,9,0.0475037148836558,0.1072136412049886,0.0655803252018727,0.0580683692317381,0.0968013668647004,0.10513118633693096,0,0,0,0,0.1225172337511368,0.0089098695882727,0.0115570273098307
h_bin:2<=h<=4,61,0.0484881126989565,0.1106139903704657,0.06464143526781947,0.0612881804444233,0.0880421204440856,0.09887978218173508,0,0,0,0,0.1157979799474991,0.0184358992034248,0.0144977968452248
h_bin:5<=h<=16,6,0.0555864061262656,0.068097615704397,0.06184902511761011,0.06278747351242871,0.06705691445476103,0.0678894754544698,0,0,0,0,0.0730965487832678,0.0205672364492246,0.0155683033703539
h_bin:65<=h<=256,3,0.0443239885397641,0.0648220454203745,0.05236418773177543,0.0479465292351877,0.06313449380185582,0.06448453509667076,0,0,0,0,0.0899443884131837,0.0127144572989962,0.0124078856938128
h_bin:h=1,1241,0.0486638070750198,0.1926535586334653,0.05747300386098475,0.0560969399747959,0.0698377238341033,0.09982987236870336,0,0,0,0,0.2157084836048593,8.898615503505933e-15,0.0230549249713939
p_star_bin:100K<=p<1M,34,0.0711609148989283,0.0910569767225814,0.0777184053725998,0.0762238427626486,0.08805287782575294,0.09007221682482128,0,0,0,0,0.0944180902326222,0.0151761792087925,0.0128626552180536
p_star_bin:100M<=p<500M,475,0.0514061644235071,0.0613169333288047,0.05263202399758171,0.0530080536301641,0.05310206024958767,0.06128190059399359,0,0,0,0,0.0638594994842023,0.0134309492743368,0.0126395289881668
p_star_bin:1K<=p<100K,22,0.0881934154907322,0.129017905192041,0.09889259393781404,0.0909439737458075,0.12074005070628635,0.12728276641738367,0,0,0,0,0.1389495863976313,0.0184358992034248,0.0132519096263914
p_star_bin:1M<=p<100M,664,0.0443239885397641,0.1072136412049886,0.06005852971545844,0.056949278138179155,0.0698051145494397,0.07663941370530114,0,0,0,0,0.1225172337511368,0.0205672364492246,0.0155683033703539
p_star_bin:p<1K,5,0.1459429870062299,0.1926535586334653,0.16674563552682248,0.1660290921582204,0.18923520213875797,0.19196988733452383,0,0,0,0,0.2157084836048593,5.505631574898212e-17,0.0230549249713939
p_star_bin:p>=500M,120,0.0484881126989565,0.0561928873996106,0.04878890688905645,0.04866455994645575,0.0486667080733224,0.05476236707046015,0,0,0,0,0.0585344103602869,0.0122977701368278,0.0104134134157591
