separator,rows,Q_delta_D_max,Q_delta_D_q95,Q_delta_D_q99,above_0p25
all_positive,1320,0.1926535586334653,0.07317313180348672,0.09993047017263122,0
positive_finite,1200,0.1926535586334653,0.07497526446592442,0.10440717899599067,0
positive_tail,120,0.0561928873996106,0.0486667080733224,0.05476236707046015,0
positive_h_bin:257<=h<=1024,9,0.1072136412049886,0.0968013668647004,0.10513118633693096,0
positive_h_bin:2<=h<=4,61,0.1106139903704657,0.0880421204440856,0.09887978218173508,0
positive_h_bin:5<=h<=16,6,0.068097615704397,0.06705691445476103,0.0678894754544698,0
positive_h_bin:65<=h<=256,3,0.0648220454203745,0.06313449380185582,0.06448453509667076,0
positive_h_bin:h=1,1241,0.1926535586334653,0.0698377238341033,0.09982987236870336,0
positive_p_bin:100K<=p<1M,34,0.0910569767225814,0.08805287782575294,0.09007221682482128,0
positive_p_bin:100M<=p<500M,475,0.0613169333288047,0.05310206024958767,0.06128190059399359,0
positive_p_bin:1K<=p<100K,22,0.129017905192041,0.12074005070628635,0.12728276641738367,0
positive_p_bin:1M<=p<100M,664,0.1072136412049886,0.0698051145494397,0.07663941370530114,0
positive_p_bin:p<1K,5,0.1926535586334653,0.18923520213875797,0.19196988733452383,0
positive_p_bin:p>=500M,120,0.0561928873996106,0.0486667080733224,0.05476236707046015,0
