field,value
rows,1468
primitive_full_rows,1468
primitive_missing_rows,0
positive_rows,1320
negative_rows,148
zero_rows,0
unknown_rows,0
post_P0_rows,142
finite_zone_rows,1326
threshold_relevant_rows,3
forbidden_rows,1
Q_delta_D_max,1.8091175489119344
Q_delta_D_positive_max,0.1926535586334653
Q_delta_D_negative_max,1.8091175489119344
Q_delta_D_threshold_relevant_max,1.8091175489119344
Q_delta_D_post_P0_max,0.7467076670478365
Q_delta_D_finite_max,1.8091175489119344
positive_Q_delta_D_q95,0.07317313180348672
positive_Q_delta_D_q99,0.09993047017263122
positive_above_0p25_count,0
Q_delta_D_gt_0p75_rows,2
Q_delta_D_gt_0p75_negative_rows,2
Q_delta_D_gt_0p75_positive_rows,0
Q_delta_D_gt_0p75_violations,0
threshold_relevant_endpoint_dominant_count,3
threshold_relevant_endpoint_dominant_frac,1.0
min_Q_delta_D_share_threshold_relevant,0.9865866873249447
sign_inconsistent_rows,1320
sign_inconsistent_positive_rows,1320
sign_inconsistent_Q_delta_D_max,0.1926535586334653
sign_inconsistent_Q_R2Q_max,0.2157084836048593
sign_inconsistent_threshold_relevant_rows,0
sign_inconsistent_forbidden_rows,0
positive_short_window_max,0.1926535586334653
positive_tail_max,0.0561928873996106
pass_positive_endpoint_cap,True
pass_endpoint_threshold_transfer,True
pass_threshold_endpoint_dominance,True
pass_sign_inconsistency_harmless,True
endpoint_motion_structure_failures,0
pass_endpoint_motion_structure_empirical,True
recommended_theorem_form,positive_endpoint_cap_plus_threshold_endpoint_transfer_with_harmless_sign_inconsistency
recommended_next_file,Prime_Mesh_R2Q_EndpointMotion_Structure_Theorem_Target_v1.md
