field,value
rows,1468
primitive_full_rows,1468
missing_D_endpoint_rows,0
missing_DeltaD_rows,0
missing_Q_delta_D_rows,0
missing_bridge_excursion_rows,0
missing_Q_exc_rows,0
invalid_scale_rows,0
max_abs_DeltaD_recompute_error,3.6415315207705135e-12
max_abs_Q_delta_D_recompute_error,2.220446049250313e-16
max_abs_Q_exc_recompute_error,1.0061396160665481e-16
max_formula_reconstruction_error,2.220446049250313e-16
formula_reconstruction_failures,0
threshold_relevant_rows,3
threshold_relevant_DN_failures,0
forbidden_rows,1
forbidden_DN_failures,0
positive_rows,1320
positive_DN_failures,0
endpoint_path_construction_failures,0
pass_endpoint_path_DN_construction_empirical,True
recommended_theorem_form,DN_endpoint_path_construction_verified_for_full_primitive_inventory
recommended_next_file,Prime_Mesh_R2Q_EndpointPath_DN_Construction_Closure_Update_v1.md
