block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
1,180530237,179845447,684790,-9765.168998323748,-550860.8832795271,-541095.7142812033,negative,1.8091175489119344,0.0022301154184481,1.8113476643303823,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,1.8091175489119344,True,True,True,False,h>65536,100M<=p<500M,0.006-0.01,>=0.70,0.0
7,30774449,30670319,104130,-3672.24244464055,-85488.94963792409,-81816.70719328354,negative,0.8528427097579773,0.0037875901851982,0.8566302999431755,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.8528427097579773,True,True,True,False,h>65536,p<100M,0.01-0.018,0.65-0.70,0.0
41,604672261,604520611,151650,-13895.06128730599,-132784.31185344377,-118889.25056613778,negative,0.7467076670478365,0.0014698183580815,0.7481774854059181,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.7467076670478365,True,True,True,True,h>65536,p>=500M,0.018-0.05,0.55-0.60,0.0
3,30974597,30910184,64413,-4189.11794672998,-54354.14035448835,-50165.02240775837,negative,0.6643586881865706,0.0022416133345536,0.6666003015211243,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.6643586881865706,True,True,True,False,8193<=h<=65536,p<100M,0.018-0.05,>=0.70,0.0078707411742961
24,180619079,180557417,61662,-7832.904115998194,-55664.72449150575,-47831.82037550756,negative,0.5329138719787416,0.0051149881925594,0.5380288601713011,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.5329138719787416,True,True,True,False,8193<=h<=65536,100M<=p<500M,0.018-0.05,0.55-0.60,0.0
10,178298621,178254856,43765,-8710.023780257156,-41728.370810160646,-33018.34702990349,negative,0.437251926315424,0.0025143310542018,0.4397662573696258,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.437251926315424,True,True,True,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.60-0.65,0.0078663402248821
64,604810421,604757400,53021,-13652.919485136585,-54750.57469000804,-41097.65520487146,negative,0.436528398028676,0.0016779826148503,0.4382063806435263,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.436528398028676,True,True,True,True,8193<=h<=65536,p>=500M,0.018-0.05,0.50-0.55,0.0078776991879046
25,109813367,109790208,23159,-6243.548424860049,-23926.429705648483,-17682.881280788435,negative,0.3389837450779626,0.0045682420338709,0.3435519871118336,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.3389837450779626,True,True,True,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.55-0.60,0.0157671058223544
21,30847123,30831334,15789,-3291.774805658332,-15413.68237434975,-12121.907568691418,negative,0.3244066291128366,0.0060303868534807,0.3304370159663173,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.3244066291128366,True,True,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,0.0078547191152444
9,12883477,12871995,11482,-2412.5263892811627,-11055.629614520863,-8643.103225239702,negative,0.3009444286825112,0.0039191521021917,0.304863580784703,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.3009444286825112,True,True,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.65-0.70,0.0157723298474198
