regime_field,regime_value,rows,Q_R2Q_max,Q_delta_D_min,E_theta_max,positive_E_theta_count,nonnegative_E_theta_count,threshold_failures,delta_failures,positive_harmless_failures
post_P0_by_pstar,False,1326,1.8193520399038576,0.0382936799710714,88.76041429147188,1200,1200,0,0,0
post_P0_by_pstar,True,142,0.7568596623500748,0.0407906886563794,37.441031337481846,120,120,0,1,0
finite_certified_flag,False,142,0.7568596623500748,0.0407906886563794,37.441031337481846,120,120,0,1,0
finite_certified_flag,True,1326,1.8193520399038576,0.0382936799710714,88.76041429147188,1200,1200,0,0,0
row_regime,primitive_full_verified,146,0.7568596623500748,0.0382936799710714,-1.5258205110753806,0,0,0,1,0
row_regime,primitive_negative_transfer_verified,2,1.8193520399038576,0.8528427097579773,-928.3530182520336,0,0,0,0,0
row_regime,sign_inconsistent_positive_harmless,1320,0.2157084836048593,0.0443239885397641,88.76041429147188,1320,1320,0,0,0
threshold_relevant_flag,False,1465,0.6812241515207513,0.0382936799710714,88.76041429147188,1320,1320,0,0,0
threshold_relevant_flag,True,3,1.8193520399038576,0.7467076670478365,-928.3530182520336,0,0,0,1,0
forbidden_flag,False,1467,0.862526348366495,0.0382936799710714,88.76041429147188,1320,1320,0,1,0
forbidden_flag,True,1,1.8193520399038576,1.8091175489119344,-3089.9881332697114,0,0,0,0,0
E_theta_sign,negative,148,1.8193520399038576,0.0382936799710714,-1.5258205110753806,0,0,0,1,0
E_theta_sign,positive,1320,0.2157084836048593,0.0443239885397641,88.76041429147188,1320,1320,0,0,0
Q_R2Q_bin,"(-inf, 0.305]",1457,0.2914811871626422,0.0382936799710714,88.76041429147188,1320,1320,0,0,0
Q_R2Q_bin,"(0.305, 0.75]",8,0.6812241515207513,0.2975764937115444,-291.8733586694325,0,0,0,0,0
Q_R2Q_bin,"(0.75, 0.805]",1,0.7568596623500748,0.7467076670478365,-1617.0683062109456,0,0,0,1,0
Q_R2Q_bin,"(0.805, 1.0]",1,0.862526348366495,0.8528427097579773,-928.3530182520336,0,0,0,0,0
Q_R2Q_bin,"(1.0, inf]",1,1.8193520399038576,1.8091175489119344,-3089.9881332697114,0,0,0,0,0
Q_delta_D_bin,"(-inf, 0.25]",1454,0.2503069484559692,0.0382936799710714,88.76041429147188,1320,1320,0,0,0
Q_delta_D_bin,"(0.25, 0.75]",12,0.7568596623500748,0.2536736118314834,-291.8733586694325,0,0,0,1,0
Q_delta_D_bin,"(0.75, 1.0]",1,0.862526348366495,0.8528427097579773,-928.3530182520336,0,0,0,0,0
Q_delta_D_bin,"(1.0, inf]",1,1.8193520399038576,1.8091175489119344,-3089.9881332697114,0,0,0,0,0
