audit_name,script_name,script_exists,py_compile_pass,run_attempted,run_pass,stdout_log,stderr_log,summary_file,summary_file_exists,expected_counts_pass,failure_file,failure_file_exists,failure_file_empty,failure_expected_empty,critical,status,notes
EndpointMotion ThresholdTransfer,prime_mesh_r2q_endpointmotion_thresholdtransfer_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_endpointmotion_thresholdtransfer_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_endpointmotion_thresholdtransfer_audit.stderr.txt,prime_mesh_r2q_endpointmotion_thresholdtransfer_summary.csv,True,True,prime_mesh_r2q_endpointmotion_thresholdtransfer_failures.csv,True,False,False,True,PASS,expected intermediate failure rows present
O2 Repayment Closure,prime_mesh_r2q_o2_repayment_closure_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_o2_repayment_closure_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_o2_repayment_closure_audit.stderr.txt,prime_mesh_r2q_o2_repayment_closure_summary.csv,True,True,prime_mesh_r2q_o2_repayment_closure_failures.csv,True,True,True,True,PASS,
B3 NoAccumulation,prime_mesh_r2q_b3_noaccumulation_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_b3_noaccumulation_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_b3_noaccumulation_audit.stderr.txt,prime_mesh_r2q_b3_noaccumulation_summary.csv,True,True,prime_mesh_r2q_b3_noaccumulation_failures.csv,True,True,True,True,PASS,
NeutralClause Closure,prime_mesh_r2q_neutral_clause_closure_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_neutral_clause_closure_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_neutral_clause_closure_audit.stderr.txt,prime_mesh_r2q_neutral_clause_closure_summary.csv,True,True,prime_mesh_r2q_neutral_clause_closure_failures.csv,True,True,True,True,PASS,
FirstCrossing EndpointSign,prime_mesh_r2q_firstcrossing_endpointsign_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_firstcrossing_endpointsign_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_firstcrossing_endpointsign_audit.stderr.txt,prime_mesh_r2q_firstcrossing_endpointsign_summary.csv,True,True,,False,True,True,True,PASS,
FirstCrossing CoveringLocalization,prime_mesh_r2q_firstcrossing_coveringlocalization_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_firstcrossing_coveringlocalization_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_firstcrossing_coveringlocalization_audit.stderr.txt,prime_mesh_r2q_firstcrossing_coveringlocalization_summary.csv,True,True,,False,True,True,True,PASS,
FirstCrossing ThresholdRelevance,prime_mesh_r2q_firstcrossing_thresholdrelevance_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_firstcrossing_thresholdrelevance_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_firstcrossing_thresholdrelevance_audit.stderr.txt,prime_mesh_r2q_firstcrossing_thresholdrelevance_summary.csv,True,True,prime_mesh_r2q_firstcrossing_thresholdrelevance_failures.csv,True,True,True,True,PASS,
PostP0 ContinuousWindowSelection,prime_mesh_r2q_postp0_continuous_window_selection_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_postp0_continuous_window_selection_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_postp0_continuous_window_selection_audit.stderr.txt,prime_mesh_r2q_postp0_continuous_window_selection_summary.csv,True,True,prime_mesh_r2q_postp0_continuous_window_selection_failures.csv,True,False,False,True,PASS,expected intermediate failure rows present
ContinuousFirstExit CandidateCompleteness,prime_mesh_r2q_continuous_firstexit_candidate_completeness_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_continuous_firstexit_candidate_completeness_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_continuous_firstexit_candidate_completeness_audit.stderr.txt,prime_mesh_r2q_continuous_firstexit_candidate_completeness_summary.csv,True,True,prime_mesh_r2q_continuous_firstexit_candidate_completeness_failures.csv,True,False,False,True,PASS,expected intermediate failure rows present
CandidateGap FirstExitImpossibility,prime_mesh_r2q_candidate_gap_firstexit_impossibility_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_candidate_gap_firstexit_impossibility_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_candidate_gap_firstexit_impossibility_audit.stderr.txt,prime_mesh_r2q_candidate_gap_firstexit_impossibility_summary.csv,True,True,prime_mesh_r2q_candidate_gap_firstexit_impossibility_failures.csv,True,False,False,True,PASS,expected intermediate failure rows present
NormalizedError GapMargin,prime_mesh_r2q_normalized_error_gapmargin_audit.py,True,True,True,True,final_audit_logs\prime_mesh_r2q_normalized_error_gapmargin_audit.stdout.txt,final_audit_logs\prime_mesh_r2q_normalized_error_gapmargin_audit.stderr.txt,prime_mesh_r2q_normalized_error_gapmargin_summary.csv,True,True,prime_mesh_r2q_normalized_error_gapmargin_failures.csv,True,True,True,True,PASS,
