file_name,file_path,contains_covering_definition,contains_row_family_definition,contains_domain_definition,contains_continuous_x_claim,contains_endpoint_discrete_claim,contains_sample_grid_claim,contains_theta_window_claim,contains_finite_zone_claim,contains_boundary_handling,contains_interior_handling,contains_upper_lower_sign,contains_failed_delta_route,contains_full_grid_h_excision_claim,coverage_mode_hint,status,notes
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,True,True,True,False,False,False,True,False,False,False,False,False,False,theta_window,closure_update,conditional/support file
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,True,True,True,True,True,False,True,True,False,True,True,False,False,theta_window,conditional_theorem,conditional/support file
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,True,True,True,True,True,False,True,True,False,False,True,False,False,theta_window+finite_zone,target_or_skeleton,conditional/support file
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,False,True,True,True,True,False,True,True,True,False,True,False,False,theta_window,target_or_skeleton,conditional/support file
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,False,True,True,True,True,False,True,True,True,True,False,False,False,theta_window+finite_zone,target_or_skeleton,conditional/support file
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,False,True,True,False,True,False,True,True,False,False,False,False,False,theta_window,closure_update,conditional/support file
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,False,True,True,True,True,False,True,True,False,False,False,False,False,theta_window+finite_zone,closure_update,conditional/support file
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,False,False,False,True,True,False,False,True,False,False,False,False,False,continuous_or_claimed+finite_zone,candidate,
Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,False,True,True,True,True,False,False,True,False,True,False,False,False,continuous_or_claimed+finite_zone,closure_update,
Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,True,True,False,False,True,False,True,True,False,False,False,True,False,theta_window+finite_zone,audit_result,conditional/support file
Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Proof_Attack_v1.md,True,True,True,True,True,True,True,True,True,True,True,True,False,sampled_grid_caveat_present+finite_zone,proof_attack,conditional/support file
Prime_Mesh_R2Q_GlobalBridge_to_RH_Conditional_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Conditional_Theorem_Target_v1.md,True,True,False,False,True,True,True,True,False,False,True,False,False,sampled_grid_caveat_present+finite_zone,conditional_theorem,conditional/support file
Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,True,True,False,False,True,True,True,True,False,False,True,False,False,sampled_grid_caveat_present+finite_zone,candidate,conditional/support file
