file_name,file_path,contains_E_theta_definition,contains_crossing_sign,contains_positive_rule,contains_negative_rule,contains_orientation_rule,contains_direct_sign,contains_O2_safety,contains_B3_safety,contains_finite_zone,uses_failed_delta_threshold_route,status
Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,True,False,True,True,False,False,False,True,True,False,conditional_or_support
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,True,True,True,True,False,False,False,True,False,False,conditional_or_support
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,True,True,True,True,False,False,False,True,True,False,conditional_or_support
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,True,False,True,True,False,False,False,True,False,False,conditional_or_support
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,True,False,True,True,False,False,False,True,False,False,conditional_or_support
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,True,False,True,True,False,False,False,True,True,False,conditional_or_support
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,True,False,True,True,False,False,False,True,False,False,conditional_or_support
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,True,False,True,True,False,False,False,True,True,False,conditional_or_support
Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,False,False,False,False,False,True,True,True,True,False,conditional_or_support
Prime_Mesh_R2Q_O2_Repayment_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_O2_Repayment_Closure_Update_v1.md,True,False,False,True,False,True,True,True,True,False,conditional_or_support
Prime_Mesh_R2Q_B3_NoAccumulation_Closure_Update_v1_final.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_B3_NoAccumulation_Closure_Update_v1_final.md,False,False,False,False,False,True,True,True,True,False,conditional_or_support
Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Proof_Attack_v1.md,True,True,True,True,True,True,True,True,False,False,proof_attack
