file_name,file_path,contains_threshold_relevance_definition,contains_firstcrossing_obstruction_definition,contains_Q_R2Q_threshold_definition,contains_0p75_justification,contains_data_certificate,contains_symbolic_proof,contains_FullFCL_dependency,contains_covering_dependency,contains_endpoint_discrete_dependency,contains_continuous_all_x_claim,contains_subthreshold_classification,contains_failed_delta_route,failed_delta_route_used_as_proof,contains_direct_threshold_sign,status,notes
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,True,True,False,True,True,True,True,False,True,False,True,False,False,False,closure_update,
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,True,True,True,True,False,True,True,False,False,False,True,False,False,False,target_or_skeleton,
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,True,True,True,True,True,False,True,False,True,False,True,True,False,True,audit_result,
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Attack_v1.md,True,True,True,True,True,True,True,True,True,True,True,True,False,True,proof_attack,proof attack/spec warning only
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,True,True,False,True,True,True,True,False,True,True,True,False,False,False,target_or_skeleton,
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,True,True,False,True,True,True,True,False,True,True,False,False,False,False,target_or_skeleton,
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,True,True,False,True,True,True,True,False,True,False,True,False,False,False,closure_update,
Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,True,True,True,True,True,True,True,False,False,False,False,True,False,True,audit_result,
Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,True,False,True,True,True,True,True,True,True,False,False,True,False,True,audit_result,
Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Audit_v1.md,False,False,True,False,False,False,False,False,True,False,False,False,False,True,audit_result,
Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,True,True,False,True,True,False,False,True,True,False,True,False,False,True,closure_update,
Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,True,True,False,True,True,False,False,True,True,True,True,False,False,True,closure_update,
Prime_Mesh_R2Q_GlobalBridge_to_RH_Conditional_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Conditional_Theorem_Target_v1.md,True,True,False,True,True,True,True,True,True,False,True,False,False,True,target_or_skeleton,
Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,False,True,False,True,True,True,False,False,True,False,True,False,False,True,conditional_theorem,
