statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,7,FullFCL threshold statement,**Purpose:** Integrate the dedicated ThresholdRelevance audit and state the theorem-facing closure form needed by NeutralClause and FullFCL.,theorem_or_unspecified,True,False
S0002,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,18,0.75 constant justification,Q_{\rm R2Q}(J)\le \frac34,theorem_or_unspecified,True,False
S0003,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,20,subthreshold non-obstruction statement,"J\text{ is harmless, repaid, finite-certified, or non-surviving.}",theorem_or_unspecified,True,False
S0004,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,27,first-crossing obstruction definition,\text{surviving first-crossing obstruction},theorem_or_unspecified,True,False
S0005,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,29,0.75 constant justification,Q_{\rm R2Q}(J)>\frac34.,theorem_or_unspecified,True,False
S0006,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,41,threshold relevance definition,"Thus the threshold relevance interface is now independently named and no longer has to be inferred from FCL, NegativeTransfer, ChannelCompatibility, O2, B3, and FiniteCertificate separately.",theorem_or_unspecified,True,False
S0007,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,41,certificate result statement,"Thus the threshold relevance interface is now independently named and no longer has to be inferred from FCL, NegativeTransfer, ChannelCompatibility, O2, B3, and FiniteCertificate separately.",theorem_or_unspecified,True,False
S0008,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,50,certificate result statement,"\texttt{rows}=10140,",theorem_or_unspecified,True,False
S0009,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,68,subthreshold non-obstruction statement,"\texttt{subthreshold\_rows}=10115,",theorem_or_unspecified,True,False
S0010,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,87,subthreshold non-obstruction statement,"\texttt{subthreshold\_surviving\_proxy\_count}=0,",theorem_or_unspecified,True,False
S0011,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,93,subthreshold non-obstruction statement,"\texttt{post\_P0\_subthreshold\_surviving\_proxy\_count}=0,",theorem_or_unspecified,True,False
S0012,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,99,subthreshold non-obstruction statement,"\texttt{finite\_subthreshold\_surviving\_proxy\_count}=0,",theorem_or_unspecified,True,False
S0013,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,114,0.75 constant justification,Q_{\rm R2Q}(J)\le \frac34,theorem_or_unspecified,True,False
