file_name,file_path,file_type,contains_firstcrossing,contains_threshold_relevance,contains_theta_envelope,contains_von_koch,contains_RH_scale,contains_failed_delta_route,contains_direct_sign,contains_finite_zone,status,notes
Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,md,True,False,False,True,True,True,True,True,conditional_assembly,v5 assembly explicitly says global RH implication remains conditional.
Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,md,False,True,False,False,True,True,True,True,finite_certificate_support,Records finite/certificate coverage and states global bridge remains open.
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,md,False,False,True,False,True,False,False,True,finite_theta_certificate,Finite theta envelope certificate/support.
Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,md,False,False,True,False,True,False,False,True,finite_theta_certificate,Finite theta envelope certificate/support.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,md,True,False,True,False,True,False,False,False,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,md,True,False,True,False,True,False,False,False,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,md,True,False,True,False,True,False,False,True,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,md,True,True,False,False,False,False,False,True,empirical_localization_support,Empirical threshold relevance passes; theorem-facing contrapositive is local.
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,md,True,True,True,False,True,False,False,False,empirical_localization_support,Empirical threshold relevance passes; theorem-facing contrapositive is local.
Prime_Mesh_R2Q_FullFCL_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Closure_Update_v1.md,md,True,False,True,False,True,False,False,True,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,md,True,False,True,True,True,False,False,True,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,md,True,False,True,False,True,False,False,True,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,md,True,True,True,False,True,False,False,True,partial_bridge_conditional,"FullFCL empirically reclosed, but conditional and not analytic from first principles."
Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,md,True,True,True,True,True,True,True,True,spec,"Audit request/specification, not proof evidence."
