statement_type,file_name,file_path,line,statement_extract,status
first crossing localization statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,769,The Prime Mesh/R2Q program aims to show that the local R2Q obstruction system prevents first crossing / forbidden endpoint behavior sufficient to imply the RH-scale bound.,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,1,# Prime Mesh R2Q — First-Crossing Covering Localization Closure Update,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,3,**Document:** `Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md`,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,7,**Purpose:** Integrate the unified first-crossing covering/localization stress audit and update the central structural bridge status.,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,13,The unified first-crossing covering/localization stress audit passes empirically.,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,65,\text{global first crossing},found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,80,2. **Theta covering:** theta first-crossing candidates must localize into signed local theta intervals and then into either:,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,90,\mathsf{FirstCrossingCoveringLocalization}.,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,164,\text{the audited block system covers all tested first-crossing candidates.},found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,190,Thus every audited first-crossing candidate has the correct sign classification:,found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,315,\text{could a global first crossing escape the local B2/R2Q block system?},found
first crossing localization statement,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,331,\mathsf{FirstCrossingCoveringLocalization},found
threshold relevance statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,664,"\text{high-energy threshold-relevant count}=0,",found
