group_field,group_value,rows,C_end_max,C_best_max,C_gap_max,E_end_over_h_max,E_best_over_h_max,E_gap_over_h_max,endpoint_residual_fraction_max,best_residual_fraction_max,pythagorean_error_max,threshold_relevant_rows,forbidden_rows,failures
row_regime,finite_negative,124.0,7.517295788807058,5.462188142709623,6.351560431332067,56.50973597641633,29.835499306357605,40.34231991286319,0.0013550898740644507,0.0005459391844926093,1.7636921256780624e-08,0.0,0.0,0.0
row_regime,finite_positive,1200.0,8.580752479596972,6.616791960800818,5.557275180593497,73.62931311610959,43.78193585251833,30.88330743284049,0.0004154153049167087,0.00033692863795549313,7.921698852442205e-10,0.0,0.0,0.0
row_regime,forbidden_negative,1.0,2.059215174853413,1.7229575494637117,1.1277341970040335,4.240367136346573,2.9685827172539985,1.2717844190923324,4.980267198828742e-06,3.4865695960675505e-06,1.6612466424703598e-07,1.0,1.0,0.0
row_regime,post_P0_negative_tail,21.0,8.008560508628985,5.066794674133906,6.627164057761928,64.13704142037176,25.67240826983171,43.91930344849154,2.4265633807775942e-05,2.2561048346992835e-05,1.6512785805389285e-08,0.0,0.0,0.0
row_regime,post_P0_positive_tail,120.0,7.085660762263424,5.475430152365041,4.497360679831783,50.20658843787949,29.980335353428252,20.226253084497003,2.594248423585902e-07,1.549128115435299e-07,1.830642304412322e-10,0.0,0.0,0.0
row_regime,threshold_relevant_negative,2.0,2.289866718210618,1.9376587063063482,1.2202328978698709,5.243489587168667,3.754521262124791,1.488968325043903,3.3053588386700646e-05,2.3667521089595466e-05,1.7767888493835926e-08,2.0,0.0,0.0
post_P0_by_pstar,False,1326.0,8.580752479596972,6.616791960800818,6.351560431332067,73.62931311610959,43.78193585251833,40.34231991286319,0.0013550898740644507,0.0005459391844926093,1.6612466424703598e-07,2.0,1.0,0.0
post_P0_by_pstar,True,142.0,8.008560508628985,5.475430152365041,6.627164057761928,64.13704142037176,29.980335353428252,43.91930344849154,2.4265633807775942e-05,2.2561048346992835e-05,1.7767888493835926e-08,1.0,0.0,0.0
finite_zone_flag,False,142.0,8.008560508628985,5.475430152365041,6.627164057761928,64.13704142037176,29.980335353428252,43.91930344849154,2.4265633807775942e-05,2.2561048346992835e-05,1.7767888493835926e-08,1.0,0.0,0.0
finite_zone_flag,True,1326.0,8.580752479596972,6.616791960800818,6.351560431332067,73.62931311610959,43.78193585251833,40.34231991286319,0.0013550898740644507,0.0005459391844926093,1.6612466424703598e-07,2.0,1.0,0.0
high_energy_flag,False,1458.0,8.008560508628985,6.071104017630254,6.627164057761928,64.13704142037176,36.85830399288621,43.91930344849154,0.0005320069009106019,0.000348317130860772,1.6612466424703598e-07,3.0,1.0,0.0
high_energy_flag,True,10.0,8.580752479596972,6.616791960800818,6.351560431332067,73.62931311610959,43.78193585251833,40.34231991286319,0.0013550898740644507,0.0005459391844926093,1.1423253454267979e-09,0.0,0.0,0.0
threshold_relevant_flag,False,1465.0,8.580752479596972,6.616791960800818,6.627164057761928,73.62931311610959,43.78193585251833,43.91930344849154,0.0013550898740644507,0.0005459391844926093,1.7636921256780624e-08,0.0,0.0,0.0
threshold_relevant_flag,True,3.0,2.289866718210618,1.9376587063063482,1.2202328978698709,5.243489587168667,3.754521262124791,1.488968325043903,3.3053588386700646e-05,2.3667521089595466e-05,1.6612466424703598e-07,0.0,1.0,0.0
forbidden_flag,False,1467.0,8.580752479596972,6.616791960800818,6.627164057761928,73.62931311610959,43.78193585251833,43.91930344849154,0.0013550898740644507,0.0005459391844926093,1.7767888493835926e-08,2.0,0.0,0.0
forbidden_flag,True,1.0,2.059215174853413,1.7229575494637117,1.1277341970040335,4.240367136346573,2.9685827172539985,1.2717844190923324,4.980267198828742e-06,3.4865695960675505e-06,1.6612466424703598e-07,1.0,0.0,0.0
h_bin_aff,101<=h<=1k,62.0,8.008560508628985,5.381442798987884,6.627164057761928,64.13704142037176,28.959926598778548,43.91930344849154,0.0013550898740644507,0.0005459391844926093,1.6512785805389285e-08,0.0,0.0,0.0
h_bin_aff,10k<h<=100k,15.0,3.9725230319319405,3.8518043799418242,2.3697876580075934,15.780939239229737,14.83639698133902,5.6158935440451145,9.384499837790035e-05,9.10567413770586e-05,1.7636921256780624e-08,0.0,0.0,0.0
h_bin_aff,11<=h<=100,3.0,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,8.477232920608917e-06,4.39559499909592e-11,0.0,0.0,0.0
h_bin_aff,1k<h<=10k,80.0,6.763592223849976,5.462188142709623,6.0530207964278455,45.74617977052387,29.835499306357605,36.63906076198799,0.0005320069009106019,0.000348317130860772,1.1430529411882162e-08,0.0,0.0,0.0
h_bin_aff,2<=h<=10,64.0,7.38923518106439,6.071104017630254,4.736054196375123,54.6007965610797,36.85830399288621,22.43020935100241,0.00029921548732170635,0.00026929393857023264,1.830642304412322e-10,0.0,0.0,0.0
h_bin_aff,h<=1,1241.0,0.0,1.4206761399521663e-11,1.4206761399521663e-11,0.0,2.0183206946293875e-22,2.0183206946293875e-22,0.0,6.6707439981799e-31,4.036641389258775e-22,0.0,0.0,0.0
h_bin_aff,h>100k,3.0,2.289866718210618,1.9376587063063482,1.2202328978698709,5.243489587168667,3.754521262124791,1.488968325043903,3.3053588386700646e-05,2.3667521089595466e-05,1.6612466424703598e-07,3.0,1.0,0.0
p_star_bin_aff,100M<=p<500M,530.0,7.517295788807058,5.956490123786639,5.949862242434252,56.50973597641633,35.47977459476777,35.400860703944744,9.384499837790035e-05,9.10567413770586e-05,1.6612466424703598e-07,1.0,1.0,0.0
p_star_bin_aff,1M<=p<100M,734.0,8.580752479596972,6.616791960800818,6.351560431332067,73.62931311610959,43.78193585251833,40.34231991286319,0.0013147173309265249,0.0004676321998049124,6.41375663690269e-09,1.0,0.0,0.0
p_star_bin_aff,500M<=p<1B,142.0,8.008560508628985,5.475430152365041,6.627164057761928,64.13704142037176,29.980335353428252,43.91930344849154,2.4265633807775942e-05,2.2561048346992835e-05,1.7767888493835926e-08,1.0,0.0,0.0
p_star_bin_aff,p<1M,62.0,4.659963846370249,3.2194538824437826,3.600917749859537,21.7152630494778,10.364883301182344,12.96660864125347,0.0013550898740644507,0.0005459391844926093,1.709850039333105e-10,0.0,0.0,0.0
sample_count_bin_aff,11<=m<=25,3.0,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,8.477232920608917e-06,4.39559499909592e-11,0.0,0.0,0.0
sample_count_bin_aff,26<=m<=50,160.0,8.008560508628985,5.462188142709623,6.627164057761928,64.13704142037176,29.835499306357605,43.91930344849154,0.0013550898740644507,0.0005459391844926093,1.6612466424703598e-07,3.0,1.0,0.0
sample_count_bin_aff,3<=m<=5,61.0,7.085660762263424,5.475430152365041,4.497360679831783,50.20658843787949,29.980335353428252,20.226253084497003,0.00029921548732170635,0.00026929393857023264,1.830642304412322e-10,0.0,0.0,0.0
sample_count_bin_aff,6<=m<=10,3.0,7.38923518106439,6.071104017630254,4.736054196375123,54.6007965610797,36.85830399288621,22.43020935100241,4.0678337800586574e-05,2.131648980555766e-05,3.566924533515703e-11,0.0,0.0,0.0
sample_count_bin_aff,m<=2,1241.0,0.0,1.4206761399521663e-11,1.4206761399521663e-11,0.0,2.0183206946293875e-22,2.0183206946293875e-22,0.0,6.6707439981799e-31,4.036641389258775e-22,0.0,0.0,0.0
