field,value
rows,1468
path_sample_blocks,1468
path_sample_rows,8810
blocks_missing_path_samples,0
bridge_energy_available_rows,1468
B_L2_recompute_error_max,1.1368683772161603e-13
C_bridge_recompute_error_max,4.04121180963557e-14
pass_path_reconstruction,True
C_bridge_max,8.580752479596955
post_P0_C_bridge_max,8.008560508629008
post_P0_C_bridge_above_10_count,0
pass_post_P0_C_bridge_le_10,True
R_inc_max,1.91757864004104
post_P0_R_inc_max,1.4609419049190016
threshold_relevant_R_inc_max,0.024245034143662296
forbidden_R_inc_max,0.007759461256240474
recommended_C_inc,2
recommended_C_inc_post_P0,2
A_centered_sqsum_over_sqrt_h_max,265.38120455170895
post_P0_A_centered_sqsum_over_sqrt_h_max,115.82408797947872
threshold_A_centered_sqsum_over_sqrt_h_max,265.38120455170895
forbidden_A_centered_sqsum_over_sqrt_h_max,265.38120455170895
A_centered_rms_max,34723.13031179587
post_P0_A_centered_rms_max,7131.651308391983
C_inc_times_A_global,530.7624091034179
C_inc_times_A_post_P0,231.64817595895744
pass_increment_square_sum_route,False
C_bridge_over_centered_increment_rms_max,1.043591705685406
post_P0_C_bridge_over_centered_increment_rms_max,0.7096556944608229
increment_abs_max,172553.72525997355
increment_centered_abs_max,159026.33240294346
threshold_relevant_C_bridge_max,2.2898667182106016
forbidden_C_bridge_max,2.059215174853389
threshold_relevant_increment_centered_rms_max,34723.13031179587
forbidden_increment_centered_rms_max,34723.13031179587
bridgeincrement_profile_failures,0
pass_hexc_bridgeincrement_profile_empirical,True
recommended_theorem_form,direct_bridge_constant_bound
recommended_next_file,Prime_Mesh_R2Q_HExc_BridgeConstant_Formal_Proof_Draft_v1.md
