field,value
rows,1468
path_sample_blocks,1468
blocks_missing_path_samples,0
path_reconstruction_ok,True
P0,500000000
post_P0_rows,142
post_P0_C_bridge_max,8.008560508629008
post_P0_C_bridge_sq_max,64.13704142037213
post_P0_C_bridge_above_10_count,0
post_P0_C_bridge_sq_above_100_count,0
pass_direct_bridge_envelope,True
post_P0_B_abs_max,311.51713925927834
post_P0_B_abs_max_above_10_count,23
post_P0_sample_count_le_h_frac,0.15492957746478872
post_P0_amplitude_route_bound_value_max,320.348161190922
post_P0_amplitude_route_fail_count,17
pass_amplitude_route_candidate,False
post_P0_dB_L2_max,583.7179531620146
post_P0_ddB_L2_max,818.8316415567805
post_P0_ratio_B_L2_to_dB_L2_max,2.6257441542900954
post_P0_ratio_B_L2_to_sqrt_h_dB_L2_max,0.35482784723041205
post_P0_ratio_B_L2_to_h_dB_L2_max,0.1924500897298753
post_P0_ratio_B_L2_to_ddB_L2_max,2.0747631057556077
post_P0_ratio_B_L2_to_h_ddB_L2_max,0.11111111111111112
post_P0_ratio_B_L2_to_h2_ddB_L2_max,0.03703703703703704
post_P0_bridge_energy_fraction_max,2.4265633807775952e-05
post_P0_bridge_energy_removed_by_affine_fraction_min,0.9999757343661922
post_P0_kappa_L2_max,0.7382422708040317
post_P0_effective_support_frac_min,0.0
threshold_relevant_C_bridge_max,2.2898667182106016
forbidden_C_bridge_max,2.059215174853389
threshold_relevant_B_abs_max,667.0135370697717
forbidden_B_abs_max,667.0135370697717
threshold_relevant_bridge_energy_fraction_max,3.305358838670055e-05
forbidden_bridge_energy_fraction_max,4.980267198828744e-06
high_energy_rows,10
high_energy_post_P0_rows,0
C_bridge_shape_error_max,4.04121180963557e-14
B_sq_over_h_error_max,4.618527782440651e-13
shape_template_rows,1468
shape_cluster_count_at_tol_0p5,181
shape_cluster_count_at_tol_1p0,178
shape_distance_to_mean_max,23.05399900068136
post_P0_shape_distance_to_mean_max,23.05399900068136
best_proof_route_candidate,projection_residual_route
best_proof_route_reason,affine subtraction leaves a uniformly tiny residual energy fraction post-P0.
direct_bridge_shape_failures,0
pass_hexc_bridgeshape_curvature_empirical,True
recommended_theorem_form,post_P0_affine_residual_bound: ||D_N-ell_J||_2^2 <= 100h
recommended_next_file,Prime_Mesh_R2Q_HExc_AffineProjectionResidual_Theorem_Target_v1.md
