field,value
rows,1468
path_sample_blocks,1468
blocks_missing_path_samples,0
path_reconstruction_ok,True
P0,500000000
post_P0_rows,142
post_P0_C_bridge_max,8.008560508629008
post_P0_C_bridge_sq_max,64.13704142037213
post_P0_C_bridge_above_10_count,0
post_P0_C_bridge_sq_above_100_count,0
pass_direct_bridgeconstant_bound,True
C_bridge_max,8.580752479596955
C_bridge_sq_max,73.62931311610929
C_bridge_q95,4.950687126456709
C_bridge_q99,6.655962344149671
threshold_relevant_C_bridge_max,2.2898667182106016
threshold_relevant_C_bridge_sq_max,5.2434895871685905
forbidden_C_bridge_max,2.059215174853389
forbidden_C_bridge_sq_max,4.240367136346474
B_abs_max,667.0135370697717
post_P0_B_abs_max,311.51713925927834
B_L2_exported_max,1704.0425497324798
post_P0_B_L2_exported_max,570.7681134270679
B_sq_sum_recompute_error_max,5.820766091346741e-11
B_L2_recompute_error_max,1.1368683772161603e-13
C_bridge_recompute_error_max,4.04121180963557e-14
kappa_L2_max,0.8120333708824421
post_P0_kappa_L2_max,0.7382422708040356
threshold_relevant_kappa_L2_max,0.4917426743343476
forbidden_kappa_L2_max,0.3914300949670945
high_energy_kappa_L2_max,0.70711576075991
bridge_energy_fraction_max,0.0013550898740644518
bridge_energy_fraction_mean,1.0089113121214521e-05
post_P0_bridge_energy_fraction_max,2.4265633807775945e-05
threshold_bridge_energy_fraction_max,3.305358838670055e-05
best_direct_envelope,post_P0_direct_bridge_constant_C_bridge_le_10
best_direct_envelope_status,passes_empirically_with_margin
direct_bridge_envelope_failures,0
pass_hexc_direct_bridge_envelope_empirical,True
recommended_theorem_form,direct_bridge_constant_bound: p_star >= P0 => ||B_J||_2 <= 10 sqrt(h)
recommended_next_file,Prime_Mesh_R2Q_HExc_DirectBridgeEnvelope_Theorem_Target_v1.md
