row_regime,finite_zone_flag,post_P0_flag,E_theta_sign,h_bin,p_star_bin,rows,Q_exc_max,Q_energy_L2_max,energy_L2_above_0p025_count,conc_ratio_max,harmful_high_energy_count
finite_negative,True,False,negative,101<=h<=1k,100M<=p<500M,16,0.0091059828634137,0.0219576117786852,0,0.6835252708922032,0
finite_negative,True,False,negative,101<=h<=1k,10M<=p<100M,22,0.0110815667281192,0.0277787667189073,1,0.5727053534597675,0
finite_negative,True,False,negative,101<=h<=1k,1M<=p<10M,7,0.0120403626533005,0.036413013628854,4,0.49881541897465986,0
finite_negative,True,False,negative,101<=h<=1k,p<1M,1,0.0128661873649445,0.0285182984397066,1,0.45115550607432625,0
finite_negative,True,False,negative,10k<h<=100k,100M<=p<500M,8,0.0066368119233886,0.0115541189824018,0,0.5744109034619774,0
finite_negative,True,False,negative,10k<h<=100k,10M<=p<100M,4,0.0060303868534807,0.0084337008776589,0,0.7150344719309831,0
finite_negative,True,False,negative,1k<h<=10k,100M<=p<500M,30,0.0098010101179576,0.017879575931775,0,0.8120333708824421,0
finite_negative,True,False,negative,1k<h<=10k,10M<=p<100M,26,0.0110407093348006,0.019183078468522,0,0.7859919673693915,0
finite_negative,True,False,negative,1k<h<=10k,1M<=p<10M,10,0.0103425912084517,0.0204151477381646,0,0.5759526723884484,0
finite_positive,True,False,positive,101<=h<=1k,10M<=p<100M,9,0.0085391222223537,0.0235535603972833,0,0.41113035399344,0
finite_positive,True,False,positive,101<=h<=1k,1M<=p<10M,3,0.0127144572989962,0.0298022102047381,1,0.44858228367379527,0
finite_positive,True,False,positive,11<=h<=100,100M<=p<500M,1,0.0102675552005105,0.0175999931381343,0,0.5833840456598564,0
finite_positive,True,False,positive,11<=h<=100,10M<=p<100M,2,0.0172880108593613,0.0289054037503281,1,0.598089236486277,0
finite_positive,True,False,positive,2<=h<=10,100M<=p<500M,23,0.0134309492743368,0.0189204808195844,0,0.7098629999103702,0
finite_positive,True,False,positive,2<=h<=10,10M<=p<100M,23,0.0156184300412248,0.0247186134594574,0,0.7101242899702787,0
finite_positive,True,False,positive,2<=h<=10,1M<=p<10M,10,0.0205672364492246,0.0304825946938867,1,0.7107554347586446,0
finite_positive,True,False,positive,2<=h<=10,p<1M,5,0.0184358992034248,0.0260719675992124,1,0.70711576075991,0
finite_positive,True,False,positive,h=1,100M<=p<500M,451,2.6566803310905e-15,0.0,0,,0
finite_positive,True,False,positive,h=1,10M<=p<100M,449,3.267795176339872e-15,1.7042514801809505e-15,0,,0
finite_positive,True,False,positive,h=1,1M<=p<10M,168,1.0116649352359689e-15,0.0,0,,0
finite_positive,True,False,positive,h=1,p<1M,56,3.473229348461692e-16,4.697135078513482e-16,0,,0
forbidden_negative,True,False,negative,h>100k,100M<=p<500M,1,0.0022301154184481,0.0056973529810874,0,0.3914300949670945,0
post_P0_negative_tail,False,True,negative,101<=h<=1k,p>=500M,4,0.0067334208268465,0.0195894059694182,0,0.42476695345013643,0
post_P0_negative_tail,False,True,negative,10k<h<=100k,p>=500M,3,0.0052977977633042,0.0078687452329321,0,0.673270973513283,0
post_P0_negative_tail,False,True,negative,1k<h<=10k,p>=500M,14,0.0069214615088821,0.0165421719649012,0,0.7382422708040356,0
post_P0_positive_tail,False,True,positive,2<=h<=10,p>=500M,3,0.0122977701368278,0.0173298733143556,0,0.7096283921845326,0
post_P0_positive_tail,False,True,positive,h=1,p>=500M,117,8.898615503505933e-15,0.0,0,,0
threshold_relevant_negative,False,True,negative,h>100k,p>=500M,1,0.0014698183580815,0.0035848230548423,0,0.41001141077133546,0
threshold_relevant_negative,True,False,negative,h>100k,10M<=p<100M,1,0.0037875901851982,0.0077023825323383,0,0.4917426743343476,0
