field,value
rows,1468
Q_exc_max,0.0205672364492246
Q_exc_above_0p025_count,0
pass_absolute_Q_exc_cap,True
Q_energy_L2_max,0.036413013628854
Q_energy_RMS_max,0.0130359837996062
energy_L2_above_0p025_count,10
energy_L2_above_0p03_count,2
energy_L2_above_0p04_count,0
energy_L2_above_0p025_threshold_relevant_count,0
energy_L2_above_0p025_forbidden_count,0
energy_L2_above_0p025_positive_count,4
energy_L2_above_0p025_negative_count,6
energy_L2_above_0p025_non_surviving_count,10
energy_L2_above_0p025_repaid_count,0
energy_L2_above_0p025_finite_certified_count,10
threshold_relevant_energy_L2_max,0.0077023825323383
threshold_relevant_energy_L2_above_0p025_count,0
forbidden_energy_L2_max,0.0056973529810874
forbidden_energy_L2_above_0p025_count,0
conc_ratio_max,0.8120333708824421
conc_ratio_mean,0.5364768030232963
conc_ratio_q95,0.7100398405978393
conc_ratio_q99,0.7322082430970421
conc_ratio_high_energy_max,0.70711576075991
conc_ratio_high_energy_q95,0.6925379659915168
high_energy_surviving_unrepaid_count,0
energy_cap_structure_failures,0
pass_hexc_energy_cap_structure_empirical,True
recommended_next_file,Prime_Mesh_R2Q_HExc_EnergyCap_Structure_Closure_Update_v1.md
