field,value
rows,1468
bridge_energy_available_rows,1468
bridge_energy_missing_rows,0
P0,500000000
high_energy_threshold,0.025
very_high_energy_threshold,0.03
high_energy_rows,10
very_high_energy_rows,2
post_P0_pstar_rows,142
post_P0_pstar_Q_energy_L2_max,0.0195894059694182
post_P0_pstar_energy_above_0p025_count,0
post_P0_pstar_energy_above_0p03_count,0
pass_pstar_scale_cutoff,True
post_P0_x_rows,142
post_P0_x_Q_energy_L2_max,0.0195894059694182
post_P0_x_energy_above_0p025_count,0
pass_x_scale_cutoff,True
post_P0_y_rows,142
post_P0_y_Q_energy_L2_max,0.0195894059694182
post_P0_y_energy_above_0p025_count,0
pass_y_scale_cutoff,True
high_energy_finite_certified_count,10
high_energy_not_finite_certified_count,0
pass_high_energy_finite_certified,True
high_energy_threshold_relevant_count,0
high_energy_forbidden_count,0
high_energy_Q_R2Q_max,0.1566810093663226
pass_high_energy_threshold_safe,True
high_energy_surviving_proxy_count,0
high_energy_non_surviving_count,10
high_energy_endpoint_repaid_count,0
high_energy_B3_no_accumulation_count,0
pass_high_energy_non_survival,True
threshold_relevant_rows,3
threshold_relevant_Q_energy_L2_max,0.0077023825323383
threshold_relevant_energy_above_0p025_count,0
forbidden_rows,1
forbidden_Q_energy_L2_max,0.0056973529810874
forbidden_energy_above_0p025_count,0
threshold_energy_margin_to_0p025,0.017297617467661702
forbidden_energy_margin_to_0p025,0.0193026470189126
best_symbolic_rule,p_star <= 3.03868e+07
best_symbolic_rule_misses,0
best_symbolic_rule_threshold_false_positives,0
best_symbolic_rule_forbidden_false_positives,0
best_symbolic_rule_surviving_false_positives,0
scale_cutoff_failures,0
pass_hexc_highenergy_scalecutoff_empirical,True
recommended_theorem_form,post_P0_scale_cutoff
recommended_next_file,Prime_Mesh_R2Q_HExc_HighEnergy_ScaleCutoff_Theorem_Target_v1.md
