rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,E_end_over_h,C_end,endpoint_residual_abs_max,residual_kappa,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,ddR_sq_over_h,distance_to_mean_template,ratio_E_end_to_h4_ddR_sq
E_end_over_h,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,73.62931311610959,8.580752479596972,18.50388997128084,0.5980892364862637,43.78193585251833,29.84737726359048,9.861270095805125e-06,,,
E_end_over_h,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,64.13704142037176,8.008560508628985,76.23714683878279,0.3437276677689038,25.237480767773157,38.89956065262014,8.378008990139962e-06,,,
E_end_over_h,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,59.29000543512908,7.700000352930452,71.15483103322367,0.3328024061732526,15.370701986648015,43.91930344849154,7.786089605810606e-06,,,
E_end_over_h,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,56.50973597641633,7.517295788807058,55.15381198050545,0.41470734409527704,28.959926598778548,27.549809377640567,1.8522158874289463e-05,,,
E_end_over_h,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,55.32747455760799,7.438244050688844,64.68278396224969,0.3912504100723178,14.985154644742488,40.34231991286319,0.0001905539623356,,,
E_end_over_h,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,54.6007965610797,7.38923518106439,12.35249588295892,0.6318386791525418,36.85830399288621,17.74249256818839,5.261093137005674e-06,,,
E_end_over_h,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,54.00586715584355,7.348868426896997,12.28521502684498,0.6318489532934979,36.45644435128144,17.549422804560606,5.094887652269624e-06,,,
E_end_over_h,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,51.97483561645937,7.209357503721075,38.59059490648997,0.36254061289768497,21.09152818361997,30.88330743284049,2.945504504656541e-05,,,
E_end_over_h,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,50.81680635690252,7.12859076935284,50.44514412859007,0.3306609767602321,18.0750450189864,32.741761337916,0.0013147173309265,,,
E_end_over_h,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,50.20658843787949,7.085660762263424,10.056372108580035,0.7096283921845317,29.98033535342825,20.226253084497003,2.594248423585902e-07,,,
E_end_over_h,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,47.732209098918574,6.908850056190145,65.83835952501795,0.3420915708587609,12.331348394980049,35.400860703944744,3.3288283699061934e-05,,,
E_end_over_h,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,47.12482161579511,6.864752116121537,13.100680718981152,0.6747206612745972,24.69461226479452,22.43020935100241,4.0678337800586574e-05,,,
E_end_over_h,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,45.74617977052387,6.763592223849976,109.04298268701496,0.3898721841017818,9.107119008538994,36.63906076198799,1.3293950372010175e-05,,,
E_end_over_h,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,44.51014034988176,6.671592040126686,9.4707785115379,0.7097839956771442,26.57088212620257,17.939258223697298,7.352200833734836e-07,,,
E_end_over_h,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,44.30282104878313,6.656036436858135,9.448779086688774,0.7097902164691953,26.446806701358955,17.856014347443043,7.154629182248775e-07,,,
E_end_over_h,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,44.30134893036435,6.655925850726129,9.448622690862976,0.7097902607968639,26.445925677883285,17.855423252506874,7.589229592880685e-07,,,
E_end_over_h,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,44.295157736736925,6.655460745638647,9.4479649185605,0.7097904472467811,26.44222041461544,17.85293732212409,7.705762945638789e-07,,,
