field,value
rows,1468
path_sample_blocks,1468
blocks_missing_path_samples,0
path_reconstruction_ok,True
P0,500000000
post_P0_rows,142
post_P0_E_end_over_h_max,64.13704142037176
post_P0_C_end_max,8.008560508628985
post_P0_E_end_over_h_above_100_count,0
post_P0_C_end_above_10_count,0
pass_endpoint_residual_bound,True
post_P0_endpoint_residual_fraction_max,2.4265633807775945e-05
post_P0_endpoint_residual_fraction_mean,1.4821603402958327e-06
post_P0_affine_capture_fraction_min,0.9999757343661922
post_P0_affine_capture_fraction_mean,0.9999985178396597
pass_local_affinity_fraction_strong,True
post_P0_E_best_over_h_max,29.98033535342825
post_P0_E_gap_over_h_max,43.91930344849154
post_P0_E_best_plus_gap_over_h_max,64.13704142039329
post_P0_gap_fraction_of_endpoint_residual_max,201832069.46293876
endpoint_vs_best_split_clean_flag,True
post_P0_ratio_E_end_to_h2_dR_sq_max,0.03703703703703704
post_P0_ratio_E_end_to_h4_ddR_sq_max,0.0013717421124828536
curvature_route_plausible_flag,True
shape_template_count_tol_0p5,181
shape_template_count_tol_1p0,178
post_P0_shape_template_count_tol_0p5,25
post_P0_shape_template_count_tol_1p0,25
template_route_plausible_flag,False
worst_template_C_end,8.580752479596972
corr_E_end_over_h_Q_delta_D,0.08591439351916125
corr_E_end_over_h_Q_exc,0.8802713912442139
corr_E_end_over_h_epsilon,nan
corr_E_end_over_h_Q_R2Q,0.12369263213148182
corr_E_end_over_h_kappa_L2,0.056555973045118925
corr_E_end_over_h_log_pstar,0.04905467116576047
corr_E_end_over_h_h,0.022642847296777728
corr_E_end_over_h_h_over_x,0.03068759571402002
corr_E_end_over_h_rho_proxy,0.03068759571402002
threshold_relevant_E_end_over_h_max,5.243489587168667
forbidden_E_end_over_h_max,4.240367136346573
threshold_relevant_C_end_max,2.289866718210618
forbidden_C_end_max,2.059215174853413
best_proof_route_candidate,local_affinity_fraction
best_proof_route_reason,"endpoint affine interpolation captures at least 99.9975% of D_N path energy post-P0, and residual energy stays below 100h."
local_affine_decomposition_failures,0
pass_hexc_local_affine_decomposition_empirical,True
recommended_theorem_form,local_affinity_energy_capture plus endpoint residual budget
recommended_next_file,Prime_Mesh_R2Q_HExc_LocalAffinity_EnergyCapture_Theorem_Target_v1.md
