field,value
rows,1468
bridge_energy_available_rows,1468
bridge_energy_missing_rows,0
Q_exc_max,0.0205672364492246
Q_exc_above_0p025_count,0
Q_energy_L2_max,0.036413013628854
energy_L2_above_0p025_count,10
energy_L2_above_0p03_count,2
energy_L2_above_0p04_count,0
kappa_L2_max,0.8120333708824421
kappa_L2_mean,0.5364768030232963
kappa_L2_q95,0.7100398405978393
kappa_L2_q99,0.7322082430970421
kappa_RMS_max,5.135749976105757
high_energy_rows,10
high_energy_threshold_relevant_count,0
high_energy_forbidden_count,0
high_energy_finite_certified_count,10
high_energy_endpoint_repaid_count,0
high_energy_O2_repaid_count,0
high_energy_B3_no_accumulation_count,0
high_energy_non_surviving_count,10
high_energy_surviving_unrepaid_count,0
high_energy_kappa_L2_max,0.70711576075991
threshold_relevant_rows,3
threshold_relevant_Q_exc_max,0.0037875901851982
threshold_relevant_Q_energy_L2_max,0.0077023825323383
threshold_relevant_kappa_L2_max,0.4917426743343476
threshold_relevant_energy_above_0p025_count,0
threshold_relevant_exc_above_0p025_count,0
forbidden_rows,1
forbidden_Q_exc_max,0.0022301154184481
forbidden_Q_energy_L2_max,0.0056973529810874
forbidden_kappa_L2_max,0.3914300949670945
forbidden_energy_above_0p025_count,0
forbidden_exc_above_0p025_count,0
all_argmax_left_edge_count,1239
all_argmax_right_edge_count,14
all_argmax_center_count,34
all_argmax_interior_count,215
high_energy_argmax_left_edge_count,1
high_energy_argmax_right_edge_count,0
high_energy_argmax_center_count,0
high_energy_argmax_interior_count,9
threshold_relevant_argmax_left_edge_count,2
threshold_relevant_argmax_right_edge_count,0
threshold_relevant_argmax_center_count,0
threshold_relevant_argmax_interior_count,1
maximal_concentration_failures,0
pass_hexc_maximal_concentration_empirical,True
recommended_theorem_form,Q_exc_le_0p025_with_high_energy_non_dangerous_and_L2_concentration_control
recommended_next_file,Prime_Mesh_R2Q_HExc_MaximalConcentration_Theorem_Target_v1.md
