metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,rho,W,K,rho_bin,W_bin,event_count,sample_count
K,1,hexc_00304,305,30386821,13,False,73.91003130475967,0.0622439704219009,1187.4247546193487,73.91003130475967,1e-2..1/16,1040..2k,4,12
K,2,hexc_00453,454,604143557,767,True,64.24988591171059,0.0044902565189875,14308.73395317695,64.24988591171059,1e-3..1e-2,10k..100k,35,37
K,3,hexc_00442,443,604711937,771,True,59.23603287892927,0.0042612153946668,13901.205968857425,59.23603287892927,1e-3..1e-2,10k..100k,34,37
K,4,hexc_00275,276,108562291,313,False,56.08396418864769,0.0102386405991222,5477.676811261057,56.08396418864769,1e-2..1/16,2k..10k,16,33
K,5,hexc_00081,82,12782599,494,False,55.20495342984052,0.0079295555047139,6961.922821149648,55.20495342984052,1e-3..1e-2,2k..10k,26,36
K,6,hexc_00355,356,33821677,7,False,55.20452323086658,0.0612244902599906,901.673872602938,55.20452323086658,1e-2..1/16,800..1040,3,8
K,7,hexc_00242,243,30781319,7,False,54.60627873649685,0.0612244903086135,891.9025452273049,54.60627873649685,1e-2..1/16,800..1040,3,8
K,8,hexc_00198,199,39635819,218,False,51.89152697394646,0.0121095669309337,4285.167856943783,51.89152697394646,1e-2..1/16,2k..10k,14,35
K,9,hexc_00662,663,604872131,4,True,51.108716920391565,0.06250000001022,817.7394705925482,51.108716920391565,1/16..0.063,800..1040,2,5
K,10,hexc_00026,27,1192781,458,False,50.66738569136971,0.0086272722536348,5872.9322782207055,50.66738569136971,1e-3..1e-2,2k..10k,30,35
K,11,hexc_00273,274,109547591,776,False,47.57965339891239,0.0038567224770555,12336.81025325891,47.57965339891239,1e-3..1e-2,10k..100k,36,37
K,12,hexc_00059,60,3291137,8,False,47.50332782189178,0.0703125109678581,675.6027791925528,47.50332782189178,>0.07,400..800,3,9
K,13,hexc_00303,304,604870961,1710,True,45.48807574882472,0.0014833768000711,30665.21988657529,45.48807574882472,1e-3..1e-2,10k..100k,75,36
K,14,hexc_00673,674,187509659,4,False,45.359671130370025,0.062500000034995,725.7547376795558,45.359671130370025,1/16..0.063,400..800,2,5
K,15,hexc_00322,323,179438351,4,False,45.15037585275888,0.0625000000366538,722.4060132204793,45.15037585275888,1/16..0.063,400..800,2,5
K,16,hexc_00444,445,179382319,4,False,45.1488896869581,0.0625000000366658,722.3822345675421,45.1488896869581,1/16..0.063,400..800,2,5
K,17,hexc_00525,526,179146433,4,False,45.14263941256952,0.0625000000367167,722.2822301767951,45.14263941256952,1/16..0.063,400..800,2,5
K,18,hexc_00448,449,178913689,4,False,45.13646513874443,0.0625000000367669,722.1834417950718,45.13646513874443,1/16..0.063,400..800,2,5
K,19,hexc_00423,424,178907011,4,False,45.13628574684366,0.0625000000367684,722.1805715246438,45.13628574684366,1/16..0.063,400..800,2,5
K,20,hexc_00459,460,178299217,4,False,45.12012021068152,0.0625000000369003,721.9219229446782,45.12012021068152,1/16..0.063,400..800,2,5
rho,1,hexc_00059,60,3291137,8,False,0.0703125109678581,0.0703125109678581,675.6027791925528,47.50332782189178,>0.07,400..800,3,9
rho,2,hexc_00032,33,1197697,4,False,0.0625000074574887,0.0625000074574887,391.767362479616,24.48546307657668,1/16..0.063,100..400,2,5
rho,3,hexc_00231,232,7103387,4,False,0.0625000011154557,0.0625000011154557,497.7685930500613,31.11053762086765,1/16..0.063,400..800,2,5
rho,4,hexc_00185,186,22052431,4,False,0.0625000003352271,0.0625000003352271,571.823778567229,35.73898635214264,1/16..0.063,400..800,2,5
rho,5,hexc_00123,124,30340987,4,False,0.0625000002391374,0.0625000002391374,593.6083048512339,37.10051919515607,1/16..0.063,400..800,2,5
rho,6,hexc_00297,298,30423359,4,False,0.0625000002384519,0.0625000002384519,593.7952814317096,37.11220523107346,1/16..0.063,400..800,2,5
rho,7,hexc_00399,400,31019993,4,False,0.062500000233602,0.062500000233602,595.1346872686706,37.19591809331656,1/16..0.063,400..800,2,5
rho,8,hexc_00254,255,33472553,4,False,0.062500000215536,0.062500000215536,600.3964743596705,37.52477977688646,1/16..0.063,400..800,2,5
rho,9,hexc_00360,361,33862799,4,False,0.0625000002129092,0.0625000002129092,601.2002262852478,37.57501427082905,1/16..0.063,400..800,2,5
rho,10,hexc_00341,342,40864051,4,False,0.0625000001745394,0.0625000001745394,614.3043273743798,38.394020568119046,1/16..0.063,400..800,2,5
rho,11,hexc_00428,429,108831299,4,False,0.0625000000620669,0.0625000000620669,684.8928925852447,42.80580582908696,1/16..0.063,400..800,2,5
rho,12,hexc_00619,620,109709357,4,False,0.0625000000615436,0.0625000000615436,685.487680238085,42.84298005706769,1/16..0.063,400..800,2,5
rho,13,hexc_00459,460,178299217,4,False,0.0625000000369003,0.0625000000369003,721.9219229446782,45.12012021068152,1/16..0.063,400..800,2,5
rho,14,hexc_00423,424,178907011,4,False,0.0625000000367684,0.0625000000367684,722.1805715246438,45.13628574684366,1/16..0.063,400..800,2,5
rho,15,hexc_00448,449,178913689,4,False,0.0625000000367669,0.0625000000367669,722.1834417950718,45.13646513874443,1/16..0.063,400..800,2,5
rho,16,hexc_00525,526,179146433,4,False,0.0625000000367167,0.0625000000367167,722.2822301767951,45.14263941256952,1/16..0.063,400..800,2,5
rho,17,hexc_00444,445,179382319,4,False,0.0625000000366658,0.0625000000366658,722.3822345675421,45.1488896869581,1/16..0.063,400..800,2,5
rho,18,hexc_00322,323,179438351,4,False,0.0625000000366538,0.0625000000366538,722.4060132204793,45.15037585275888,1/16..0.063,400..800,2,5
rho,19,hexc_00673,674,187509659,4,False,0.062500000034995,0.062500000034995,725.7547376795558,45.359671130370025,1/16..0.063,400..800,2,5
rho,20,hexc_00662,663,604872131,4,True,0.06250000001022,0.06250000001022,817.7394705925482,51.108716920391565,1/16..0.063,800..1040,2,5
W,1,hexc_00000,1,180530237,684790,False,12959053.727783969,3.2735856737309205e-07,12959053.727783969,4.242257262838288,1e-8..1e-5,>1M,35864,41
W,2,hexc_00040,41,604672261,151650,True,3033676.629773508,7.088585359010924e-07,3033676.629773508,2.1504475741786093,1e-8..1e-5,>1M,7420,41
W,3,hexc_00006,7,30774449,104130,False,1779248.2415295793,2.950329231534745e-06,1779248.2415295793,5.2493680971415095,1e-8..1e-5,>1M,5986,41
W,4,hexc_00023,24,180619079,61662,False,1150120.8492122318,1.2944315269216204e-05,1150120.8492122318,14.8875268699018,1e-5..1e-4,>1M,3182,41
W,5,hexc_00002,3,30974597,64413,False,1093316.616665536,1.9422371715622123e-06,1093316.616665536,2.123480173174438,1e-8..1e-5,>1M,3676,41
W,6,hexc_00063,64,604810421,53021,True,1051188.9309305267,2.0377749152049087e-06,1051188.9309305267,2.1420864345912927,1e-8..1e-5,>1M,2571,41
W,7,hexc_00009,10,178298621,43765,False,798074.177811984,4.543373039781753e-06,798074.177811984,3.625948703216957,1e-8..1e-5,100k..1M,2211,40
W,8,hexc_00104,105,604432601,22162,True,434187.6454525263,2.06217770804309e-05,434187.6454525263,8.953720835599166,1e-5..1e-4,100k..1M,1062,41
W,9,hexc_00024,25,109813367,23159,False,415443.40602984704,2.0778047940193143e-05,415443.40602984704,8.632103006925286,1e-5..1e-4,100k..1M,1212,41
W,10,hexc_00183,184,604356173,20686,True,410878.7045005271,2.5173556665508988e-05,410878.7045005271,10.343278350394945,1e-5..1e-4,100k..1M,1005,40
W,11,hexc_00020,21,30847123,15789,False,264952.9009793016,2.3709390930342185e-05,264952.9009793016,6.281871907446504,1e-5..1e-4,100k..1M,891,40
W,12,hexc_00074,75,113195507,12848,False,232219.20970225587,6.586142262327108e-05,232219.20970225587,15.294287511442286,1e-5..1e-4,100k..1M,676,41
W,13,hexc_00048,49,33902159,13400,False,227279.07943450435,2.1421708405269822e-05,227279.07943450435,4.86870616626411,1e-5..1e-4,100k..1M,756,41
W,14,hexc_00061,62,113166227,11734,False,207022.77611569525,3.216669824117494e-05,207022.77611569525,6.659239168363888,1e-5..1e-4,100k..1M,602,40
W,15,hexc_00089,90,179641471,10782,False,196155.9763356998,8.045657907736666e-05,196155.9763356998,15.782038821551293,1e-5..1e-4,100k..1M,543,40
W,16,hexc_00078,79,109546081,10586,False,189848.613817078,7.530717556786893e-05,189848.613817078,14.29696289203924,1e-5..1e-4,100k..1M,554,40
W,17,hexc_00043,44,109588091,10737,False,187114.83108940587,8.36386109735821e-05,187114.83108940587,15.650024564874345,1e-5..1e-4,100k..1M,546,40
W,18,hexc_00008,9,12883477,11482,False,180102.6915603797,1.9210479624522343e-05,180102.6915603797,3.4598590865423064,1e-5..1e-4,100k..1M,672,39
W,19,hexc_00027,28,109670797,9994,False,172050.0701267297,9.941514847870646e-05,172050.0701267297,17.10438326742069,1e-5..1e-4,100k..1M,502,40
W,20,hexc_00127,128,187449539,9358,False,170999.7579549638,6.639280241488409e-05,170999.7579549638,11.353153142896916,1e-5..1e-4,100k..1M,472,39
product_margin_to_65,1,hexc_00304,305,30386821,13,False,-8.91003130475967,0.0622439704219009,1187.4247546193487,73.91003130475967,1e-2..1/16,1040..2k,4,12
product_margin_to_65,2,hexc_00453,454,604143557,767,True,0.7501140882894077,0.0044902565189875,14308.73395317695,64.24988591171059,1e-3..1e-2,10k..100k,35,37
product_margin_to_65,3,hexc_00442,443,604711937,771,True,5.763967121070728,0.0042612153946668,13901.205968857425,59.23603287892927,1e-3..1e-2,10k..100k,34,37
product_margin_to_65,4,hexc_00275,276,108562291,313,False,8.916035811352309,0.0102386405991222,5477.676811261057,56.08396418864769,1e-2..1/16,2k..10k,16,33
product_margin_to_65,5,hexc_00081,82,12782599,494,False,9.795046570159478,0.0079295555047139,6961.922821149648,55.20495342984052,1e-3..1e-2,2k..10k,26,36
product_margin_to_65,6,hexc_00355,356,33821677,7,False,9.795476769133423,0.0612244902599906,901.673872602938,55.20452323086658,1e-2..1/16,800..1040,3,8
product_margin_to_65,7,hexc_00242,243,30781319,7,False,10.393721263503153,0.0612244903086135,891.9025452273049,54.60627873649685,1e-2..1/16,800..1040,3,8
product_margin_to_65,8,hexc_00198,199,39635819,218,False,13.108473026053538,0.0121095669309337,4285.167856943783,51.89152697394646,1e-2..1/16,2k..10k,14,35
product_margin_to_65,9,hexc_00662,663,604872131,4,True,13.891283079608435,0.06250000001022,817.7394705925482,51.108716920391565,1/16..0.063,800..1040,2,5
product_margin_to_65,10,hexc_00026,27,1192781,458,False,14.33261430863029,0.0086272722536348,5872.9322782207055,50.66738569136971,1e-3..1e-2,2k..10k,30,35
product_margin_to_65,11,hexc_00273,274,109547591,776,False,17.42034660108761,0.0038567224770555,12336.81025325891,47.57965339891239,1e-3..1e-2,10k..100k,36,37
product_margin_to_65,12,hexc_00059,60,3291137,8,False,17.49667217810822,0.0703125109678581,675.6027791925528,47.50332782189178,>0.07,400..800,3,9
product_margin_to_65,13,hexc_00303,304,604870961,1710,True,19.51192425117528,0.0014833768000711,30665.21988657529,45.48807574882472,1e-3..1e-2,10k..100k,75,36
product_margin_to_65,14,hexc_00673,674,187509659,4,False,19.640328869629975,0.062500000034995,725.7547376795558,45.359671130370025,1/16..0.063,400..800,2,5
product_margin_to_65,15,hexc_00322,323,179438351,4,False,19.849624147241123,0.0625000000366538,722.4060132204793,45.15037585275888,1/16..0.063,400..800,2,5
product_margin_to_65,16,hexc_00444,445,179382319,4,False,19.8511103130419,0.0625000000366658,722.3822345675421,45.1488896869581,1/16..0.063,400..800,2,5
product_margin_to_65,17,hexc_00525,526,179146433,4,False,19.857360587430477,0.0625000000367167,722.2822301767951,45.14263941256952,1/16..0.063,400..800,2,5
product_margin_to_65,18,hexc_00448,449,178913689,4,False,19.863534861255573,0.0625000000367669,722.1834417950718,45.13646513874443,1/16..0.063,400..800,2,5
product_margin_to_65,19,hexc_00423,424,178907011,4,False,19.86371425315634,0.0625000000367684,722.1805715246438,45.13628574684366,1/16..0.063,400..800,2,5
