group_field,group_value,rows,post_P0_rows,sample_count_min,sample_count_max,sample_count_mean,simple_geometric_h_match_frac,left_endpoint_missing_count,right_endpoint_missing_count,alignment_score_mean
post_P0_flag,False,1326,0,2,41,5.815233785822021,0.9826546003016591,0,0,0.9369367430513817
post_P0_flag,True,142,142,2,41,7.73943661971831,0.9929577464788732,0,0,0.8869136466733594
simple_geometric_h_match_flag,False,24,1,12,37,31.791666666666668,0.0,0,0,0.7097011601492081
simple_geometric_h_match_flag,True,1444,141,2,41,5.572714681440443,1.0,0,0,0.9357943429848812
sample_count,2,1241,117,2,2,2.0,1.0,0,0,1.0
sample_count,4,42,2,4,4,4.0,1.0,0,0,1.0
sample_count,5,19,1,5,5,5.0,1.0,0,0,1.0
sample_count,8,2,0,8,8,8.0,1.0,0,0,1.0
sample_count,9,1,0,9,9,9.0,1.0,0,0,1.0
sample_count,12,1,0,12,12,12.0,0.0,0,0,1.0
sample_count,14,1,0,14,14,14.0,0.0,0,0,1.0
sample_count,15,1,0,15,15,15.0,0.0,0,0,1.0
sample_count,30,1,0,30,30,30.0,0.0,0,0,0.8571428571428571
sample_count,32,1,0,32,32,32.0,0.0,0,0,0.7243388614970865
sample_count,33,1,0,33,33,33.0,0.0,0,0,0.6705202312138728
sample_count,34,6,1,34,34,34.0,0.0,0,0,0.6945079111491369
sample_count,35,17,0,35,35,35.0,0.4117647058823529,0,0,0.6316304420252855
sample_count,36,27,2,36,36,36.0,0.9629629629629629,0,0,0.5235890438243901
sample_count,37,32,4,37,37,37.0,0.96875,0,0,0.418158734007939
sample_count,38,21,1,38,38,38.0,1.0,0,0,0.3812146065280972
sample_count,39,21,4,39,39,39.0,1.0,0,0,0.21125864642611897
sample_count,40,21,6,40,40,40.0,1.0,0,0,0.13384924030319217
sample_count,41,12,4,41,41,41.0,1.0,0,0,0.03269467938772677
E_theta_sign,negative,148,22,33,41,37.75675675675676,0.9324324324324325,0,0,0.35153233396613226
E_theta_sign,positive,1320,120,2,37,2.440909090909091,0.9893939393939394,0,0,0.997191722489971
threshold_relevant_flag,False,1465,141,2,41,5.9296928327645055,0.9836177474402731,0,0,0.9340014046120465
threshold_relevant_flag,True,3,1,41,41,41.0,1.0,0,0,0.0026004523670816004
forbidden_flag,False,1467,142,2,41,5.977505112474438,0.983640081799591,0,0,0.9327329729140871
forbidden_flag,True,1,0,41,41,41.0,1.0,0,0,0.000587848783791
finite_zone_flag,False,142,142,2,41,7.73943661971831,0.9929577464788732,0,0,0.8869136466733594
finite_zone_flag,True,1326,0,2,41,5.815233785822021,0.9826546003016591,0,0,0.9369367430513817
