candidate_id,block_id,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,offsets_sorted,offsets_full_length,sample_offsets_min,sample_offsets_max,left_endpoint_sampled_flag,right_endpoint_sampled_flag,offset_gap_pattern,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,simple_geometric_h_match_flag,simple_geometric_h_symmetric_difference_count,simple_geometric_h_missing_offsets,simple_geometric_h_extra_offsets,grid_origin_rule,grid_depends_on_Lambda_by_code_flag,grid_depends_on_candidate_h_flag,grid_depends_on_parent_sr11_y_path_flag,grid_endpoint_complete_flag,lambda_event_count,samples_on_event_count,event_to_sample_alignment_score,nearest_sample_distance_to_event_mean,nearest_sample_distance_to_event_max,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,Q_R2Q,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,row_status
hexc_00013,14,1195386,205,1195669,False,32,0.15609756097560976,"0,1,2,3,4,5,6,7,8,10,11,13,16,18,21,25,30,32,35,41,48,56,64,66,78,92,108,126,128,148,174,205",92,0,205,True,True,"1,1,1,1,1,1,1,1,2,1,2,3,2,3,4,5,2,3,6,7,8,8,2,12,14,16,18,2,20,26,31",31,6.612903225806452,3.0,False,28,"15,24,28,33,38,45,52,61,71,82,96,112,130,151,176","25,30,35,41,48,56,66,78,92,108,126,148,174",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,16,2,0.7243388614970865,5.125,13.0,34.13933734207035,354.60178243066593,10.386897053027612,0.0899443884131837,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00047,48,3439819,811,3440807,False,37,0.04562268803945746,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,19,23,28,32,35,42,51,63,64,76,93,113,128,138,168,204,249,303,369,449,547,666,811",112,0,811,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,4,3,7,9,12,1,12,17,20,15,10,30,36,45,54,66,80,98,119,145",145,22.52777777777778,4.5,False,44,"12,15,18,21,26,31,38,46,56,67,82,99,120,145,175,212,257,311,377,457,553,670","9,11,13,19,23,28,35,42,51,63,76,93,113,138,168,204,249,303,369,449,547,666",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,57,4,0.4042553191489361,21.157894736842103,69.0,20.16255464637634,702.2368423026453,34.828763250437255,0.1225172337511368,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00055,56,1511046,403,1511527,False,35,0.08684863523573201,"0,1,2,3,4,5,6,7,8,10,12,14,16,17,20,24,29,32,34,41,49,58,64,69,82,98,117,128,140,167,199,237,283,338,403",104,0,403,True,True,"1,1,1,1,1,1,1,1,2,2,2,2,1,3,4,5,3,2,7,8,9,6,5,13,16,19,11,12,27,32,38,46,55,65",65,11.852941176470589,4.5,False,41,"9,11,13,18,22,26,31,37,43,52,61,73,86,102,121,144,171,203,241,286,340","12,14,17,20,24,29,34,41,49,58,69,82,98,117,140,167,199,237,283,338",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,29,4,0.6563450061929963,7.517241379310345,26.0,19.6838291851891,371.1308073875218,18.854604147183693,0.0952884508457212,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00081,82,12782006,494,12782599,False,36,0.0728744939271255,"0,1,2,3,4,5,6,7,8,9,10,11,13,15,16,19,22,27,32,38,46,55,64,66,80,96,115,128,138,165,198,238,286,343,412,494",107,0,494,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,5,5,6,8,9,9,2,14,16,19,13,10,27,33,40,48,57,69,82",82,14.114285714285714,5.0,False,42,"12,14,17,20,24,29,35,41,49,59,70,84,100,120,143,171,204,243,290,347,414","9,11,13,15,19,22,27,38,46,55,66,80,96,115,138,165,198,238,286,343,412",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,26,2,0.6519071752467325,10.038461538461538,33.0,55.20495342984067,1575.5811266564383,28.54057523404718,0.0796044258439215,negative,False,False,True,primitive_full_verified
hexc_00098,99,4990677,357,4991101,False,34,0.09523809523809523,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,19,22,27,32,38,45,53,63,64,75,89,106,126,128,150,179,212,252,300,357",100,0,357,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,5,5,6,7,8,10,1,11,14,17,20,2,22,29,33,40,48,57",57,10.818181818181818,3.0,False,39,"12,15,17,21,24,29,34,40,48,56,67,79,93,110,130,154,182,216,255,302","7,11,13,19,22,27,38,45,53,63,75,89,106,126,150,179,212,252,300",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,22,2,0.7189144281362504,6.590909090909091,25.0,12.437731257729226,311.2885403505685,25.02775899399847,0.076175182058325,negative,False,False,True,primitive_full_verified
hexc_00116,117,17991472,705,17992327,False,35,0.04964539007092199,"0,1,2,3,4,5,6,7,8,10,12,15,16,18,22,27,32,39,47,57,64,70,84,102,124,128,151,183,222,269,326,395,479,581,705",107,0,705,True,True,"1,1,1,1,1,1,1,1,2,2,3,1,2,4,5,5,7,8,10,7,6,14,18,22,4,23,32,39,47,57,69,84,102,124",124,20.735294117647058,5.5,False,44,"9,11,14,17,20,24,29,35,42,51,62,74,90,108,131,157,190,229,276,333,402,485,585","6,12,15,18,22,27,39,47,57,70,84,102,124,151,183,222,269,326,395,479,581",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,42,2,0.492664334568997,16.928571428571427,58.0,10.954918554849996,354.22150014349245,32.33447134909738,0.0927710098591296,negative,False,False,True,primitive_full_verified
hexc_00134,135,12830878,349,12831293,False,35,0.10028653295128939,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,19,22,26,31,32,37,44,53,62,64,74,88,105,124,128,148,175,208,248,294,349",103,0,349,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,5,1,5,7,9,9,2,10,14,17,19,4,20,27,33,40,46,55",55,10.264705882352942,3.5,False,38,"12,15,17,20,24,28,34,40,47,55,66,77,92,108,151,179,211,250,295","11,13,19,22,26,31,37,44,53,62,74,88,105,124,148,175,208,248,294",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,21,2,0.7574626865671642,5.571428571428571,23.0,8.550115888308264,108.05757061807763,12.638141053250454,0.0716348006649615,negative,False,False,True,primitive_full_verified
hexc_00165,166,30798784,510,30799397,False,35,0.06862745098039216,"0,1,2,3,4,5,6,8,9,10,11,13,16,19,23,27,32,33,39,47,57,64,68,82,98,118,128,141,170,204,245,294,354,425,510",105,0,510,True,True,"1,1,1,1,1,1,2,1,1,1,2,3,3,4,4,5,1,6,8,10,7,4,14,16,20,10,13,29,34,41,49,60,71,85",85,15.0,4.5,False,43,"7,12,14,17,21,25,30,35,42,50,60,72,86,103,123,147,175,209,250,299,357,427","9,11,13,19,23,27,33,39,47,57,68,82,98,118,141,170,204,245,294,354,425",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,28,2,0.5650224215246638,13.857142857142858,41.0,7.158211936574595,287.7031513364698,40.19204151618676,0.0722199673831855,negative,False,False,True,primitive_full_verified
hexc_00178,179,30850871,350,30851287,False,35,0.1,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,19,22,26,31,32,37,44,53,63,64,74,88,105,125,128,148,176,209,248,295,350",103,0,350,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,5,1,5,7,9,10,1,10,14,17,20,3,20,28,33,39,47,55",55,10.294117647058824,3.0,False,38,"12,15,17,20,24,28,34,40,47,56,66,78,92,108,152,179,212,250,296","11,13,19,22,26,31,37,44,53,63,74,88,105,125,148,176,209,248,295",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,21,2,0.7103504152319222,6.809523809523809,16.0,37.160442256997776,424.5463845707774,11.4246860043984,0.0668106572193494,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00189,190,31025775,446,31026421,False,34,0.07623318385650224,"0,1,2,3,4,5,6,8,9,10,11,13,16,19,23,28,32,34,40,49,58,64,70,85,102,122,128,147,177,213,256,308,371,446",102,0,446,True,True,"1,1,1,1,1,1,2,1,1,1,2,3,3,4,5,4,2,6,9,9,6,6,15,17,20,6,19,30,36,43,52,63,75",75,13.515151515151516,5.0,False,35,"7,14,27,33,39,46,55,66,78,93,111,132,157,187,222,264,315,375","9,13,28,34,40,49,58,70,85,102,122,147,177,213,256,308,371",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,31,4,0.5609573048699132,11.32258064516129,35.0,28.1588784245243,263.0742963961146,9.342499102059277,0.0841518906254193,positive,False,False,True,sign_inconsistent_positive_harmless
