q,count,count_frac,sum_W,sum_W_frac,sum_W2,sum_W2_frac,mean_W,mean_W_over_shell2,mean_W2,side_left_frac
3,82686,0.5009269019664861,57861.93006893332,0.6713453502774136,40490.56613334944,0.6278811044898558,0.6997790444444443,0.4444444444444443,0.48969071104357986,0.5
5,20611,0.12486520543297833,20769.330074464007,0.24097698015356414,20928.876412693957,0.3245409312000385,1.0076818240000003,0.6400000000000001,1.015422658419968,0.5041967881228471
7,10299,0.06239322452837047,5294.956686416326,0.06143494603638328,2722.2610264127543,0.04221369131625763,0.5141233795918367,0.32653061224489793,0.2643228494429318,0.5086901640936013
11,5105,0.03092702313014188,1062.8544858512394,0.012331811542540112,221.28494771676813,0.0034314323223292253,0.20819872396694208,0.13223140495867763,0.0433467086614629,0.4977473065621939
13,3904,0.023651145602365115,581.9511598958577,0.006752111532041642,86.7487583258541,0.0013451999167257672,0.1490653585798816,0.09467455621301771,0.022220481128548693,0.4964139344262295
17,2655,0.016084475300788777,231.43557462975775,0.00268524048076804,20.17417145167827,0.00031283783515228506,0.08716970795847749,0.055363321799307946,0.007598557985566203,0.5005649717514125
19,2257,0.013673318551367332,157.5026230448753,0.0018274304626842276,10.991172470543058,0.00017043845442207942,0.06978405983379499,0.044321329639889176,0.0048698150068866,0.4798404962339389
23,1713,0.010377667114972193,81.5765106102078,0.0009464947163838829,3.8848377602669855,6.024159345283416e-05,0.0476220143667296,0.030245746691871408,0.0022678562523450003,0.493286631640397
29,1301,0.007881695806525875,38.97128576171219,0.0004521658966316636,1.1673797954811203,1.810238248909351e-05,0.02995486991676571,0.019024970273483918,0.0008972942317303,0.5157571099154497
31,1140,0.006906328377739813,29.88442454110299,0.00034673522707390014,0.7834024825901518,1.2148104188241196e-05,0.026214407492195606,0.016649323621227872,0.0006871951601667998,0.4850877192982456
37,938,0.005682575454666618,17.260875655807098,0.000200269997897364,0.31763094712704054,4.925455209627805e-06,0.018401786413440403,0.011687363038714349,0.00033862574320580013,0.4509594882729211
41,855,0.00517974628330486,12.813324799524072,0.000148667111786742,0.19202490341291248,2.9777012266853114e-06,0.014986344794764996,0.009518143961927407,0.00022459053030749997,0.4888888888888889
43,767,0.004646626198005647,10.450134653975045,0.00012124810391497451,0.14237981002113573,2.2078622481767562e-06,0.0136246866414277,0.008653326122228168,0.00018563208607710004,0.4941329856584094
47,674,0.004083215198768977,7.686481998370274,8.918271380593882e-05,0.08765876188612323,1.359311204738628e-06,0.0114042759619737,0.007243096423721113,0.00013005751021680003,0.4688427299703264
53,603,0.0036530842208571117,5.407904413243113,6.274542653952639e-05,0.04849988415053849,7.520803914615729e-07,0.008968332360270502,0.0056959772160910995,8.043098532427611e-05,0.48092868988391374
59,505,0.0030593823076829874,3.6546920505601777,4.2403710210087586e-05,0.026449057394906546,4.101415454438785e-07,0.007237013961505302,0.004596380350473994,5.237437107902287e-05,0.5089108910891089
61,473,0.0028655204584832734,3.20232130309053,3.7155060578914565e-05,0.021680468770037355,3.36195760571916e-07,0.006770235313087802,0.004299919376511641,4.5836086194582145e-05,0.48625792811839325
67,453,0.002744356802733452,2.5422135568723263,2.9496134138373454e-05,0.014266776531447211,2.2123275274970876e-07,0.005611950456671802,0.003564268211182852,3.149398792813954e-05,0.4988962472406181
71,400,0.0024232731149964257,1.9989720769688404,2.319315321159585e-05,0.009989723411252953,1.5490913484263535e-07,0.004997430192422101,0.0031739734179726006,2.4974308528132382e-05,0.5175
73,420,0.002544436770746247,1.985486799024204,2.3036689736655683e-05,0.009386090069284266,1.4554868361520645e-07,0.0047273495214862,0.0030024394820791847,2.234783349829587e-05,0.5095238095238095
79,351,0.0021264221584093635,1.4168255096298652,1.6438774456905562e-05,0.005719072720051089,8.8684798436688e-08,0.004036539913475399,0.002563691716071139,1.6293654473080024e-05,0.4928774928774929
83,316,0.0019143857608471763,1.1555648729278416,1.3407487504474776e-05,0.004225728403622696,6.552773326514345e-08,0.0036568508636957014,0.0023225431847873133,1.3372558239312328e-05,0.4873417721518987
89,330,0.001999200319872051,1.049536049488674,1.2177283853707026e-05,0.00333795733083742,5.176120108382488e-08,0.0031804122711778003,0.002019946976391818,1.0115022214658848e-05,0.48484848484848486
97,288,0.0017447566427974265,0.7711031068976448,8.946754537629004e-06,0.0020645833384278136,3.201518256312353e-08,0.0026774413433946,0.0017004995217344955,7.168692147318797e-06,0.5034722222222222
103,269,0.0016296511698350963,0.638765224469763,7.411298981140076e-06,0.0015168067360295198,2.3520893374999252e-08,0.0023745919125270003,0.0015081534546139439,5.638686751039107e-06,0.4944237918215613
101,255,0.0015448366108102214,0.6297394008430545,7.306576502698794e-06,0.0015551831881339979,2.4115991231976744e-08,0.0024695662778159,0.001568473679051073,6.098757600525482e-06,0.4823529411764706
107,245,0.0014842547829353107,0.5390908526508681,6.2548231086153e-06,0.0011861997853545299,1.8394221234674095e-08,0.0022003708271464005,0.0013975019652370908,4.8416317769572646e-06,0.49795918367346936
109,246,0.0014903129657228018,0.5216095629660589,6.051995748159684e-06,0.001106002179584005,1.715060905294257e-08,0.0021203640770978004,0.0013466879892264408,4.495943819447175e-06,0.508130081300813
113,214,0.0012964511165230877,0.4222020329234776,4.8986159179821745e-06,0.0008329652177790879,1.2916666050514995e-08,0.001972906695904101,0.0012530346933980468,3.892360830743402e-06,0.5186915887850467
127,201,0.001217694740285704,0.31394390015499984,3.642546616850197e-06,0.0004903521017140933,7.603816113590567e-09,0.0015619099510198998,0.0009920019840039666,2.4395626950949916e-06,0.5572139303482587
139,186,0.001126821998473338,0.24251956325240764,2.8138429006230082e-06,0.0003162136481728192,4.903477368423064e-09,0.0013038686196366002,0.0008281144868277629,1.7000733772732216e-06,0.5161290322580645
137,177,0.0010722983533859184,0.23757217066438474,2.756440580893798e-06,0.0003188730862948682,4.9447168744328164e-09,0.0013422156534711003,0.0008524694975757587,1.801542860422984e-06,0.4745762711864407
131,159,0.0009632510632110792,0.2334091982052228,2.708139526980426e-06,0.000342640589979935,5.313275970781317e-09,0.0014679823786492,0.0009323465998484537,2.1549722640247485e-06,0.44654088050314467
149,183,0.0011086474501108647,0.20765480585557738,2.4093231630507015e-06,0.00023563124805969207,3.653898238834136e-09,0.0011347257150578,0.0007206882572856568,1.2876024484136178e-06,0.47540983606557374
151,168,0.0010177747082984988,0.18561745804129925,2.1536339565217066e-06,0.00020508238529594615,3.1801816296407754e-09,0.0011048658216744004,0.0007017236086136017,1.2207284839044413e-06,0.5297619047619048
157,154,0.0009329601492736239,0.15739279574829582,1.8261561870974242e-06,0.0001608603386588834,2.4944370195546334e-09,0.0010220311412227,0.0006491135543023628,1.044547653629113e-06,0.512987012987013
163,142,0.0008602619558237311,0.13464076462041258,1.5621748389316393e-06,0.00012766292603923917,1.979649747053155e-09,0.0009481743987352999,0.0006022055779291221,8.990346904171772e-07,0.528169014084507
181,158,0.0009571928804235881,0.12149638914561718,1.4096666984878022e-06,9.342640870523083e-05,1.4487492344061356e-09,0.0007689644882633999,0.0004883855804156848,5.913063842103217e-07,0.44936708860759494
167,123,0.0007451564828614009,0.11110551144895321,1.2891061257822946e-06,0.0001003612575149156,1.5562868893688978e-09,0.0009032968410484001,0.0005737028936139431,8.159451830480943e-07,0.4634146341463415
179,131,0.0007936219451613294,0.10299797052525408,1.1950380590098098e-06,8.098154146811648e-05,1.2557685544044012e-09,0.0007862440498110999,0.0004993601947504254,6.181797058634846e-07,0.5114503816793893
173,122,0.0007390983000739098,0.10269068673192319,1.19147278654789e-06,8.643751755308069e-05,1.3403735529864296e-09,0.0008417269404255999,0.0005345985499013863,7.085042422383663e-07,0.45901639344262296
