scope,residual,rows,mean_z,median_z,std_z,rms_z,min_z,max_z,neg_frac,neg_mean,neg_max,q01_z,q05_z,q10_z,q90_z,q95_z,q99_z,pass_Q_le_1_frac,pass_Q_le_0p1_frac,pass_Q_le_0p05_frac,worst_block_id,worst_p_star,worst_y,worst_h,worst_is_tail,worst_neg_Q,worst_z
global,fitted,1468,0.005747735299206303,0.002340782049979746,0.03319844934778486,0.033692335926248554,-0.06850346210343525,0.5736457947872946,0.4489100817438692,0.0034039408000392777,0.06850346210343525,-0.053076964407739166,-0.021580202563507938,-0.004863629882024925,0.021077597582781896,0.034368528974190335,0.11561089401267509,1.0,1.0,0.9816076294277929,2,24317,24178,3,False,0.06850346210343525,-0.06850346210343525
global,canonical_scaled,1468,0.03502034658669661,0.02767657083032858,0.05036600955827812,0.06134459710420239,-0.03946320129494251,0.9748126741428922,0.09264305177111716,0.0012825557376887934,0.03946320129494251,-0.022005995397103493,-0.013817173144016438,0.0037160417317897904,0.06274671804359724,0.07188781299045728,0.15329529341361783,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
global,canonical_raw,1468,0.035058094050088445,0.027706155993891923,0.050385661225129115,0.0613822842155481,-0.03945333721536144,0.9752445214850918,0.09264305177111716,0.0012790272322419926,0.03945333721536144,-0.021959205585701535,-0.013796971590134183,0.003791612858443667,0.06279401524489779,0.07193545989341361,0.1533825368776107,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
tail:False,fitted,1326,0.007046033778736596,0.0028816725422870994,0.03450841216427171,0.03522040746655769,-0.06850346210343525,0.5736457947872946,0.3929110105580694,0.0030145867971887778,0.06850346210343525,-0.05381348541064896,-0.021588232895941875,-0.002396635087955361,0.021901117927705688,0.03757109370498204,0.11614800738609476,1.0,1.0,0.9796380090497737,2,24317,24178,3,False,0.06850346210343525,-0.06850346210343525
tail:False,canonical_scaled,1326,0.0374077110197125,0.03323665320672797,0.052222122279399326,0.0642377373441722,-0.03946320129494251,0.9748126741428922,0.08521870286576169,0.0011029713770013686,0.03946320129494251,-0.02047810050214414,-0.012090833706179756,0.0067041716486944845,0.06713488506647824,0.07794181380919152,0.18237605611706736,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
tail:False,canonical_raw,1326,0.037446405113810165,0.03326964831816082,0.05224295961944541,0.06427721280319014,-0.03945333721536144,0.9752445214850918,0.08521870286576169,0.0010999284586109916,0.03945333721536144,-0.02045878168163551,-0.01206984552237459,0.006760419354810093,0.06718492240799503,0.07798967439336717,0.18247790271005046,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
tail:True,fitted,142,-0.006375812474435737,-0.004618117050537012,0.010544880948309006,0.012322560566829469,-0.046737266645962575,0.07672217013016465,0.971830985915493,0.007039739446375644,0.046737266645962575,-0.044926265470824456,-0.02063535763784317,-0.016238284898296658,-0.003993025450313142,-0.0038502369769174427,0.008792897664659453,1.0,1.0,1.0,680,604865039,604864888,3,True,0.046737266645962575,-0.046737266645962575
tail:True,canonical_scaled,142,0.012727070261491856,0.01839084256459647,0.01443678169473766,0.01924575234025583,-0.03437235322817768,0.060207226028768525,0.1619718309859155,0.002959519556502354,0.03437235322817768,-0.03170957670088925,-0.020086967351593325,-0.017751491391624054,0.018993572328268576,0.019110516456094517,0.019301769971528288,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03437235322817768,-0.03437235322817768
tail:True,canonical_raw,142,0.01275597806068703,0.018415627932719704,0.014426576816810924,0.019257234872537523,-0.03411027957901503,0.06024733749362576,0.1619718309859155,0.002951456625444154,0.03411027957901503,-0.031688346593816544,-0.02004341115749344,-0.017728444980484693,0.01901835738196309,0.01913530171448733,0.019326555917882342,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03411027957901503,-0.03411027957901503
depth_bin:0.50-0.55,fitted,1408,0.004741809071694887,0.002043647305858581,0.02983432749912507,0.03020880419012739,-0.060307561775910824,0.5736457947872946,0.4559659090909091,0.0031865950936013163,0.060307561775910824,-0.05140562836595491,-0.020334506387740932,-0.004809806522222901,0.019606852296476338,0.023880569385263964,0.11473483468974587,1.0,1.0,0.9850852272727273,114,359477,359416,3,False,0.060307561775910824,-0.060307561775910824
depth_bin:0.50-0.55,canonical_scaled,1408,0.03412627806127899,0.02770338763181406,0.04538513819827877,0.056783920466912066,-0.03946320129494251,0.9748126741428922,0.08735795454545454,0.0012523286914854351,0.03946320129494251,-0.021851784949082357,-0.013817173144016438,0.007991578636128037,0.05775410912108256,0.07114574136737356,0.14074301294229624,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
depth_bin:0.50-0.55,canonical_raw,1408,0.03416143257166547,0.027732974554871125,0.04540330417825569,0.05681956974187377,-0.03945333721536144,0.9752445214850918,0.08735795454545454,0.0012497668485179731,0.03945333721536144,-0.021812220324226094,-0.013796971590134183,0.008019397042114004,0.057799137635189055,0.07119752958500424,0.1408269411396015,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
depth_bin:0.55-0.60,fitted,44,0.021047128385737197,0.018639431054051657,0.051741759867111825,0.055858672804064806,-0.06278636942038379,0.19814628457898986,0.2727272727272727,0.008797789106364735,0.06278636942038379,-0.06265686620161622,-0.06173851668469928,-0.04851456415238576,0.06045418417262244,0.06810769869451247,0.19577203529387618,1.0,1.0,0.8863636363636364,26,230647,230560,3,False,0.06278636942038379,-0.06278636942038379
depth_bin:0.55-0.60,canonical_scaled,44,0.03991510950447825,0.018308630464910686,0.06745282901571377,0.0783779312624262,-0.03437235322817768,0.36946568108470534,0.20454545454545456,0.0019062347731657505,0.03437235322817768,-0.027051699525502782,-0.009439109926263607,-0.004437256355706078,0.12819097027194593,0.13930617724310226,0.27860136188140705,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03437235322817768,-0.03437235322817768
depth_bin:0.55-0.60,canonical_raw,44,0.039990986447898516,0.018367818233767742,0.06746286437683215,0.07842523233630137,-0.03411027957901503,0.3696501026555166,0.20454545454545456,0.0018913548383923478,0.03411027957901503,-0.026882653308002023,-0.00941288021943289,-0.004349782223934388,0.12827079798092383,0.13939024738978106,0.27874248359382425,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03411027957901503,-0.03411027957901503
scale_bin:100M<=p<500M,fitted,530,-0.0013519907295105665,-0.0011005955067582007,0.015555870041347996,0.01561451157340474,-0.04978339910758268,0.09796744091825552,0.8660377358490566,0.00339478978864145,0.04978339910758268,-0.04881592929399309,-0.02034499614498498,-0.002593938216618473,0.00017974392800062218,0.0008545699203825125,0.0905369116451734,1.0,1.0,1.0,327,109497203,109497076,3,False,0.04978339910758268,-0.04978339910758268
