scope,rows,neg_rows,neg_frac,mean_z,median_z,std_z,min_z,max_z,neg_max,neg_median,q01_z,q05_z,q10_z,q90_z,q95_z,median_p_star,median_h,median_mu_over_sqrt_p,median_cp_ratio
LongA:global,166,99,0.5963855421686747,-0.0006614780943134137,-0.00510099300458617,0.021036015411020313,-0.03946320129494251,0.08969171900200533,0.03946320129494251,0.013423486419239837,-0.033995162698547035,-0.022874347860466764,-0.02130380529546421,0.02661020718080899,0.038285827285343535,40845630.0,1253.5,0.2496554748624697,0.094828646387256
LongA:tail:False,144,78,0.5416666666666666,0.0018606503144175004,-0.0023174279020347494,0.02121589727736947,-0.03946320129494251,0.08969171900200533,0.03946320129494251,0.012235074024124264,-0.02926755158120317,-0.02244521943968334,-0.01877435706390984,0.029141709871026874,0.042732228990178915,39636528.0,1124.0,0.25807716775544515,0.0939166987188154
depth:0.50-0.55,126,88,0.6984126984126984,-0.006064280066200738,-0.008469812191143511,0.016493371954565232,-0.03946320129494251,0.0830951993001843,0.03946320129494251,0.014756662395306845,-0.033058114518780726,-0.02350481941050776,-0.022286338318617163,0.01190527990652515,0.017850667695521797,108591212.0,1061.5,0.28262218165159037,0.08643483398239675
scale:p<100M,88,38,0.4318181818181818,0.007731333463211886,0.004391906631113422,0.023759117589914124,-0.03946320129494251,0.08969171900200533,0.03946320129494251,0.012549799036607103,-0.024848408240642807,-0.020611362239047186,-0.017330046494162123,0.03715385797779082,0.05358376908516422,30777230.0,895.0,0.27378469656518256,0.0930684413092571
mu:0.25-0.50,67,41,0.6119402985074627,-0.002938996144051252,-0.00687754083685666,0.016577384982866292,-0.03946320129494251,0.05256241893529198,0.03946320129494251,0.013420554149616392,-0.03572024811002199,-0.023288977544811865,-0.018693146007913202,0.01628459636605775,0.02067765882825546,39648137.0,797.0,0.3360819510214528,0.0805833243274027
decade:1e7-1e8,66,33,0.5,0.0028789537568805865,0.00029177409036517564,0.022069226937288026,-0.03946320129494251,0.08969171900200533,0.03946320129494251,0.012879498751893972,-0.02854410303598296,-0.02220026785734388,-0.017477504823480615,0.02348571111767618,0.034086191551758245,31003830.0,916.5,0.28175421494704717,0.08982255839366785
recovery_position:0.05-0.25,65,36,0.5538461538461539,-7.449269610821163e-05,-0.002645836128323047,0.019300140911040056,-0.03946320129494251,0.05256241893529198,0.03946320129494251,0.012396527979628598,-0.031137209849224117,-0.022625552428124675,-0.021991159955169266,0.025736689558810852,0.03841160165284938,39640253.0,767.0,0.3081612758553426,0.076175182058325
h:257<=h<=1024,61,35,0.5737704918032787,-0.0018090876785020148,-0.002645836128323047,0.017189676779363117,-0.03946320129494251,0.05256241893529198,0.03946320129494251,0.012879498751893972,-0.031657584314581516,-0.022469407785219782,-0.021038775957499166,0.015993495216761213,0.02955655356042303,33865589.0,626.0,0.3576931829910547,0.0722199673831855
pstar_mod_30:23,13,10,0.7692307692307693,-0.011715199568036887,-0.013688800389795544,0.013717326918187783,-0.03946320129494251,0.011311819821743856,0.03946320129494251,0.01742350019903211,-0.03757273689388978,-0.03001087928967884,-0.02350038274670596,0.007281286518812722,0.009043492435102987,108849263.0,1183.0,0.313685310510124,0.0736278072537615
y_mod_30:8,9,3,0.3333333333333333,0.00447336883043743,0.006836339290041204,0.02470507708045616,-0.03946320129494251,0.05413372685817237,0.03946320129494251,0.021876614984444962,-0.03805627439010271,-0.03242856677074349,-0.02539393224654447,0.025550083285760875,0.0398419050719666,12836777.0,1515.0,0.2726447000019765,0.1184377830877646
recovery_position:<=0.05,90,55,0.6111111111111112,-0.0017609231542519898,-0.00510099300458617,0.020387189221355868,-0.03437235322817768,0.08969171900200533,0.03437235322817768,0.013423486419239837,-0.03385589234914495,-0.025239938847915998,-0.02039349567540952,0.02211996876762007,0.03172248014894815,109480794.0,2341.5,0.1944508618207162,0.12977701286288368
decade:1e8-1e9,78,61,0.782051282051282,-0.010130291133572725,-0.012014931006299903,0.011651830483223725,-0.03437235322817768,0.019326748724831245,0.03437235322817768,0.015155692447001146,-0.03392552752384599,-0.0273942557043363,-0.022843863198967602,0.006368536321490087,0.010056421144973914,179407161.0,1855.0,0.2256620244951387,0.0994099281609476
