block_id,p_star,y,h,z,neg_Q,is_tail,scale_bin,decade,depth_bin,mu_bin,h_bin,d_worst,mu_over_sqrt_p,cp_ratio,Q_pp,Qpp_over_denom,pstar_mod_30,y_mod_30,recovery_position,recovery_pos_bin,canonical_scaled_E_post,denom_sqrt_h_logB
272,39651113,39650618,347,-0.03946320129494251,0.03946320129494251,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.5130079418849849,0.2726447000019765,0.0666565964958798,0.0,0.0,23,8,0.1885245901639344,0.05-0.25,-225.017450814545,5701.956339851794
41,604672261,604520611,151650,-0.03437235322817768,0.03437235322817768,True,p>=500M,1e8-1e9,0.55-0.60,0.018-0.05,h>65536,0.5650676485722232,0.0188625554143685,0.7568596623500748,0.0,0.0,1,1,0.0,<=0.05,-5472.694999435189,159217.93201370913
320,604702619,604700469,2150,-0.03379206010566899,0.03379206010566899,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5104435141450901,0.2683711374458009,0.0924905344982734,0.0,0.0,29,9,0.023614895549500452,<=0.05,-640.6293431726679,18957.984247465138
87,109467389,109460158,7231,-0.03085627775811593,0.03085627775811593,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.05-0.10,1025<=h<=8192,0.5381612551129792,0.0998400260208556,0.2045445847739718,0.0,0.0,29,28,0.04729907773386034,<=0.05,-899.1019044484319,29138.378630648243
382,604365031,604363228,1803,-0.028712832289133048,0.028712832289133048,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5084790056660465,0.2431835239261652,0.0869939928500895,0.0,0.0,1,28,0.04704016913319239,<=0.05,-498.4514197924093,17359.88337106884
69,108581987,108578163,3824,-0.027161565718783934,0.027161565718783934,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5466631288926747,0.2261287513281542,0.1469597990717332,0.0,0.0,17,3,0.031408308004052685,<=0.05,-575.0409801354708,21171.12783884155
338,108591737,108591025,712,-0.02645383966100752,0.02645383966100752,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,0.5095535764984479,0.2570099155011029,0.0670776998596762,0.0,0.0,17,25,0.07049608355091384,0.05-0.25,-241.66735093224668,9135.435688319378
271,187425023,187423758,1265,-0.023709331286169727,0.023709331286169727,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5130231570030996,0.2518280977890102,0.0855229588678136,0.0,0.0,23,18,0.11040787623066103,0.05-0.25,-305.9876444624281,12905.789740300212
130,109678603,109674416,4187,-0.022891283783521853,0.022891283783521853,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.528376609411706,0.1384579101635149,0.1528036364238857,0.0,0.0,13,26,0.015749882463563705,<=0.05,-507.6662298938127,22177.272130943267
64,604810421,604757400,53021,-0.022823540091301494,0.022823540091301494,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,8193<=h<=65536,0.5487978692884932,0.0413509791397858,0.4494568065190746,0.0,0.0,11,0,0.007877699187904645,<=0.05,-2148.758214729598,94146.57875745282
299,39651863,39651244,619,-0.022664588588850898,0.022664588588850898,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,0.5111542890712376,0.2089995144379897,0.0700647985436921,0.0,0.0,23,4,0.07057057057057058,0.05-0.25,-172.60495297030388,7615.622595294372
279,40863643,40862800,843,-0.022469407785219782,0.022469407785219782,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,0.5124156361515416,0.164907531940699,0.0829200752976066,0.0,0.0,13,10,0.11820083682008369,0.05-0.25,-200.3819979554493,8917.99195914986
209,40866037,40865652,274,-0.022308152148310185,0.022308152148310185,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.5179780210414819,0.4954488651245134,0.0613874169888523,0.0,0.0,7,12,0.22064777327935223,0.05-0.25,-113.42141780584176,5084.303578879494
163,109511267,109509400,1867,-0.022303999796248364,0.022303999796248364,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5229691244821333,0.2206466169513801,0.1088223400603969,0.0,0.0,17,10,0.12593632958801498,0.05-0.25,-330.24778773035746,14806.662067218394
91,179602723,179595316,7407,-0.022268676840985966,0.022268676840985966,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5376464937949953,0.1317267680327341,0.1917202756433796,0.0,0.0,13,16,0.015811852245548763,<=0.05,-692.3230962134858,31089.54794023732
111,30780011,30777698,2313,-0.021876614984444962,0.021876614984444962,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5309952999263841,0.1427322285349701,0.1309387070981607,0.0,0.0,11,8,0.01574468085106383,<=0.05,-312.79670168083385,14298.222183973308
139,109556411,109553597,2814,-0.02152190019355062,0.02152190019355062,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5262347117230012,0.1801352322732363,0.1307278386246201,0.0,0.0,11,17,0.0945945945945946,0.05-0.25,-391.2433812218751,18178.84934431196
443,604711937,604711166,771,-0.021085710397377805,0.021085710397377805,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,0.5069004732672138,0.3749579265399366,0.0595213337383874,0.0,0.0,17,26,0.14142538975501115,0.05-0.25,-239.3806359663349,11352.742281621397
178,109496207,109495510,697,-0.021038775957499166,0.021038775957499166,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,0.5208023032075147,0.5938651999406811,0.0652388028843534,0.0,0.0,17,10,0.07066666666666667,0.05-0.25,-190.33357737704387,9046.79900396964
463,604208581,604207847,503,-0.02022870464107225,0.02022870464107225,True,p>=500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,0.5064781916090058,0.5007093759924465,0.055570383439438,0.0,0.0,1,17,0.0316622691292876,<=0.05,-185.47692356779783,9168.996574857616
215,604883911,604879711,4200,-0.02015507619056956,0.02015507619056956,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5174284120212457,0.2251952976621232,0.1286153186276067,0.0,0.0,1,1,0.023709902370990237,<=0.05,-534.0659550245737,26497.83855813256
297,604724143,604718720,5423,-0.020104447248294032,0.020104447248294032,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5111967758595328,0.1183179348741576,0.1444593757832343,0.0,0.0,13,20,0.007866813025978778,<=0.05,-605.3219137090591,30108.856325827302
258,179145961,179143998,1963,-0.018796074136079064,0.018796074136079064,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5137470080736206,0.1842296176947366,0.0992292790633997,0.0,0.0,1,18,0.015546639919759278,<=0.05,-300.74897400885175,16000.6271432801
