feature,value,rows,neg_rows,neg_frac,mean_z,min_z,neg_max,median_h,median_qpp_over_denom,median_cp_ratio
h_mod_30,17,6,5,0.8333333333333334,-0.013294825884677376,-0.03946320129494251,0.03946320129494251,1292.0,0.0,0.10952454518952526
shell_pattern,11111,166,99,0.5963855421686747,-0.0006614780943134137,-0.03946320129494251,0.03946320129494251,1253.5,0.0,0.094828646387256
shell_active_count,5,166,99,0.5963855421686747,-0.0006614780943134137,-0.03946320129494251,0.03946320129494251,1253.5,0.0,0.094828646387256
short_boundary_proxy,False,163,97,0.5950920245398773,-0.0008214546261258927,-0.03946320129494251,0.03946320129494251,1265.0,0.0,0.0958698914280892
h,257<=h<=1024,61,35,0.5737704918032787,-0.0018090876785020148,-0.03946320129494251,0.03946320129494251,626.0,0.0,0.0722199673831855
recovery_position,0.05-0.25,72,37,0.5138888888888888,0.0040071129276745285,-0.03946320129494251,0.03946320129494251,708.5,0.0,0.07563549096951325
y_mod_30,8,9,3,0.3333333333333333,0.00447336883043743,-0.03946320129494251,0.03946320129494251,1515.0,0.0,0.1184377830877646
mu,0.25-0.50,196,53,0.27040816326530615,0.0256200318303841,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.06272715621178229
decade,1e7-1e8,536,47,0.08768656716417911,0.03139979726333285,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.0587895057187515
depth,0.50-0.55,1408,123,0.08735795454545454,0.03412627806127899,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.057929659644989195
tail,False,1326,113,0.08521870286576169,0.0374077110197125,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.0583790447825797
pstar_mod_30,23,192,15,0.078125,0.03478987513880483,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.05536773542496065
scale,p<100M,796,59,0.07412060301507538,0.04777309773130135,-0.03946320129494251,0.03946320129494251,1.0,0.0,0.06089484062911535
y_mod_30,1,4,3,0.75,-0.013791888091921228,-0.03437235322817768,0.03437235322817768,6779.0,0.0,0.17058198656815704
recovery_position,<=0.05,90,55,0.6111111111111112,-0.0017609231542519898,-0.03437235322817768,0.03437235322817768,2341.5,0.0,0.12977701286288368
h_mod_30,0,5,3,0.6,0.005870892869389776,-0.03437235322817768,0.03437235322817768,4200.0,0.0,0.1286153186276067
h,h>8192,21,11,0.5238095238095238,0.004240698984510497,-0.03437235322817768,0.03437235322817768,15789.0,0.0,0.3075518627750951
mu,0.018-0.05,6,3,0.5,-0.0005028173656136774,-0.03437235322817768,0.03437235322817768,57341.5,0.0,0.4976899579832857
depth,0.55-0.60,44,9,0.20454545454545456,0.03991510950447825,-0.03437235322817768,0.03437235322817768,1429.5,0.0,0.13211173389685305
tail,True,142,23,0.1619718309859155,0.012727070261491856,-0.03437235322817768,0.03437235322817768,1.0,0.0,0.049971557820017304
scale,p>=500M,142,23,0.1619718309859155,0.012727070261491856,-0.03437235322817768,0.03437235322817768,1.0,0.0,0.049971557820017304
decade,1e8-1e9,672,77,0.11458333333333333,0.019914409218980262,-0.03437235322817768,0.03437235322817768,1.0,0.0,0.05364746956728665
pstar_mod_30,1,167,18,0.10778443113772455,0.03448657982056407,-0.03437235322817768,0.03437235322817768,1.0,0.0,0.0580245314114383
h_mod_30,20,4,3,0.75,-0.00776178475414623,-0.03379206010566899,0.03379206010566899,1685.0,0.0,0.09456817103166554
h,1025<=h<=8192,75,47,0.6266666666666667,-0.0021446245867823444,-0.03379206010566899,0.03379206010566899,1867.0,0.0,0.1148387219870256
y_mod_30,9,13,4,0.3076923076923077,0.030924273408782506,-0.03379206010566899,0.03379206010566899,1178.0,0.0,0.0924905344982734
pstar_mod_30,29,199,20,0.10050251256281408,0.03821034682458256,-0.03379206010566899,0.03379206010566899,1.0,0.0,0.0582198634934368
mu,0.05-0.10,14,7,0.5,0.0009887934309109239,-0.03085627775811593,0.03085627775811593,11132.0,0.0,0.2499692155585696
scale,100M<=p<500M,530,54,0.1018867924528302,0.021840073618911115,-0.03085627775811593,0.03085627775811593,1.0,0.0,0.05396797119331545
y_mod_30,28,183,14,0.07650273224043716,0.03947220627100809,-0.03085627775811593,0.03085627775811593,1.0,0.0,0.0580349191062369
h_mod_30,1,1246,3,0.002407704654895666,0.0403917105750318,-0.03085627775811593,0.03085627775811593,1.0,0.0,0.05749608100900275
h_mod_30,3,50,43,0.86,-0.009242314817060756,-0.028712832289133048,0.028712832289133048,3.0,0.0,0.0689197067237027
mu,0.10-0.25,74,36,0.4864864864864865,0.0076472510076375155,-0.028712832289133048,0.028712832289133048,1680.5,0.0,0.11301194931265154
y_mod_30,3,7,5,0.7142857142857143,0.0012168239611961343,-0.027161565718783934,0.027161565718783934,1078.0,0.0,0.0967472985369818
h_mod_30,14,7,4,0.5714285714285714,-0.003090209011604478,-0.027161565718783934,0.027161565718783934,1004.0,0.0,0.0892723594368366
pstar_mod_30,17,188,20,0.10638297872340426,0.031745266380160196,-0.027161565718783934,0.027161565718783934,1.0,0.0,0.05860652744804725
y_mod_30,25,2,1,0.5,0.006230429730932647,-0.02645383966100752,0.02645383966100752,1745.0,0.0,0.12188381623685751
h_mod_30,22,7,3,0.42857142857142855,-0.00018485621425088513,-0.02645383966100752,0.02645383966100752,892.0,0.0,0.0908608054490663
h_mod_30,5,5,5,1.0,-0.011003653477477776,-0.023709331286169727,0.023709331286169727,935.0,0.0,0.0855229588678136
y_mod_30,18,134,5,0.03731343283582089,0.036066823583363744,-0.023709331286169727,0.023709331286169727,1.0,0.0,0.05816342911957385
y_mod_30,26,5,3,0.6,-0.010195866604593998,-0.022891283783521853,0.022891283783521853,771.0,0.0,0.0761893412087709
pstar_mod_30,13,189,14,0.07407407407407407,0.033845326147926305,-0.022891283783521853,0.022891283783521853,1.0,0.0,0.0580150846827492
h_mod_30,11,5,2,0.4,-0.0030289002546189598,-0.022823540091301494,0.022823540091301494,1541.0,0.0,0.110098889929409
pstar_mod_30,11,203,16,0.07881773399014778,0.032533335673086104,-0.022823540091301494,0.022823540091301494,1.0,0.0,0.0576781537726849
y_mod_30,0,147,6,0.04081632653061224,0.03825564046707156,-0.022823540091301494,0.022823540091301494,1.0,0.0,0.0576970160239945
h_mod_30,19,5,3,0.6,-0.004437122985824211,-0.022664588588850898,0.022664588588850898,409.0,0.0,0.0700647985436921
y_mod_30,4,7,3,0.42857142857142855,0.0007417395679649984,-0.022664588588850898,0.022664588588850898,873.0,0.0,0.072593883103974
y_mod_30,10,211,26,0.12322274881516587,0.030357796766628628,-0.022469407785219782,0.022469407785219782,1.0,0.0,0.0579569097919857
h_mod_30,4,25,5,0.2,0.06556383452497579,-0.022308152148310185,0.022308152148310185,4.0,0.0,0.058517488803213
pstar_mod_30,7,184,22,0.11956521739130435,0.040744095985669186,-0.022308152148310185,0.022308152148310185,1.0,0.0,0.05891380398052795
y_mod_30,12,171,5,0.029239766081871343,0.036710830841207166,-0.022308152148310185,0.022308152148310185,1.0,0.0,0.0576823253845206
h_mod_30,7,9,9,1.0,-0.01412230120603885,-0.022303999796248364,0.022303999796248364,757.0,0.0,0.0679786634633438
h_mod_30,27,6,3,0.5,-0.00017396529532876596,-0.022268676840985966,0.022268676840985966,1272.0,0.0,0.07856718069302915
y_mod_30,16,168,18,0.10714285714285714,0.03194337176402711,-0.022268676840985966,0.022268676840985966,1.0,0.0,0.05826740767970675
h_mod_30,24,5,3,0.6,0.001970077267881117,-0.02152190019355062,0.02152190019355062,684.0,0.0,0.072244005949339
y_mod_30,17,4,2,0.5,-0.007384676827585383,-0.02152190019355062,0.02152190019355062,1714.0,0.0,0.0999340457292244
h_mod_30,21,4,2,0.5,-0.0003323369617008881,-0.021085710397377805,0.021085710397377805,1836.0,0.0,0.12867393447040076
mu,0.50-1.00,579,31,0.0535405872193437,0.041724259118046975,-0.021038775957499166,0.021038775957499166,1.0,0.0,0.0576878486927585
h_mod_30,23,5,4,0.8,-0.009840800418728677,-0.02022870464107225,0.02022870464107225,2483.0,0.0,0.1434186712486546
y_mod_30,20,3,2,0.6666666666666666,-0.0026576770780696486,-0.020104447248294032,0.020104447248294032,987.0,0.0,0.0719233861912456
shell_pattern,10100,30,30,1.0,-0.015825268925985608,-0.019754849314279888,0.019754849314279888,3.0,0.0,0.063617502764239
shell_active_count,2,30,30,1.0,-0.015825268925985608,-0.019754849314279888,0.019754849314279888,3.0,0.0,0.063617502764239
recovery_position,0.25-0.50,41,27,0.6585365853658537,0.013276131884163121,-0.019754849314279888,0.019754849314279888,3.0,0.0,0.0636678531151053
short_boundary_proxy,True,1305,39,0.029885057471264367,0.03949713861557788,-0.019754849314279888,0.019754849314279888,1.0,0.0,0.0576781537726849
h,h<=4,1302,37,0.028417818740399385,0.03956964220654888,-0.019754849314279888,0.019754849314279888,1.0,0.0,0.05766498140507495
mu,>=1.00,597,5,0.008375209380234505,0.03612258135037728,-0.019754849314279888,0.019754849314279888,1.0,0.0,0.0579407179303479
h_mod_30,13,8,7,0.875,-0.009769524227813563,-0.018796074136079064,0.018796074136079064,1003.0,0.0,0.08562590131525415
recovery_position,0.75-0.95,44,1,0.022727272727272728,0.15848733682265864,-0.01874942984978795,0.01874942984978795,1.0,0.0,0.0697738864839331
h_mod_30,29,4,1,0.25,0.008498752936877612,-0.01867278741617868,0.01867278741617868,2384.0,0.0,0.15902703893718706
y_mod_30,19,9,4,0.4444444444444444,-0.0005739371862195803,-0.0185650504340669,0.0185650504340669,3310.0,0.0,0.127736784305964
pstar_mod_30,19,146,11,0.07534246575342465,0.03356874924702848,-0.018535174756034445,0.018535174756034445,1.0,0.0,0.05824553405846445
h_mod_30,28,6,4,0.6666666666666666,-0.0030963836056287076,-0.01826160714045132,0.01826160714045132,988.0,0.0,0.09385227960173109
decade,1e6-1e7,198,12,0.06060606060606061,0.05453575819029204,-0.01826160714045132,0.01826160714045132,1.0,0.0,0.0696567291558906
recovery_position,0.50-0.75,30,16,0.5333333333333333,0.0229917332148336,-0.01809724491802191,0.01809724491802191,3.0,0.0,0.0628497400433782
y_mod_30,7,6,5,0.8333333333333334,-0.008554322504146948,-0.017950843415599656,0.017950843415599656,3028.0,0.0,0.1212488771666545
h_mod_30,16,3,1,0.3333333333333333,0.028703161847879497,-0.017950843415599656,0.017950843415599656,1246.0,0.0,0.096662723146914
h_mod_30,10,5,2,0.4,0.0014565914244646574,-0.01794450994623471,0.01794450994623471,4900.0,0.0,0.1550942530280692
h_mod_30,15,5,3,0.6,0.005149290808370601,-0.01786698348384646,0.01786698348384646,705.0,0.0,0.0784523836661713
y_mod_30,14,6,3,0.5,0.007359362926102329,-0.017860118525054897,0.017860118525054897,5405.0,0.0,0.2101326035627904
h_mod_30,8,7,5,0.7142857142857143,0.007898066203116299,-0.017631206691171575,0.017631206691171575,458.0,0.0,0.0837417020986148
h,65<=h<=256,3,2,0.6666666666666666,-0.004298474770673098,-0.017631206691171575,0.017631206691171575,205.0,0.0,0.0588053295328899
y_mod_30,11,5,3,0.6,-0.0027121696269607675,-0.01751015553677154,0.01751015553677154,846.0,0.0,0.0817237377621316
y_mod_30,2,2,2,1.0,-0.009054015258153197,-0.017344614750364543,0.017344614750364543,866.0,0.0,0.0961722814353981
depth,0.60-0.65,7,2,0.2857142857142857,0.1716255219403867,-0.017344614750364543,0.017344614750364543,1.0,0.0,0.0968247715409327
y_mod_30,29,4,2,0.5,0.021319759677078467,-0.017323802955789655,0.017323802955789655,1592.0,0.0,0.12814994863208734
h_mod_30,2,7,3,0.42857142857142855,-0.001599835546521132,-0.017323802955789655,0.017323802955789655,1622.0,0.0,0.1030306737173388
h,5<=h<=16,6,4,0.6666666666666666,0.014206095729761831,-0.016842403132266606,0.016842403132266606,10.5,0.0,0.0655756453463309
y_mod_30,21,2,1,0.5,0.03360807993564481,-0.015879039428894674,0.015879039428894674,457.0,0.0,0.0793407815908895
y_mod_30,5,9,6,0.6666666666666666,0.0006861061417574007,-0.01500814080264492,0.01500814080264492,738.0,0.0,0.0736278072537615
y_mod_30,6,154,4,0.025974025974025976,0.0461060815432325,-0.014505183987968769,0.014505183987968769,1.0,0.0,0.057990290940173245
h_mod_30,18,3,2,0.6666666666666666,0.0047012678511960705,-0.013688800389795544,0.013688800389795544,2778.0,0.0,0.1280136512189761
h_mod_30,9,7,2,0.2857142857142857,0.009546737512403605,-0.012223555991387514,0.012223555991387514,2319.0,0.0,0.1321516982536188
y_mod_30,23,2,1,0.5,0.016435986871623356,-0.011122095179489058,0.011122095179489058,2841.0,0.0,0.13954942499920986
shell_pattern,11100,12,7,0.5833333333333334,0.002949436924965229,-0.010405842957724738,0.010405842957724738,3.0,0.0,0.08331191991972685
shell_active_count,3,12,7,0.5833333333333334,0.002949436924965229,-0.010405842957724738,0.010405842957724738,3.0,0.0,0.08331191991972685
h_mod_30,25,10,4,0.4,0.004899191540087526,-0.00917826988505208,0.00917826988505208,1195.0,0.0,0.09378944701738084
y_mod_30,22,175,1,0.005714285714285714,0.038645937776731594,-0.00837399585414129,0.00837399585414129,1.0,0.0,0.0546230160820673
depth,0.65-0.70,5,1,0.2,0.03341934637598296,-0.0075167682455929506,0.0075167682455929506,2483.0,0.0,0.1786966438467436
h_mod_30,26,4,2,0.5,0.00384267057791375,-0.0064669537032203345,0.0064669537032203345,701.0,0.0,0.07654365549233211
y_mod_30,13,1,1,1.0,-0.00459140626290162,-0.00459140626290162,0.00459140626290162,11734.0,0.0,0.2503069484559692
