block_id,p_star,y,h,canonical_z,neg_Q,is_tail,scale_bin,decade,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30,h_mod_30,Q_pp,Qpp_over_denom,cp_ratio,prime_count,local_prime_count,d_worst,mu_over_sqrt_p,recovery_position,recovery_pos_bin,shell_pattern,shell_active_count,canonical_scaled_E_post,denom_sqrt_h_logB
272,39651113,39650618,347,-0.03946320129494251,0.03946320129494251,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,23,8,17,0.0,0.0,0.0666565964958798,23,23,0.5130079418849849,0.2726447000019765,0.1885245901639344,0.05-0.25,11111,5,-225.017450814545,5701.956339851794
41,604672261,604520611,151650,-0.03437235322817768,0.03437235322817768,True,p>=500M,1e8-1e9,0.55-0.60,0.018-0.05,h>8192,1,1,0,0.0,0.0,0.7568596623500748,7420,7420,0.5650676485722232,0.0188625554143685,0.0,<=0.05,11111,5,-5472.694999435189,159217.93201370913
320,604702619,604700469,2150,-0.03379206010566899,0.03379206010566899,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,29,9,20,0.0,0.0,0.0924905344982734,94,94,0.5104435141450901,0.2683711374458009,0.023614895549500452,<=0.05,11111,5,-640.6293431726679,18957.984247465138
87,109467389,109460158,7231,-0.03085627775811593,0.03085627775811593,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.05-0.10,1025<=h<=8192,29,28,1,0.0,0.0,0.2045445847739718,381,381,0.5381612551129792,0.0998400260208556,0.04729907773386034,<=0.05,11111,5,-899.1019044484319,29138.378630648243
382,604365031,604363228,1803,-0.028712832289133048,0.028712832289133048,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,1,28,3,0.0,0.0,0.0869939928500895,82,82,0.5084790056660465,0.2431835239261652,0.04704016913319239,<=0.05,11111,5,-498.4514197924093,17359.88337106884
69,108581987,108578163,3824,-0.027161565718783934,0.027161565718783934,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,17,3,14,0.0,0.0,0.1469597990717332,185,185,0.5466631288926747,0.2261287513281542,0.031408308004052685,<=0.05,11111,5,-575.0409801354708,21171.12783884155
338,108591737,108591025,712,-0.02645383966100752,0.02645383966100752,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,17,25,22,0.0,0.0,0.0670776998596762,36,36,0.5095535764984479,0.2570099155011029,0.07049608355091384,0.05-0.25,11111,5,-241.66735093224668,9135.435688319378
271,187425023,187423758,1265,-0.023709331286169727,0.023709331286169727,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,23,18,5,0.0,0.0,0.0855229588678136,63,63,0.5130231570030996,0.2518280977890102,0.11040787623066103,0.05-0.25,11111,5,-305.9876444624281,12905.789740300212
130,109678603,109674416,4187,-0.022891283783521853,0.022891283783521853,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,13,26,17,0.0,0.0,0.1528036364238857,213,213,0.528376609411706,0.1384579101635149,0.015749882463563705,<=0.05,11111,5,-507.6662298938127,22177.272130943267
64,604810421,604757400,53021,-0.022823540091301494,0.022823540091301494,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,h>8192,11,0,11,0.0,0.0,0.4494568065190746,2571,2571,0.5487978692884932,0.0413509791397858,0.007877699187904645,<=0.05,11111,5,-2148.758214729598,94146.57875745282
299,39651863,39651244,619,-0.022664588588850898,0.022664588588850898,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,23,4,19,0.0,0.0,0.0700647985436921,34,34,0.5111542890712376,0.2089995144379897,0.07057057057057058,0.05-0.25,11111,5,-172.60495297030388,7615.622595294372
279,40863643,40862800,843,-0.022469407785219782,0.022469407785219782,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,257<=h<=1024,13,10,3,0.0,0.0,0.0829200752976066,48,48,0.5124156361515416,0.164907531940699,0.11820083682008369,0.05-0.25,11111,5,-200.3819979554493,8917.99195914986
209,40866037,40865652,274,-0.022308152148310185,0.022308152148310185,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,7,12,4,0.0,0.0,0.0613874169888523,17,17,0.5179780210414819,0.4954488651245134,0.22064777327935223,0.05-0.25,11111,5,-113.42141780584176,5084.303578879494
163,109511267,109509400,1867,-0.022303999796248364,0.022303999796248364,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,17,10,7,0.0,0.0,0.1088223400603969,96,96,0.5229691244821333,0.2206466169513801,0.12593632958801498,0.05-0.25,11111,5,-330.24778773035746,14806.662067218394
91,179602723,179595316,7407,-0.022268676840985966,0.022268676840985966,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,13,16,27,0.0,0.0,0.1917202756433796,366,366,0.5376464937949953,0.1317267680327341,0.015811852245548763,<=0.05,11111,5,-692.3230962134858,31089.54794023732
111,30780011,30777698,2313,-0.021876614984444962,0.021876614984444962,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,1025<=h<=8192,11,8,3,0.0,0.0,0.1309387070981607,126,126,0.5309952999263841,0.1427322285349701,0.01574468085106383,<=0.05,11111,5,-312.79670168083385,14298.222183973308
139,109556411,109553597,2814,-0.02152190019355062,0.02152190019355062,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,11,17,24,0.0,0.0,0.1307278386246201,145,145,0.5262347117230012,0.1801352322732363,0.0945945945945946,0.05-0.25,11111,5,-391.2433812218751,18178.84934431196
443,604711937,604711166,771,-0.021085710397377805,0.021085710397377805,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,17,26,21,0.0,0.0,0.0595213337383874,34,34,0.5069004732672138,0.3749579265399366,0.14142538975501115,0.05-0.25,11111,5,-239.3806359663349,11352.742281621397
