scope,rows,Q_LAN_max,Q_LAN_mean,Q_LAN_median,Q_LAN_q95,Q_LAN_q99,weighted_discrepancy_max,carrier_count_median,h_median,p_star_median,pass_Q_LAN_le_0p05_frac,pass_Q_LAN_le_0p1_frac,pass_Q_LAN_le_1_frac,worst_block_id,worst_p_star
global,166,8.118648230799173e-05,1.3325253898265575e-05,8.637065751891249e-06,3.7346201580435935e-05,5.2117952055469565e-05,2.2011904415940884,126.0,1253.5,40845630.0,1.0,1.0,1.0,14,1195669
scale:p<100M,88,8.118648230799173e-05,1.661688506760114e-05,1.2006859305455783e-05,4.5930001778690865e-05,5.782965434971517e-05,0.9367048228432294,101.0,895.0,30777230.0,1.0,1.0,1.0,14,1195669
h:65<=h<=256,3,8.118648230799173e-05,3.0302094528988175e-05,9.206479281686082e-06,7.398848200536116e-05,7.974688224746561e-05,0.22764484851820468,28.0,205.0,39635819.0,1.0,1.0,1.0,14,1195669
h:5<=h<=16,6,5.433955362031766e-05,3.739851673198694e-05,4.158100901721489e-05,5.242403569586201e-05,5.395645003542653e-05,0.05816129625661523,7.0,10.5,30584070.0,1.0,1.0,1.0,305,30386821
h:257<=h<=1024,61,5.0921705059012925e-05,1.4021323241504034e-05,9.886380446966465e-06,3.636957788863095e-05,4.709377664486648e-05,0.34219072147687224,66.0,626.0,33865589.0,1.0,1.0,1.0,164,39637237
h:1025<=h<=8192,75,4.776614987102008e-05,1.1080978752375373e-05,8.247864619239448e-06,2.8114535828219074e-05,3.5258713725838115e-05,0.6839299036244106,190.0,1867.0,108842081.0,1.0,1.0,1.0,19,1515197
scale:100M<=p<500M,56,4.5363048944999555e-05,1.0370304640976513e-05,7.453839966092045e-06,2.5616376771200055e-05,3.7524854094423924e-05,2.2011904415940884,155.0,1729.0,109793075.0,1.0,1.0,1.0,321,109471171
h:8193<=h<=65536,18,3.45749292851077e-05,1.0558851133530984e-05,9.596081652876332e-06,2.5473413436116673e-05,3.275462611530948e-05,1.0597823953188963,1431.0,13124.0,111489797.0,1.0,1.0,1.0,40,30417481
scale:p>=500M,22,2.523928224298086e-05,7.680418239477278e-06,6.771348849026306e-06,1.430708235656634e-05,2.2950362701156912e-05,1.0889442849063622,232.0,2571.0,604683445.0,1.0,1.0,1.0,379,604681513
h:h>65536,3,7.359533907369944e-06,6.753772856580779e-06,6.839331921561454e-06,7.307513708789095e-06,7.3491298676537744e-06,2.2011904415940884,14840.0,151650.0,180530237.0,1.0,1.0,1.0,1,180530237
