scope,rows,Q_exc_max,Q_exc_mean,Q_exc_median,Q_exc_q95,Q_exc_q99,Q_DeltaD_max,Q_DeltaD_mean,Q_DeltaD_median,Q_DeltaD_q95,Q_DeltaD_q99,Q_DeltaD_log1_max,Q_delayed_proxy_max,Q_delayed_proxy_mean,Q_delayed_proxy_q95,Q_delayed_proxy_q99,sampled_points_min,sampled_points_median,sampled_points_max,pass_Q_exc_le_0p05_frac,pass_Q_exc_le_0p10_frac,pass_Q_exc_le_0p25_frac,pass_Q_exc_le_1_frac,pass_Q_delayed_le_0p05_frac,pass_Q_delayed_le_0p10_frac,pass_Q_delayed_le_0p25_frac,pass_Q_delayed_le_1_frac,worst_block_id,worst_p_star,worst_h
global,166,0.020567236449224698,0.006318694000692523,0.005722562223876077,0.011325087838312521,0.016202783327572627,1.8091175489119342,0.1279126365907968,0.07733282709465768,0.31854107900525525,0.7838549319963852,34.393873361464586,1.8113476643303823,0.1342313305914893,0.3240436571709137,0.7861359704939576,8,37.0,41,1.0,1.0,1.0,1.0,0.04819277108433735,0.6144578313253012,0.9156626506024096,0.9939759036144579,1,180530237,684790
tail:p_star<500M,144,0.020567236449224698,0.0065526514615983295,0.005780433052670874,0.011419979657568954,0.016570091107562662,1.8091175489119342,0.12515850128801823,0.07541544960033361,0.3004392384368662,0.7717945804822711,34.393873361464586,1.8113476643303823,0.13171115274961653,0.3045177284321362,0.7749174006216922,8,37.0,41,1.0,1.0,1.0,1.0,0.041666666666666664,0.6180555555555556,0.9305555555555556,0.9930555555555556,1,180530237,684790
scale:100M<=p<500M,56,0.010267555200510526,0.005624519110749883,0.005278255897953792,0.008581863364619528,0.010010955405106442,1.8091175489119342,0.1491360468821921,0.07704601430421448,0.36355079038732796,1.107205526598682,34.393873361464586,1.8113476643303823,0.15476056599294194,0.36760555467628164,1.1110223220428912,14,38.0,41,1.0,1.0,1.0,1.0,0.08928571428571429,0.5892857142857143,0.9107142857142857,0.9821428571428571,1,180530237,684790
h:h>65536,3,0.003787590185198272,0.0024958413205760123,0.0022301154184481845,0.003631842708523263,0.0037564406898632705,1.8091175489119342,1.136222641905916,0.8528427097579773,1.7134900649965383,1.789992052128855,34.393873361464586,1.8113476643303823,1.138718483226492,1.7158759278916615,1.7922533170426382,41,41.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1,180530237,684790
depth:>=0.70,2,0.0022416133345536226,0.0022358643765009035,0.0022358643765009035,0.0022410384387483505,0.002241498355392568,1.8091175489119342,1.2367381185492525,1.2367381185492525,1.751879605875666,1.7976699603046806,34.393873361464586,1.8113476643303823,1.2389739829257533,1.7541102961899193,1.7999001907022898,41,41.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1,180530237,684790
mu:0.006-0.01,1,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,1.8091175489119342,1.8091175489119342,1.8091175489119342,1.8091175489119342,1.8091175489119342,34.393873361464586,1.8113476643303823,1.8113476643303823,1.8113476643303823,1.8113476643303823,41,41.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,180530237,684790
scale:p<100M,88,0.020567236449224698,0.007143281139410978,0.006436017547347501,0.012813081841862608,0.017714310186043594,0.8528427097579773,0.10990006318263487,0.07501072327181077,0.2759510032488845,0.6888616109908526,14.704880583773212,0.8566302999431755,0.11704334432204581,0.28217611388390235,0.69130420131599,8,37.0,41,1.0,1.0,1.0,1.0,0.011363636363636364,0.6363636363636364,0.9431818181818182,1.0,7,30774449,104130
depth:0.65-0.70,5,0.012866187364944506,0.0071709247389926305,0.007638782450585998,0.011821532210364128,0.01265725633402843,0.8528427097579773,0.30867830079226366,0.14944900281659243,0.742463053542884,0.8307667785149586,14.704880583773212,0.8566302999431755,0.3158492255312562,0.7462769561114809,0.8345596311768366,36,39.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.6,1.0,7,30774449,104130
mu:0.01-0.018,1,0.003787590185198272,0.003787590185198272,0.003787590185198272,0.003787590185198272,0.003787590185198272,0.8528427097579773,0.8528427097579773,0.8528427097579773,0.8528427097579773,0.8528427097579773,14.704880583773212,0.8566302999431755,0.8566302999431755,0.8566302999431755,0.8566302999431755,41,41.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7,30774449,104130
depth:0.55-0.60,30,0.020567236449224698,0.007333695549329572,0.006768734918301688,0.011590518659975593,0.018094443048406694,0.7467076670478365,0.18968540723601754,0.13862875650662754,0.4456453148733905,0.6847074664777992,15.098576242511108,0.7481774854059181,0.1970191027853471,0.4505142672945402,0.6872343840878794,9,39.0,41,1.0,1.0,1.0,1.0,0.0,0.13333333333333333,0.8333333333333334,1.0,41,604672261,151650
