scope,rows,Q_pp_max,Q_pp_mean,Q_pp_median,Q_pp_q95,Q_pp_q99,Q_bdy_max,Q_bdy_mean,Q_bdy_median,Q_bdy_q95,Q_bdy_q99,Q_leak_plus_max,Q_leak_plus_mean,Q_leak_plus_median,Q_leak_plus_q95,Q_leak_plus_q99,Q_o2p4_max,Q_o2p4_mean,Q_o2p4_median,Q_o2p4_q95,Q_o2p4_q99,O2_subtotal_before_o2p4,O2_total_with_o2p4_max,O2_margin_remaining,worst_block_id,worst_p_star,worst_h,worst_component,pass_Q_o2p4_le_0p05_frac,pass_Q_o2p4_le_0p10_frac,pass_Q_o2p4_le_0p25_frac,pass_Q_o2p4_le_1_frac,pass_O2_total_le_1
global,1468,0.0006293709991497,9.183325536469182e-07,0.0,0.0,0.0,0.019754849314279888,0.00036718774860855833,0.0,0.0,0.016536754278555357,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0003681060811622053,0.0,0.0,0.016536754278555357,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
depth:0.50-0.55,1408,0.0006293709991497,8.086446781946733e-07,0.0,0.0,0.0,0.019754849314279888,0.0003795868363383697,0.0,0.0,0.016639002150615863,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0003803954810165644,0.0,0.0,0.016639002150615863,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
h:h<=4,1302,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.00038864027940467197,0.0,0.0,0.016649226937821903,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.00038864027940467197,0.0,0.0,0.016649226937821903,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
mu:>=1.00,597,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.00013048730192134493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.00013048730192134493,0.0,0.0,0.0,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
tail:p_star>=500M,142,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0002711568955216045,0.0,0.0,0.011062163611374954,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0002711568955216045,0.0,0.0,0.011062163611374954,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
scale:p>=500M,142,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0002711568955216045,0.0,0.0,0.011062163611374954,0.0,0.0,0.0,0.0,0.0,0.019754849314279888,0.0002711568955216045,0.0,0.0,0.011062163611374954,0.0301511056,0.04990595491427989,0.9500940450857202,680,604865039,3,bdy,1.0,1.0,1.0,1.0,True
mu:0.50-1.00,579,0.0,0.0,0.0,0.0,0.0,0.01874942984978795,0.0004964247677309669,0.0,0.0,0.016713435983217645,0.0,0.0,0.0,0.0,0.0,0.01874942984978795,0.0004964247677309669,0.0,0.0,0.016713435983217645,0.0301511056,0.04890053544978795,0.951099464550212,608,604715411,3,bdy,1.0,1.0,1.0,1.0,True
tail:p_star<500M,1326,0.0006293709991497,1.0166758587885943e-06,0.0,0.0,0.0,0.018563746874519164,0.0003774715956208867,0.0,0.0,0.016405280471745113,0.0,0.0,0.0,0.0,0.0,0.018563746874519164,0.00037848827147967534,0.0,0.0,0.016405280471745113,0.0301511056,0.04871485247451916,0.9512851475254809,350,178894987,3,bdy,1.0,1.0,1.0,1.0,True
scale:100M<=p<500M,530,0.0006293709991497,2.3281169271090113e-06,0.0,0.0,0.0,0.018563746874519164,0.0004500852709715842,0.0,0.0,0.016890962431368554,0.0,0.0,0.0,0.0,0.0,0.018563746874519164,0.0004524133878986932,0.0,0.0,0.016890962431368554,0.0301511056,0.04871485247451916,0.9512851475254809,350,178894987,3,bdy,1.0,1.0,1.0,1.0,True
mu:0.25-0.50,196,0.0006293709991497,3.21107652627398e-06,0.0,0.0,0.0,0.017008446329552483,0.0008862283428269945,0.0,0.012195526317118162,0.016838128544704768,0.0,0.0,0.0,0.0,0.0,0.017008446329552483,0.0008894394193532685,0.0,0.012195526317118162,0.016838128544704768,0.0301511056,0.047159551929552485,0.9528404480704475,370,179411909,3,bdy,1.0,1.0,1.0,1.0,True
