file_name,file_path,contains_global_error_definition,contains_step_drift_analysis,contains_upper_jump_localization,contains_lower_drift_bracketing,contains_prime_jump_coverage,contains_prime_power_coverage,contains_interval_coverage,contains_theta_window_continuity,contains_sample_grid_only_warning,contains_window_gap_scan,contains_P0_transition,contains_continuous_all_x_claim,contains_failed_delta_route,contains_full_grid_HExc_upgrade,failed_delta_route_used_as_proof,status,notes
Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,proof_attack,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,audit_result,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,conditional_assembly,explicitly conditional
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,target_or_skeleton,explicitly conditional
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,closure_update,
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,candidate,
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,target_or_skeleton,explicitly conditional
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,target_or_skeleton,
Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Audit_v1.md,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,audit_result,
Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,closure_update,explicitly conditional
Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,conditional_assembly,explicitly conditional
