field,value
rows,1468
primitive_full_rows,1468
primitive_missing_rows,0
post_P0_rows,142
finite_zone_rows,1326
positive_rows,1320
negative_rows,148
threshold_relevant_rows,3
forbidden_rows,1
Q_R2Q_max,1.8193520399038576
Q_delta_D_max,1.8091175489119344
Q_exc_max,0.0205672364492246
abs_epsilon_max,0.0257284509172871
Q_delta_D_positive_max,0.1926535586334653
Q_delta_D_negative_max,1.8091175489119344
Q_delta_D_threshold_relevant_max,1.8091175489119344
Q_delta_D_forbidden_max,1.8091175489119344
Q_delta_D_post_P0_max,0.7467076670478365
Q_delta_D_finite_max,1.8091175489119344
Q_delta_D_above_0p25_count,14
Q_delta_D_above_0p50_count,5
Q_delta_D_above_0p75_count,2
Q_delta_D_above_1p00_count,1
Q_delta_D_gt_0p75_count,2
Q_delta_D_gt_0p75_negative_count,2
Q_delta_D_gt_0p75_positive_count,0
Q_delta_D_gt_0p75_violations,0
pass_Q_delta_D_threshold_negative_transfer,True
positive_Q_delta_D_max,0.1926535586334653
positive_Q_delta_D_above_0p25_count,0
pass_positive_Q_delta_D_cap_0p25,True
Q_exc_mean,0.001224311884935629
Q_exc_q95,0.009898102196655285
Q_exc_q99,0.014359962721857807
Q_exc_above_0p025_count,0
Q_exc_above_0p05_count,0
Q_exc_threshold_relevant_max,0.0037875901851982
Q_exc_forbidden_max,0.0022301154184481
Q_exc_post_P0_max,0.0122977701368278
pass_Q_exc_cap_0p025,True
epsilon_min,-0.0155683033703539
epsilon_max,0.0257284509172871
abs_epsilon_mean,0.0030163628684094107
abs_epsilon_q95,0.011390007464696135
abs_epsilon_q99,0.01641763992066064
abs_epsilon_above_0p01_count,104
abs_epsilon_above_0p02_count,7
abs_epsilon_above_0p03_count,0
abs_epsilon_threshold_relevant_max,0.0086821769441567
abs_epsilon_forbidden_max,0.0080043755734753
pass_epsilon_cap_0p03,True
epsilon_positive_count,1401
epsilon_negative_count,67
epsilon_positive_mean,0.0026714747849687355
epsilon_negative_mean,-0.01022812712065398
formula_rows,1468
formula_residual_max_abs,2.220446049250313e-16
formula_residual_mean_abs,9.819858368778792e-17
formula_residual_q99_abs,2.0816681711721685e-16
formula_residual_cap,1e-10
formula_residual_cap_violations,0
pass_formula_reconstruction,True
corr_Q_R2Q_Q_delta_D,0.997546651615762
corr_Q_R2Q_Q_exc,0.18514785107969708
corr_Q_R2Q_epsilon,0.2928612017991879
corr_E_theta_Q_delta_D,-0.8915735219752451
corr_E_theta_Q_R2Q,-0.9075811164199883
corr_abs_E_theta_Q_delta_D,0.897959800324939
positive_Q_delta_D_q95,0.07317313180348672
positive_Q_delta_D_q99,0.09993047017263122
negative_Q_delta_D_q95,0.33388175449016855
negative_Q_delta_D_q99,0.8029592396842112
threshold_relevant_Q_delta_D_min,0.7467076670478365
threshold_relevant_Q_delta_D_max,1.8091175489119344
component_bound_failures,0
missing_Q_delta_D_count,0
missing_Q_exc_count,0
missing_epsilon_count,0
threshold_relevant_missing_component_count,0
pass_rawr2q_component_bounds_empirical,True
recommended_theorem_form,Q_exc_le_0p025_abs_epsilon_le_0p03_positive_endpoint_cap_negative_threshold_transfer
recommended_next_file,Prime_Mesh_R2Q_RawR2Q_Component_Bounds_Theorem_Target_v1.md
