candidate_id,block_id,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,E_theta,E_theta_sign,Q_R2Q,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,Q_formula_sum,formula_residual,abs_formula_residual,positive_harmless_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,primitive_available_flag,instrumentation_gap_flag
hexc_00000,1,180530237,179845447,684790,180530237,180530237,False,True,-3089.9881332697114,negative,1.8193520399038576,-9765.168998323748,-550860.8832795271,-541095.7142812033,negative,1.8091175489119342,667.0135370697717,179860179,41,0.0022301154184481845,1.8113476643303823,0.00800437557347533,0.00800437557347533,False,True,True,True,True,False
hexc_00001,2,24181,24178,3,24181,24317,False,True,17.186562246627208,positive,0.1157979799474991,-123.17681954167884,-142.7166816494566,-19.53986210777775,negative,0.1106139903704657,3.2566850455473286,24180,4,0.01843589920342488,0.12904988957389057,-0.013251909626391473,0.013251909626391473,True,False,False,False,True,False
hexc_00002,3,30974597,30910184,64413,30974597,30974597,False,True,-1027.9446158131832,negative,0.6812241515207513,-4189.11794672998,-54354.14035448835,-50165.02240775837,negative,0.6643586881865706,169.26185381026153,30957127,41,0.0022416133345536226,0.6666003015211243,0.01462384999962707,0.01462384999962707,False,False,False,False,True,False
hexc_00003,4,59921,59920,1,59921,59921,False,True,10.0007823069704,positive,0.0921982535693211,-239.1624278487056,-249.839860090676,-10.677432241970394,negative,0.08823069149837741,2.842170943040401e-14,59921,2,2.348567539256741e-16,0.08823069149837764,0.003967562070943453,0.003967562070943453,True,False,False,False,True,False
hexc_00004,5,356077,355293,784,356077,356077,False,True,-4.315460261267276,negative,0.1566810093663226,-445.57865085028266,-1064.0627175890131,-618.4840667387305,negative,0.13517972132212755,58.866313727122474,355941,37,0.012866187364944506,0.14804590868707207,0.008635100679250524,0.008635100679250524,False,False,False,False,True,False
hexc_00005,6,3448507,3446024,2483,3448507,3448507,False,True,-285.247239607314,negative,0.1786966438467436,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,negative,0.14944900281659243,86.25508396793089,3447295,40,0.007638782450585998,0.15708778526717843,0.021608858579565182,0.021608858579565182,False,False,False,False,True,False
hexc_00006,7,30774449,30670319,104130,30774449,30774449,False,True,-928.3530182520336,negative,0.862526348366495,-3672.24244464055,-85488.94963792409,-81816.70719328354,negative,0.8528427097579773,363.3590972929378,30684688,41,0.003787590185198272,0.8566302999431755,0.005896048423319478,0.005896048423319478,False,True,False,True,True,False
hexc_00007,8,3452747,3451296,1451,3452747,3452747,False,True,-246.6432758578178,negative,0.1383470038914393,-1239.2532286860674,-2145.539374150402,-906.2861454643348,negative,0.10497564138210953,65.98354433162308,3451634,36,0.007642911592042622,0.11261855297415216,0.02572845091728715,0.02572845091728715,False,False,False,False,True,False
hexc_00008,9,12883477,12871995,11482,12883477,12883477,False,True,-480.68150179983786,negative,0.3212949859833325,-2412.5263892811627,-11055.629614520863,-8643.103225239702,negative,0.3009444286825112,112.55777793578727,12878725,39,0.003919152102191749,0.30486358078470294,0.016431405198629567,0.016431405198629567,False,False,False,False,True,False
hexc_00009,10,178298621,178254856,43765,178298621,178298621,False,True,-1758.548029879923,negative,0.4625799992422776,-8710.023780257156,-41728.370810160646,-33018.34702990349,negative,0.43725192631542403,189.86549926782936,178261863,40,0.0025143310542018005,0.4397662573696258,0.022813741872651783,0.022813741872651783,False,False,False,False,True,False
hexc_00010,11,211,210,1,211,211,False,True,4.351858133476067,positive,0.1912764152417241,-6.690759694963868,-11.719267763439934,-5.028508068476066,negative,0.1755617761599286,0.0,210,2,0.0,0.1755617761599286,0.01571463908179549,0.01571463908179549,True,False,False,False,True,False
hexc_00011,12,3279709,3278912,797,3279709,3279709,False,True,-166.86828088206357,negative,0.1060058846880691,-1129.0381509763808,-1595.281448924815,-466.2432979484343,negative,0.07336887604837976,72.48431875885103,3279010,37,0.01140626154171027,0.08477513759009003,0.021230747097979064,0.021230747097979064,False,False,False,False,True,False
hexc_00012,13,42899,42898,1,42899,42899,False,True,9.666603794621116,positive,0.0968247715409328,-121.0460264651359,-131.38928019475702,-10.343253729621123,negative,0.09090857515635443,0.0,42898,2,0.0,0.09090857515635443,0.005916196384578368,0.005916196384578368,True,False,False,False,True,False
hexc_00013,14,1195591,1195386,205,1195591,1195669,False,True,18.90523282037472,positive,0.0899443884131837,-686.8422426041038,-868.601622871141,-181.7593802670372,negative,0.06482204542037459,35.651017552909366,1195534,32,0.01271445729899623,0.07753650271937082,0.012407885693812876,0.012407885693812876,True,False,False,False,True,False
hexc_00014,15,43133,43132,1,43133,43133,False,True,9.672043644375696,positive,0.0943896668138165,-145.4789301390939,-155.82762371846962,-10.34869357937572,negative,0.09086368432228856,0.0,43132,2,0.0,0.09086368432228856,0.0035259824915279403,0.0035259824915279403,True,False,False,False,True,False
hexc_00015,16,58309,58308,1,58309,58309,False,True,9.973511734352114,positive,0.0939517191622745,-142.77574764669592,-153.42590931604803,-10.650161669352116,negative,0.0884432993920433,0.0,58308,2,0.0,0.0884432993920433,0.005508419770231199,0.005508419770231199,True,False,False,False,True,False
hexc_00016,17,59333,59332,1,59333,59333,False,True,9.990920922612805,positive,0.0929815072257821,-160.6996955654813,-171.36726642309412,-10.667570857612787,negative,0.08830745523387652,2.842170943040401e-14,59333,2,2.3527838405727803e-16,0.08830745523387676,0.004674051991905348,0.004674051991905348,True,False,False,False,True,False
