candidate_id,block_id,E_theta,E_theta_sign,DeltaD,DeltaD_sign,Q_delta_D,Q_R2Q,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,row_status
hexc_00000,1,-3089.9881332697114,negative,-541095.7142812033,negative,1.8091175489119342,1.8193520399038576,True,False,False,False,False,primitive_negative_transfer_verified
hexc_00001,2,17.186562246627208,positive,-19.53986210777775,negative,0.1106139903704657,0.1157979799474991,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00002,3,-1027.9446158131832,negative,-50165.02240775837,negative,0.6643586881865706,0.6812241515207513,True,False,False,False,False,primitive_full_verified
hexc_00003,4,10.0007823069704,positive,-10.677432241970394,negative,0.08823069149837741,0.0921982535693211,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00004,5,-4.315460261267276,negative,-618.4840667387305,negative,0.13517972132212755,0.1566810093663226,True,False,False,False,False,primitive_full_verified
hexc_00005,6,-285.247239607314,negative,-1687.5380821821711,negative,0.14944900281659243,0.1786966438467436,True,False,False,False,False,primitive_full_verified
hexc_00006,7,-928.3530182520336,negative,-81816.70719328354,negative,0.8528427097579773,0.862526348366495,True,False,False,False,False,primitive_negative_transfer_verified
hexc_00007,8,-246.6432758578178,negative,-906.2861454643348,negative,0.10497564138210953,0.1383470038914393,True,False,False,False,False,primitive_full_verified
hexc_00008,9,-480.68150179983786,negative,-8643.103225239702,negative,0.3009444286825112,0.3212949859833325,True,False,False,False,False,primitive_full_verified
hexc_00009,10,-1758.548029879923,negative,-33018.34702990349,negative,0.43725192631542403,0.4625799992422776,True,False,False,False,False,primitive_full_verified
hexc_00010,11,4.351858133476067,positive,-5.028508068476066,negative,0.1755617761599286,0.1912764152417241,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00011,12,-166.86828088206357,negative,-466.2432979484343,negative,0.07336887604837976,0.1060058846880691,True,False,False,False,False,primitive_full_verified
hexc_00012,13,9.666603794621116,positive,-10.343253729621123,negative,0.09090857515635443,0.0968247715409328,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00013,14,18.90523282037472,positive,-181.7593802670372,negative,0.06482204542037459,0.0899443884131837,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00014,15,9.672043644375696,positive,-10.34869357937572,negative,0.09086368432228856,0.0943896668138165,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00015,16,9.973511734352114,positive,-10.650161669352116,negative,0.0884432993920433,0.0939517191622745,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00016,17,9.990920922612805,positive,-10.667570857612787,negative,0.08830745523387652,0.0929815072257821,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00017,18,-165.06704136906455,negative,-1395.5062112850246,negative,0.14011202855347463,0.159654089699117,True,False,False,False,False,primitive_full_verified
hexc_00018,19,-63.24655312102391,negative,-1004.7642034281848,negative,0.1353288100910507,0.1510851987794436,True,False,False,False,False,primitive_full_verified
hexc_00019,20,9.97697004973177,positive,-10.653619984731762,negative,0.08841628088234174,0.0923670994574258,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00020,21,-424.33160930738086,negative,-12121.907568691418,negative,0.3244066291128366,0.338124053326903,True,False,False,False,False,primitive_full_verified
hexc_00021,22,10.005577121783782,positive,-10.682227056783772,negative,0.08819341549073223,0.0940510554686493,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00022,23,22.55722059933116,positive,-24.91052046929002,negative,0.08807285582027803,0.0920232096308952,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00023,24,-1166.673386312199,negative,-47831.82037550756,negative,0.5329138719787416,0.5459231094474968,True,False,False,False,False,primitive_full_verified
hexc_00024,25,-719.8064293124298,negative,-17682.881280788435,negative,0.3389837450779626,0.3557665519303423,True,False,False,False,False,primitive_full_verified
hexc_00025,26,21.69655017143579,positive,-24.04985004133846,negative,0.09105697672258141,0.0944180902326222,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00026,27,-38.252494546276125,negative,-325.52679180880466,negative,0.07769748098553032,0.0967472985369818,True,False,False,False,False,primitive_full_verified
hexc_00027,28,-700.5003791113922,negative,-7240.816620533022,negative,0.21133166289965347,0.2345732370876761,True,False,False,False,False,primitive_full_verified
hexc_00028,29,-56.54292508843059,negative,-945.3034224797802,negative,0.11743564884154789,0.1341559286414388,True,False,False,False,False,primitive_full_verified
