field,value
rows,1468
primitive_full_rows,1468
primitive_missing_rows,0
primitive_unavailable,0
instrumentation_gap_rows,0
positive_rows,1320
positive_missing_primitive_rows,0
positive_harmless_instrumentation_gap_rows,0
threshold_relevant_rows,3
threshold_relevant_missing_primitives,0
forbidden_rows,1
formula_rows,1468
max_abs_formula_residual,0.02572845091728715
mean_abs_formula_residual,0.0030163628684094605
formula_residual_cap,0.03
formula_residual_cap_violations,0
primitive_negative_transfer_antecedent_rows,2
primitive_negative_transfer_violations,0
pass_primitive_negative_transfer,True
primitive_positive_available_rows,1320
primitive_positive_violations,0
pass_primitive_positive_harmlessness,True
pass_primitive_positive_available_harmlessness,True
sign_consistency_checked_rows,1468
sign_consistent_rows,148
sign_inconsistent_rows,1320
sign_inconsistent_positive_harmless_rows,1320
sign_inconsistent_threshold_relevant_rows,0
sign_inconsistent_forbidden_rows,0
pass_rawr2q_operational_greenlight,True
pass_rawr2q_primitive_proof_grade,True
computation_route_used,Route A: SR11/O2 projection intervals plus SR11 realpath samples
proof_grade_blocker,none
recommended_next_file,Prime_Mesh_R2Q_RawR2Q_Primitive_Decomposition_Closure_Update_v1.md
