block_id,p_star,y,hi,h,prime_log_sum,theta_local_error,theta_local_sum_from_sieve,prime_log_sum_check_delta,theta_local_norm,theta_start_error,theta_end_error,theta_end_norm,theta_pstar_error,theta_pstar_norm,theta_start_sign,theta_end_sign,theta_local_sign,theta_crosses_sign,Q_max,near_forbidden_proxy,post_Q,cp_ratio,d_worst,is_tail,scale_bin,depth_bin,mu_bin
1,180530237,179845447,180530237,684790,681700.0118667303,-3089.9881332697114,681700.0118673146,-5.842885002493858e-07,-0.010331169902637048,-4239.522950917482,-7329.511083602905,-0.001509285594475425,-7329.511083602905,-0.001509285594475425,negative,negative,negative,False,1.8193520399038576,True,0.0015990424153537095,1.819256709639388,0.7267830456257764,False,100M<=p<500M,>=0.70,0.006-0.01
2,24317,24178,24181,3,20.186562246627208,17.186562246627208,20.186562246628455,-1.2470025012589758e-12,0.09729210064860783,-91.70607917993766,-74.5195169333092,-0.004703970659597689,-119.65657780966649,-0.0075236879199148,negative,negative,positive,False,0.1157979799474991,False,0.0,0.1157979799474991,0.7141828013319464,False,p<100M,>=0.70,0.25-0.50
3,30974597,30910184,30974597,64413,63385.05538418682,-1027.9446158131832,63385.05538421124,-2.442538971081376e-08,-0.013613547920681797,-2116.045651886612,-3143.99026767537,-0.001898745389490342,-3143.99026767537,-0.001898745389490342,negative,negative,negative,False,0.6812241515207513,False,0.0,0.6811099413033653,0.7157280208129054,False,p<100M,>=0.70,0.018-0.05
4,59921,59920,59921,1,11.0007823069704,10.0007823069704,11.000782306968176,2.2239987629291136e-12,0.08263933860430703,-180.43455502479628,-170.4337727178281,-0.005753326094478934,-170.4337727178281,-0.005753326094478934,negative,negative,positive,False,0.0921982535693211,False,0.0,0.0921982535693211,0.7129612899730609,False,p<100M,>=0.70,0.25-0.50
5,356077,355293,356077,784,779.6845397387327,-4.315460261267276,779.6845397385769,1.5586465451633558e-10,-0.0009432138140128665,-361.44403506210074,-365.7594953235239,-0.0037511524150766916,-365.7594953235239,-0.0037511524150766916,negative,negative,negative,False,0.1566810093663226,False,0.0,0.1566810093663226,0.6808214384796782,False,p<100M,0.65-0.70,0.10-0.25
6,3448507,3446024,3448507,2483,2197.752760392686,-285.247239607314,2197.7527603944764,-1.7903403204400092e-09,-0.025261602073224653,-808.0232159825973,-1093.270455588121,-0.002598004237890456,-1093.270455588121,-0.002598004237890456,negative,negative,negative,False,0.1786966438467436,False,0.0075167682455929506,0.1786966438467436,0.6766177166764266,False,p<100M,0.65-0.70,0.10-0.25
7,30774449,30670319,30774449,104130,103201.64698174797,-928.3530182520335,103201.64698192477,-1.7680577002465725e-07,-0.00967698567760322,-2218.059750366956,-3146.4127684421837,-0.001907811365164701,-3146.4127684421837,-0.001907811365164701,negative,negative,negative,False,0.862526348366495,True,0.0,0.862526348366495,0.6619667915824885,False,p<100M,0.65-0.70,0.01-0.018
8,3452747,3451296,3452747,1451,1204.3567241421822,-246.6432758578178,1204.3567241407,1.4822489902144298e-09,-0.028568831384367565,-841.3938536751084,-1088.0371295344085,-0.0025835581430731927,-1088.0371295344085,-0.0025835581430731927,negative,negative,negative,False,0.1383470038914393,False,0.0,0.1383470038914393,0.6601082822765448,False,p<100M,0.65-0.70,0.25-0.50
9,12883477,12871995,12883477,11482,11001.318498200162,-480.68150179983786,11001.318498209119,-8.956703823059797e-09,-0.016736861306361622,-1577.384536653757,-2058.0660384446383,-0.002139282517386741,-2058.0660384446383,-0.002139282517386741,negative,negative,negative,False,0.3212949859833325,False,0.0,0.3212949859833325,0.6598082984438048,False,p<100M,0.65-0.70,0.05-0.10
10,178298621,178254856,178298621,43765,42006.45197012008,-1758.548029879923,42006.4519701004,1.9674189388751984e-08,-0.023287916650909273,-5526.680751860142,-7285.228781759739,-0.001511503205911477,-7285.228781759739,-0.001511503205911477,negative,negative,negative,False,0.4625799992422776,False,0.00917826988505208,0.4625799992422776,0.6419754853013281,False,100M<=p<500M,0.60-0.65,0.05-0.10
