scope,rows,Qmax,Qmean,Qmedian,Q95,Q99,pass_Q_le_1_frac,pass_Q_le_0p75_frac,pass_Q_le_0p5_frac,pass_Q_le_0p25_frac,theta_local_norm_max,theta_local_norm_median,median_h,median_p_star,best_k4_corr_proxy_median,worst_block_id,worst_p_star,worst_h
positive:global,1320,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07588258117850578,0.10698189098852476,1.0,1.0,1.0,1.0,0.1638184076850698,0.0538871400387491,1.0,39691405.0,0.0011830359549921,34,127,1
depth:0.50-0.55,1296,0.2157084836048593,0.05906270281791576,0.057631622775218605,0.072517324301685,0.09527296643361699,1.0,1.0,1.0,1.0,0.1638184076850698,0.0538208084565133,1.0,40615272.0,0.0011829318887838498,34,127,1
h:h=1,1241,0.2157084836048593,0.05920856612092027,0.0574831963320775,0.0732650773543473,0.1055598987070111,1.0,1.0,1.0,1.0,0.1638184076850698,0.0538866741783313,1.0,39699377.0,0.0011829101158961,34,127,1
tail:False,1200,0.2157084836048593,0.06071812261112572,0.0580394136574902,0.07793649505936039,0.10874384066706176,1.0,1.0,1.0,1.0,0.1638184076850698,0.0543460456338781,1.0,33920341.0,0.0012045021020077999,34,127,1
scale:p<100M,725,0.2157084836048593,0.06509659133262086,0.0598206042552528,0.08476889177062334,0.12455793505392568,1.0,1.0,1.0,1.0,0.1638184076850698,0.0546760498253001,1.0,30355397.0,0.0012665939006254,34,127,1
mu:0.50-1.00,571,0.2157084836048593,0.06009068061115936,0.0576533742965644,0.07793774809956386,0.11619091411178607,1.0,1.0,1.0,1.0,0.1638184076850698,0.0538905616124254,1.0,39641299.0,0.0012044925201243,34,127,1
pstar_mod_30:7,160,0.2157084836048593,0.061793618720055746,0.058232887225882796,0.07952985562483214,0.12108615659664108,1.0,1.0,1.0,1.0,0.1638184076850698,0.05434523161691285,1.0,33919522.0,0.00120445130108375,34,127,1
y_mod_30:6,150,0.2157084836048593,0.06144609147414074,0.05783007712899765,0.07836744367187232,0.12411385656291042,1.0,1.0,1.0,1.0,0.1638184076850698,0.0538912076770181,1.0,33925507.0,0.0011831220073525999,34,127,1
pstar_mod_30:1,146,0.1912764152417241,0.05932165582263175,0.05758318101299895,0.07177776259370866,0.10166267340945641,1.0,1.0,1.0,1.0,0.1519376986384418,0.051635378080602354,1.0,40873216.0,0.0011789490614764,11,211,1
y_mod_30:0,138,0.1912764152417241,0.058842812435686224,0.05611013104082825,0.07128712258878647,0.10224768662766293,1.0,1.0,1.0,1.0,0.1519376986384418,0.0524637125494438,1.0,74706420.0,0.00111838044882265,11,211,1
depth:0.60-0.65,5,0.1912764152417241,0.11327739223438633,0.0943896668138165,0.1723860865015658,0.18749834949369243,1.0,1.0,1.0,1.0,0.1519376986384418,0.0849225570081055,1.0,43133.0,0.0031796264553406,11,211,1
pstar_mod_30:23,181,0.1707575979731007,0.05863481375111541,0.0546489093154635,0.0738165199461072,0.09530824331695749,1.0,1.0,1.0,1.0,0.1450570376438435,0.0511242408134253,1.0,108586733.0,0.0010577874233038,59,293,1
y_mod_30:22,171,0.1707575979731007,0.058220868655959546,0.0545676585381428,0.0727302512003902,0.0953317612391845,1.0,1.0,1.0,1.0,0.1450570376438435,0.0511241011871304,1.0,108592553.0,0.0010577466695403,59,293,1
mu:0.25-0.50,137,0.1707575979731007,0.06123605604990353,0.0574062037622427,0.08149502980577393,0.10810121965014312,1.0,1.0,1.0,1.0,0.1450570376438435,0.0538884743806344,1.0,39674683.0,0.0011576999128169,59,293,1
mu:>=1.00,597,0.1648068982246287,0.05889945034358215,0.0579407179303479,0.07279020876036817,0.09410886871769421,1.0,1.0,1.0,1.0,0.135776208151487,0.053805192767221,1.0,40835357.0,0.001179104553932,106,479,1
