block_id,p_star,pos_y,pos_h,pos_theta_local_norm,neg_y,neg_h,neg_theta_local_norm,lag,neg_abs_over_pos
2,24317,24178,3,0.0972921006486078,,,,,
4,59921,59920,1,0.082639338604307,,,,,
11,211,210,1,0.1519376986384418,,,,,
13,42899,42898,1,0.0849613864787405,,,,,
14,1195669,1195386,205,0.0067422977497207,,,,,
15,43133,43132,1,0.0849225570081055,,,,,
16,58309,58308,1,0.0828241215201216,,,,,
17,59333,59332,1,0.0827060643791465,,,,,
20,58511,58510,1,0.0828006431181152,,,,,
22,60209,60208,1,0.0826069335200711,,,,,
23,354619,354550,3,0.0797526025198991,,,,,
26,230647,230560,3,0.0821469680902342,,,,,
33,1197697,1197615,4,0.0612390577643984,,,,,
34,127,126,1,0.1638184076850698,,,,,
35,354953,354952,1,0.0721259667898836,,,,,
37,1657,1656,1,0.1167037763024239,,,,,
38,156007,155920,1,0.0766308585381272,,,,,
46,618029,618028,1,0.0693704230771723,,,,,
48,3440807,3439819,811,0.0072712465886281,,,,,
52,1512479,1512478,1,0.0653387626052911,,,,,
53,356243,356170,3,0.0797278138309229,,,,,
56,1511527,1511046,403,0.0023682517122969,,,,,
58,1188511,1188358,3,0.0736954721948265,,,,,
59,293,292,1,0.1450570376438435,,,,,
60,3291137,3290975,8,0.0581191865376321,,,,,
61,1190143,1190068,3,0.0736894995793346,,,,,
65,3439001,3438886,3,0.0690743589894426,,,,,
66,1196077,1196076,1,0.0663503397116,,,,,
68,1192069,1192068,1,0.0663650323383584,,,,,
71,1191481,1191480,1,0.0663671925425114,,,,,
74,1186291,1186290,1,0.0663863120997883,,,,,
76,2879,2878,1,0.1097843161595848,,,,,
80,1198607,1198510,3,0.073656563386218,,,,,
81,1512197,1512196,1,0.0653395541194198,,,,,
83,42923,42922,1,0.0849573926179324,,,,,
84,617579,617578,1,0.0693739053920691,,,,,
85,10357,10356,1,0.0964627367254228,,,,,
86,15859,15858,1,0.0927057894159821,,,,,
89,1188149,1188148,1,0.066379456518596,,,,,
92,3453943,3453942,1,0.0620109815723074,,,,,
93,1188839,1188838,1,0.0663769136686477,,,,,
94,618119,618118,1,0.0693697269600696,,,,,
100,6421,6420,1,0.1010501788281202,,,,,
101,1510643,1510642,1,0.0653439188591991,,,,,
106,479,478,1,0.135776208151487,,,,,
107,231701,231700,1,0.0743976548454212,,,,,
112,3459077,3459076,1,0.0620052994350594,,,,,
114,359477,359416,3,0.07967922224676,,,,,
115,3453551,3453550,1,0.0620114158142077,,,,,
119,1513271,1513270,1,0.0653365405202554,,,,,
122,30418643,30418642,1,0.0546681745185092,,,,,
123,3277217,3277216,1,0.062212574263746,,,,,
124,30340987,30340827,4,0.0513065454645731,,,,,
126,40847383,40847382,1,0.0538043252282356,,,,,
127,3236861,3236860,1,0.0622603225307891,,,,,
131,12786847,12786580,3,0.0640954564687434,,,,,
132,1189387,1189386,1,0.0663748953188857,,,,,
134,1189751,1189750,1,0.0663735552444684,,,,,
136,359539,359538,1,0.0720597269572932,,,,,
137,2819,2818,1,0.1100334695184228,,,,,
138,7048303,7048210,3,0.0662630653379214,,,,,
140,1512661,1512660,1,0.0653382518583966,,,,,
141,12799573,12799572,1,0.0573723278374118,,,,,
142,2275961,2275960,1,0.0636487082520479,,,,,
143,42533,42532,1,0.0850226176164053,,,,,
144,445069,445068,1,0.0709759658081862,,,,,
145,1517807,1517806,1,0.0653238392767546,,,,,
146,1518061,1518060,1,0.0653231293194047,,,,,
147,3458821,3458820,1,0.0620055825428418,,,,,
148,359701,359700,1,0.0720574047109464,,,,,
149,1511863,1511818,3,0.0725968668312942,,,,,
151,39670973,39670780,3,0.0603392852582274,,,,,
152,3291539,3291538,1,0.0621957873679162,,,,,
157,1184609,1184608,1,0.0663925287642978,,,,,
158,60127,60126,1,0.0826161416033808,,,,,
162,1198751,1198750,1,0.0663405682293933,,,,,
168,1196593,1196592,1,0.0663484521925499,,,,,
169,359837,359836,1,0.072055456092731,,,,,
170,17641879,17641576,3,0.0629814730951112,,,,,
172,1198397,1198360,3,0.0736576698291679,,,,,
173,30850439,30850276,3,0.0611354627286083,,,,,
175,12776941,12776609,332,0.002382998470945,,,,,
179,30851287,30850871,350,0.0021817902997086,,,,,
180,7112887,7112886,1,0.0593644809668104,,,,,
182,30788077,30787786,3,0.0611419373783866,,,,,
186,22052431,22052337,4,0.0521451627532467,,,,,
187,338531,338530,1,0.0723714409769057,,,,,
189,39649783,39649782,1,0.0538902908567023,,,,,
190,31026421,31025775,446,0.0141239471794488,,,,,
192,3459179,3459178,1,0.0620051866408554,,,,,
193,1199993,1199992,1,0.0663360380233858,,,,,
194,33878389,33877658,605,0.0002487940109059,,,,,
197,30786629,30786460,3,0.0611421036523717,,,,,
198,40839853,40839496,3,0.0602486503662876,,,,,
199,39635819,39635564,218,0.0059596707112021,,,,,
200,17591099,17590930,3,0.0629913115465854,,,,,
201,7051567,7051566,1,0.0593948699456424,,,,,
202,673,672,1,0.1299853261832927,,,,,
203,12784609,12784608,1,0.0573761622295676,,,,,
204,445141,445140,1,0.0709751565924715,,,,,
205,12807857,12807856,1,0.0573702072822844,,,,,
207,1518191,1518190,1,0.0653227660072921,,,,,
